logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
appeal to emotion,0,"“ It ’ s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period , ” he added ."," ""The landscape can change over a relatively short time period."""," ""We need to take action to protect it.""", IsRelativelyShort(b), IsNeeded(c),[],[],"[(' The landscape', ' It'), (' relatively short time period', ' It')]","IsRelativelyShort(b) and IsChanging(a,b)",IsNeeded(c),"(exists b (exists a (IsRelativelyShort(b) and IsChanging(a,b)))) -> (forall c (IsNeeded(c)))","(exists b (exists a (IsRelativelyShort(b) and IsChanging(a,b)))) -> (exists c (IsNeeded(c)))"
fallacy of credibility,0,"NASA honored him for this achievement , and he was an author for a previous edition of the U.N. report . He told a House Science Committee hearing in March 2017 that the U.N. climate models have failed badly . Christy compared the average model projections since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics .", NASA honored him for his achievement., He told a House Science Committee hearing in March 2017 that the U.N. climate models have failed badly., IsHonoredByNASA(b)," IsToldTo(d),  IsInHouseScienceCommittee(e),  IsInMarch2017(f),  AreFailed(g)",[],[],"[(' him', ' He'), (' March 2017', ' him'), (' He', ' achievement.'), (' March 2017', ' achievement.')]",IsHonoredByNASA(b) and achievement(c),IsToldTo(d) and (IsInHouseScienceCommittee(e) and IsInMarch2017(f)) and AreFailed(g),(forall c (forall b (exists b (IsHonoredByNASA(b) and achievement(c))))) -> (exists f (forall d (IsToldTo(d) and (IsInHouseScienceCommittee(e) and IsInMarch2017(f)) and AreFailed(g)))),(exists b (exists c (IsHonoredByNASA(b) and achievement(c)))) -> (exists d (exists e (exists g (exists f (IsToldTo(d) and (IsInHouseScienceCommittee(e) and IsInMarch2017(f)) and AreFailed(g))))))
appeal to emotion,0,"The 2009 Black Saturday bushfires , which claimed the lives of 173 Australians , are etched into the national consciousness . But in the heatwave that led up to the fires , the number of deaths soared ."," ""The 2009 Black Saturday bushfires claimed the lives of 173 Australians."""," ""The number of deaths soared in the heatwave leading up to the fires."""," IsIn2009(a),  IsOnBlackSaturday(b),  IsAnAustralian(c)"," IsSoared(d),  IsInHeatwave(e),  IsOnFires(f)",[],[],"[(' The number of deaths', ' Australians')]",IsIn2009(a) and IsOnBlackSaturday(b) and IsAnAustralian(c),IsSoared(d) and (IsInHeatwave(e) and IsOnFires(f)),(forall c (IsIn2009(a) and IsOnBlackSaturday(b) and IsAnAustralian(c))) -> (exists d (IsSoared(d) and (IsInHeatwave(e) and IsOnFires(f)))),(exists b (exists a (exists c (IsIn2009(a) and IsOnBlackSaturday(b) and IsAnAustralian(c))))) -> (exists d (exists e (exists f (IsSoared(d) and (IsInHeatwave(e) and IsOnFires(f))))))
fallacy of credibility,0,Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :," ""The Earth's climate is naturally cyclical."""," ""Global warming alarmists are going to bury the study.""", IsNaturallyCyclical(b)," IsGoingToBury(d),  IsStudy(e)",[],[],"[(' climate', ' Global warming alarmists')]",IsNaturallyCyclical(b),IsGoingToBury(d) and ~IsStudy(e),(exists b (IsNaturallyCyclical(b))) -> (forall d (IsGoingToBury(d) and ~IsStudy(e))),(exists b (IsNaturallyCyclical(b))) -> (exists d (exists e (IsGoingToBury(d) and ~IsStudy(e))))
ad hominem,0,Global warming activists ’ propensity for doing so shows just how little value they place in a truthful debate .,,,,,[],[],[],,,() -> (),() -> ()
intentional,0,"Some one billion people would be forced to attempt to relocate from unlivable conditions , and two billion would face scarcity of water supplies . Agriculture would collapse in the sub-tropics , and food production would suffer dramatically worldwide . The internal cohesion of nation-states like the US and China would unravel ."," ""Billions of people would face unlivable conditions."""," ""Nation-states like the US and China would unravel."""," IsFacing(a,b)"," IsUnraveling(c,d),  IsUnraveling(c,e)",[],[],"[(' unlivable conditions', ' US'), (' unlivable conditions', ' China')]","IsFacing(a,b)","IsUnraveling(c,d) and IsUnraveling(c,e)","(exists b (IsFacing(a,b))) -> (forall e (forall d (IsUnraveling(c,d) and IsUnraveling(c,e))))","(exists b (exists a (IsFacing(a,b)))) -> (exists d (exists e (exists c (IsUnraveling(c,d) and IsUnraveling(c,e)))))"
appeal to emotion,0,"Interstates are under feet of water , local authorities have asked boat owners to join rescue efforts , and most of the streams and rivers near the city are in flood stage .",,,,,[],[],[],,,() -> (),() -> ()
appeal to emotion,0,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape ."," ""Polar bears are moving from ice to land earlier and staying on land longer."""," ""Polar bears are experiencing starvation due to the decline of their icy hunting grounds."""," IsOnLand(a),  IsMovingFromIceToLand(a),  IsStayingOnLandLonger(a)"," IsExperiencingStarvation(a),  IsOnIcyHuntingGrounds(e)","[('  IsStayingOnLandLonger(a)', ' IsExperiencingStarvation(a)')]","[(' Polar bears', ' Polar bears')]","[(' Polar bears', ' icy hunting grounds'), (' icy hunting grounds', ' ice'), (' icy hunting grounds', ' land')]",IsOnLand(a) and (IsMovingFromIceToLand(a) and IsStayingOnLandLonger(a)),IsOnIcyHuntingGrounds(e) and IsExperiencingStarvation(a),(exists a (IsOnLand(a) and (IsMovingFromIceToLand(a) and IsStayingOnLandLonger(a))) & (forall a (  IsStayingOnLandLonger(a) ->  IsExperiencingStarvation(a)))) -> (forall e (IsOnIcyHuntingGrounds(e) and IsExperiencingStarvation(a))),(exists a (IsOnLand(a) and (IsMovingFromIceToLand(a) and IsStayingOnLandLonger(a))) & (forall f (  IsStayingOnLandLonger(f) ->  IsExperiencingStarvation(f)))) -> (exists e (exists a (IsOnIcyHuntingGrounds(e) and IsExperiencingStarvation(a))))
intentional,0,"If ECS is as low as the Energy Balance literature suggests , it means that the climate models we have been using for decades run too hot and need to be revised ."," ""ECS is low."""," ""Climate models need to be revised.""", IsLow(a), IsRevised(c),[],[],"[(' ECS', ' Climate models'), (' ECS', ' need to be revised.')]",IsLow(a),IsRevised(b),(exists a (IsLow(a))) -> (forall b (IsRevised(b))),(exists a (IsLow(a))) -> (exists b (IsRevised(b)))
false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere ."," ""The cost of weather disasters has risen over time."""," ""Modern society builds more infrastructure in areas prone to damage from weather—which is almost everywhere."""," IsRisen(a,b)"," IsBuilt(c,d),  IsAlmost(e)",[],[],"[(' weather disasters', ' areas prone to damage from weather'), (' time.', ' Modern society'), (' areas prone to damage from weather', ' time.')]","IsRisen(a,b)","IsBuilt(c,d) and IsAlmost(e)","(forall b (exists b (exists a (IsRisen(a,b))))) -> (forall c (forall d (IsBuilt(c,d) and IsAlmost(e))))","(exists b (exists a (IsRisen(a,b)))) -> (exists d (exists e (exists c (IsBuilt(c,d) and IsAlmost(e)))))"
intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators ., , ,a) IsTall(x), IsTall(x),[],"[('', '')]",[],IsTall(a),IsTall(a),(IsTall(a)) -> (IsTall(a)),(exists a (IsTall(a))) -> (exists a (IsTall(a)))
intentional,0,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans ."," ""The records were caused by El Nino."""," ""El Nino has nothing to do with greenhouse gas emissions by humans.""", IsCausedBy(a)," IsNothingToDoWith(a,b),  IsEmittedBy(c)","[(' IsCausedBy(a)', ' IsNothingToDoWith(a,b)')]","[(' El Nino', ' El Nino')]",[],IsCausedBy(a),"IsNothingToDoWith(a,b) and ~IsEmittedBy(c)","(IsCausedBy(a) & (forall b (forall a ( IsCausedBy(a) ->  IsNothingToDoWith(a,b))))) -> (IsNothingToDoWith(a,b) and ~IsEmittedBy(c))","(exists a (IsCausedBy(a)) & (forall d (forall e ( IsCausedBy(d) ->  IsNothingToDoWith(d,e))))) -> (exists b (exists a (exists c (IsNothingToDoWith(a,b) and ~IsEmittedBy(c)))))"
fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon ."," ""Salmon are crucial to their coastal ecosystem."""," ""Without salmon, the largest trees on Earth wouldn't exist."""," IsCrucial(a),  IsInCoastalEcosystem(b)"," IsWithout(a),  IsOnEarth(c),  AreLargestTrees(d)",[],"[(' Salmon', ' Salmon')]","[(' Salmon', ' their coastal ecosystem.'), (' their coastal ecosystem.', ' Earth'), (' largest trees', ' their coastal ecosystem.')]",IsCrucial(a) and IsInCoastalEcosystem(b),IsWithout(a) and (IsOnEarth(c) and AreLargestTrees(d)),(forall b (IsCrucial(a) and IsInCoastalEcosystem(b))) -> (exists d (forall c (exists a (IsWithout(a) and (IsOnEarth(c) and AreLargestTrees(d)))))),(exists b (exists a (IsCrucial(a) and IsInCoastalEcosystem(b)))) -> (exists d (exists a (exists c (IsWithout(a) and (IsOnEarth(c) and AreLargestTrees(d))))))
intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick ."," ""Most of the ice was extremely thin in 2008."""," ""Most of the ice has been at least two meters thick this year.""", IsIn2008(b), IsAtLeastTwoMetersThick(c),[],"[(' Most of the ice', ' Most of the ice')]","[(' two meters', ' Most of the ice'), (' Most of the ice', ' this year.')]",IsIn2008(b) and IsThin(a),IsAtLeastTwoMetersThick(a),(IsIn2008(b) and IsThin(a)) -> (IsAtLeastTwoMetersThick(a)),(exists b (exists a (IsIn2008(b) and IsThin(a)))) -> (exists a (IsAtLeastTwoMetersThick(a)))
fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red .," ""Adding more CO2 molecules to the atmosphere conceals the red."""," ""The first coat of white paint does most of the work of concealing the red.""", IsAddedToAtmosphere(a)," IsFirstCoat(c),  ConcealsRed(d,e)",[],[],[],IsAddedToAtmosphere(a) and ~IsRed(b),"IsFirstCoat(c) and ConcealsRed(d,e)","(IsAddedToAtmosphere(a) and ~IsRed(b)) -> (IsFirstCoat(c) and ConcealsRed(d,e))","(exists b (exists a (IsAddedToAtmosphere(a) and ~IsRed(b)))) -> (exists d (exists e (exists c (IsFirstCoat(c) and ConcealsRed(d,e)))))"
fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”"," ""It is possible to limit global warming to 1.5 degree C within the laws of chemistry and physics."""," ""Unprecedented changes are required to limit global warming to 1.5 degree C."""," IsLimitedTo(a,b)"," IsRequired(a),  IsUnprecedented(a)","[(' IsLimitedTo(a,b)', ' IsRequired(a)')]","[(' global warming', ' Unprecedented changes'), (' global warming', ' global warming'), (' 1.5 degree C', ' 1.5 degree C.')]","[(' It', ' Unprecedented changes'), (' 1.5 degree C.', ' It'), (' 1.5 degree C.', ' global warming'), (' 1.5 degree C', ' Unprecedented changes'), (' 1.5 degree C', ' global warming')]","IsLimitedTo(c,d)",IsRequired(a) and IsUnprecedented(a),"(exists c (IsLimitedTo(c,d)) & (forall b (forall a ( IsLimitedTo(a,b) ->  IsRequired(a))))) -> (forall a (IsRequired(a) and IsUnprecedented(a)))","(exists d (exists c (IsLimitedTo(c,d))) & (forall h (forall g ( IsLimitedTo(g,h) ->  IsRequired(g))))) -> (exists a (IsRequired(a) and IsUnprecedented(a)))"
fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .," ""The sun and clouds are important for the climate."""," ""Modellers did not consider the sun and clouds important for the climate.""", IsImportantFor(c), IsNotImportantFor(e),[],"[(' clouds', ' clouds')]","[(' sun', ' The sun'), (' climate', ' climate.')]",IsImportantFor(a) and IsImportantFor(b),IsNotImportantFor(a) and IsNotImportantFor(d),(forall b (IsImportantFor(a) and IsImportantFor(b))) -> (exists d (IsNotImportantFor(a) and IsNotImportantFor(d))),(exists b (exists a (IsImportantFor(a) and IsImportantFor(b)))) -> (exists d (exists a (IsNotImportantFor(a) and IsNotImportantFor(d))))
appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef ., , ,a) IsTall(x), IsTall(x),[],"[('', '')]",[],IsTall(a),IsTall(a),(IsTall(a)) -> (IsTall(a)),(exists a (IsTall(a))) -> (exists a (IsTall(a)))
appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities ."," ""The Greenland ice sheet is a major contributor to rising sea levels."""," ""If the Greenland ice sheet were lost entirely, the oceans would rise by six meters around the world, flooding many of the world's largest cities."""," IsA(a),  IsContributorTo(b)"," IsLost(a),  IsRisenBy(c),  IsPartOf(d),  IsFlooded(e)","[(' IsA(a)', '  IsPartOf(d)'), (' IsLost(a)', '  IsContributorTo(b)'), ('  IsContributorTo(b)', '  IsRisenBy(c)'), ('  IsRisenBy(c)', '  IsContributorTo(b)'), ('  IsContributorTo(b)', '  IsFlooded(e)')]","[(' Greenland ice sheet', ' Greenland ice sheet')]","[(' Greenland ice sheet', ' rising sea levels.'), (' oceans', ' rising sea levels.'), (' rising sea levels.', ' world')]",IsA(a) and IsContributorTo(b),IsLost(a) and (IsRisenBy(c) and IsPartOf(d)),(forall b (IsA(a) and IsContributorTo(b)) & (forall d (forall a ( IsA(a) ->   IsPartOf(d)))) & (forall b (forall a ( IsLost(a) ->   IsContributorTo(b)))) & (forall b (forall c (  IsContributorTo(b) ->   IsRisenBy(c)))) & (forall b (forall c (  IsRisenBy(c) ->   IsContributorTo(b)))) & (forall b (forall e (  IsContributorTo(b) ->   IsFlooded(e))))) -> (forall d (exists c (exists a (IsLost(a) and (IsRisenBy(c) and IsPartOf(d)))))),(exists b (exists a (IsA(a) and IsContributorTo(b))) & (forall g (forall f ( IsA(f) ->   IsPartOf(g)))) & (forall h (forall i ( IsLost(h) ->   IsContributorTo(i)))) & (forall k (forall j (  IsContributorTo(j) ->   IsRisenBy(k)))) & (forall m (forall l (  IsRisenBy(l) ->   IsContributorTo(m)))) & (forall n (forall o (  IsContributorTo(n) ->   IsFlooded(o))))) -> (exists d (exists a (exists c (IsLost(a) and (IsRisenBy(c) and IsPartOf(d))))))
intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .," ""There has been more polar ice in the world since 1979."""," ""Global warming is occurring."""," IsInWorld(b),  IsSince1979(d)", IsOccurring(e),[],[],"[(' There', ' Global warming')]",IsInWorld(b) and IsSince1979(d),IsOccurring(e),(IsInWorld(b) and IsSince1979(d)) -> (IsOccurring(e)),(exists b (exists d (IsInWorld(b) and IsSince1979(d)))) -> (exists e (IsOccurring(e)))
fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem ."," ""There are 80 graphs showing why the scare about global warming has been overdone."""," ""The evidence doesn't support the idea that global warming is unusual or a problem."""," Is80(c),  IsGlobalWarming(a),  IsScare(d),  IsOverdone(e)"," IsInGlobalWarming(a),  IsProblem(g)",[],"[(' global warming', ' global warming'), (' global warming', ' problem')]","[(' The evidence', ' There are'), (' There are', ' global warming'), (' There are', ' idea'), (' There are', ' problem'), (' The evidence', ' global warming'), (' The evidence', ' scare'), (' scare', ' problem'), (' overdone.', ' problem')]",Is80(c) and (IsGlobalWarming(a) and IsScare(d)) and IsOverdone(e),IsInGlobalWarming(a) and ~IsProblem(g),(exists e (exists d (Is80(c) and (IsGlobalWarming(a) and IsScare(d)) and IsOverdone(e)))) -> (forall a (IsInGlobalWarming(a) and ~IsProblem(g))),(exists d (exists e (exists a (exists c (Is80(c) and (IsGlobalWarming(a) and IsScare(d)) and IsOverdone(e)))))) -> (exists g (exists a (IsInGlobalWarming(a) and ~IsProblem(g))))
faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period ."," ""During the Little Ice Age, crops failed and plague wiped out tens of millions of people."""," ""There is a clear correlation between solar activity and temperature on Earth."""," IsDuring(a),  IsFailed(b),  IsWipedOut(c),  IsPeople(d)"," IsClear(e),  IsCorrelated(f),  IsOn(g),  IsOnEarth(h)",[],[],"[(' There is', ' plague'), (' people', ' There is')]",IsDuring(a) and (IsFailed(b) and IsWipedOut(c)),IsClear(e) and (IsCorrelated(f) and IsOn(g) and IsOnEarth(h)),(forall c (IsDuring(a) and (IsFailed(b) and IsWipedOut(c)))) -> (exists e (IsClear(e) and (IsCorrelated(f) and IsOn(g) and IsOnEarth(h)))),(exists b (exists a (exists c (IsDuring(a) and (IsFailed(b) and IsWipedOut(c)))))) -> (exists g (exists e (exists f (exists h (IsClear(e) and (IsCorrelated(f) and IsOn(g) and IsOnEarth(h)))))))
intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change ."," ""Brown said the world needs brainwashing on climate change."""," ""Brainwashing is necessary to address climate change."""," IsSay(b),  IsNeed(c)", IsNecessary(d),[],"[(' climate change', ' climate change')]",[],IsSay(b) and IsNeed(c),"IsNecessary(d) and IsAddressedBy(a,d)","(IsSay(b) and IsNeed(c)) -> (IsNecessary(d) and IsAddressedBy(a,d))","(exists b (exists c (IsSay(b) and IsNeed(c)))) -> (exists d (exists a (IsNecessary(d) and IsAddressedBy(a,d))))"
appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet ."," ""The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica."""," ""If the glaciers of Pine Island Bay melt, it would submerge every coastal city on the planet."""," IsInAntarctica(b),  AreFastestMelting(b)", IsSubmerged(d),[],"[(' Pine Island Bay', ' Pine Island Bay'), (' glaciers', ' glaciers')]",[],IsInAntarctica(b) and (AreFastestMelting(b) or IsTwoOfTheLargest(b)),IsSubmerged(d) and ~IsOnPlanet(e),(IsInAntarctica(b) and (AreFastestMelting(b) or IsTwoOfTheLargest(b))) -> (IsSubmerged(d) and ~IsOnPlanet(e)),(exists b (IsInAntarctica(b) and (AreFastestMelting(b) or IsTwoOfTheLargest(b)))) -> (exists d (exists e (IsSubmerged(d) and ~IsOnPlanet(e))))
faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world ."," ""Global warming leads to more frequent precipitation and improved soil moisture."""," ""Global warming is creating a safer, more peaceful world."""," IsLeadsTo(a,b),  IsImproved(c)"," IsCreating(a),  IsSafer(d),  IsMorePeaceful(d)","[(' IsCreating(a)', ' IsLeadsTo(a,b)'), (' IsCreating(a)', '  IsImproved(c)')]","[(' Global warming', ' Global warming')]","[(' soil moisture', ' world')]","IsLeadsTo(a,b) and IsImproved(c)",IsCreating(a) and (IsSafer(d) and IsMorePeaceful(d)),"(exists c (IsLeadsTo(a,b) and IsImproved(c)) & (forall b (forall a ( IsCreating(a) ->  IsLeadsTo(a,b)))) & (forall a (forall c ( IsCreating(a) ->   IsImproved(c))))) -> (forall d (IsCreating(a) and (IsSafer(d) and IsMorePeaceful(d))))","(exists b (exists a (exists c (IsLeadsTo(a,b) and IsImproved(c)))) & (forall e (forall f ( IsCreating(e) ->  IsLeadsTo(e,f)))) & (forall h (forall g ( IsCreating(g) ->   IsImproved(h))))) -> (exists d (exists a (IsCreating(a) and (IsSafer(d) and IsMorePeaceful(d)))))"
false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year ."," ""Recent warming is producing crop production records."""," ""There are billions of dollars in new economic and human welfare benefits each year."""," IsRecent(a),  HasCropProductionRecords(b)"," IsInDollars(c),  HasNewEconomicBenefits(d),  HasNewHumanWelfareBenefits(e),  IsEachYear(f)","[(' IsRecent(a)', '  HasNewEconomicBenefits(d)'), (' IsRecent(a)', '  HasNewHumanWelfareBenefits(e)'), (' IsRecent(a)', '  IsEachYear(f)'), ('  HasCropProductionRecords(b)', '  HasNewEconomicBenefits(d)'), ('  HasCropProductionRecords(b)', '  HasNewHumanWelfareBenefits(e)')]",[],[],IsRecent(a) and HasCropProductionRecords(b),IsInDollars(c) and (HasNewEconomicBenefits(d) and HasNewHumanWelfareBenefits(e)),(IsRecent(a) and HasCropProductionRecords(b) & (forall d (forall a ( IsRecent(a) ->   HasNewEconomicBenefits(d)))) & (forall e (forall a ( IsRecent(a) ->   HasNewHumanWelfareBenefits(e)))) & (forall a (forall f ( IsRecent(a) ->   IsEachYear(f)))) & (forall b (forall d (  HasCropProductionRecords(b) ->   HasNewEconomicBenefits(d)))) & (forall b (forall e (  HasCropProductionRecords(b) ->   HasNewHumanWelfareBenefits(e))))) -> (IsInDollars(c) and (HasNewEconomicBenefits(d) and HasNewHumanWelfareBenefits(e))),(exists b (exists a (IsRecent(a) and HasCropProductionRecords(b))) & (forall h (forall g ( IsRecent(g) ->   HasNewEconomicBenefits(h)))) & (forall j (forall i ( IsRecent(i) ->   HasNewHumanWelfareBenefits(j)))) & (forall k (forall l ( IsRecent(k) ->   IsEachYear(l)))) & (forall n (forall m (  HasCropProductionRecords(m) ->   HasNewEconomicBenefits(n)))) & (forall p (forall o (  HasCropProductionRecords(o) ->   HasNewHumanWelfareBenefits(p))))) -> (exists d (exists e (exists c (IsInDollars(c) and (HasNewEconomicBenefits(d) and HasNewHumanWelfareBenefits(e))))))
fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ...," ""Cato Institute scientists have noted that climate models have been over-hyping warming for decades."""," ""Climate models show 2.5 times more warming in the bulk atmosphere than has been observed."""," IsAtCatoInstitute(b),   HasOverHypedWarming(c)"," HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e)","[('   HasOverHypedWarming(c)', ' HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e)'), (' HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e)', '   HasOverHypedWarming(c)')]","[(' climate models', ' Climate models')]","[(' warming', ' Climate models'), (' warming', ' observed')]",(IsAtCatoInstitute(b) and HasOverHypedWarming(c)),"HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e)","((IsAtCatoInstitute(b) and HasOverHypedWarming(c)) & (forall e (forall a (forall c (   HasOverHypedWarming(c) ->  HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e))))) & (forall e (forall a (forall c ( HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e) ->    HasOverHypedWarming(c)))))) -> (HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e))","(exists b (exists c ((IsAtCatoInstitute(b) and HasOverHypedWarming(c)))) & (forall h (forall j (forall i (   HasOverHypedWarming(h) ->  HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(i,j))))) & (forall k (forall m (forall l ( HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(k,l) ->    HasOverHypedWarming(m)))))) -> (exists e (exists a (HasShownMoreWarmingInBulkAtmosphereThanHasBeenObserved(a,e))))"
fallacy of credibility,0,"Howard Browman , a marine scientist for 35 years , has published a review in the ICES Journal of Marine Science of all the papers published on the subject . His verdict could hardly be more damning . The methodology used by the studies was often flawed ; contrary studies suggesting that ocean acidification wasn ’ t a threat had sometimes had difficulty finding a publisher .", Howard Browman reviewed all the papers on ocean acidification., The methodology used by the studies was often flawed.," IsReviewed(a,b)", IsFlawed(d),[],[],"[(' The studies', ' ocean acidification'), (' methodology', ' ocean acidification'), (' ocean acidification', ' flawed.')]","IsReviewed(a,b)",IsFlawed(c),"(forall b (IsReviewed(a,b))) -> (exists c (IsFlawed(c)))","(exists b (exists a (IsReviewed(a,b)))) -> (exists c (IsFlawed(c)))"
intentional,0,"In June last year , a severe heatwave claimed over 1,000 lives in Karachi , Pakistan . Severe drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in “ intense and widespread ” forest fires in Indonesia that belched out a vast quantity of greenhouse gas ."," ""Severe heatwave claimed over 1,000 lives in Karachi."""," ""Severe drought caused food shortages for millions of people in Ethiopia."""," IsClaimed(a,b)"," IsCaused(c,d),  IsFor(d,e),  IsIn(f)",[],[],[],"IsClaimed(a,b)","IsCaused(c,d) and (IsFor(d,e) and IsIn(f))","(IsClaimed(a,b)) -> (IsCaused(c,d) and (IsFor(d,e) and IsIn(f)))","(exists b (exists a (IsClaimed(a,b)))) -> (exists d (exists e (exists f (exists c (IsCaused(c,d) and (IsFor(d,e) and IsIn(f)))))))"
intentional,0,The rate of sea-level rise has not accelerated .,,,,,[],[],[],,,() -> (),() -> ()
false dilemma,0,Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,,,,,[],[],[],,,() -> (),() -> ()
appeal to emotion,0,,,,,,[],[],[],,,() -> (),() -> ()
fallacy of credibility,0,"“ The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real , ” said Mr. Tuckman , the founder of a company offering creative services to the retail industry ."," ""The predictions of what will happen over the next 20, 30, 40 years are real."""," ""We have to be prepared for the worst."""," IsInNext20Years(b),  IsInNext30Years(c),  IsInNext40Years(d)", IsPreparedFor(a),[],"[(' The predictions', ' We')]","[(' worst', ' The predictions')]",IsInNext20Years(b) and IsInNext30Years(c) and IsInNext40Years(d),IsPreparedFor(a) and ~IsWorst(e),(IsInNext20Years(b) and IsInNext30Years(c) and IsInNext40Years(d)) -> (IsPreparedFor(a) and ~IsWorst(e)),(exists b (exists c (exists d (IsInNext20Years(b) and IsInNext30Years(c) and IsInNext40Years(d))))) -> (exists e (exists a (IsPreparedFor(a) and ~IsWorst(e))))
fallacy of relevance,0,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total ."," ""China's carbon dioxide emissions have increased by 53% in the past decade."""," ""China is the largest emitter of carbon dioxide."""," IsIncreasedBy(b,a),  IsInPastDecade(c)", IsLargestEmiter(a),[],"[(' China', ' China')]","[(' carbon dioxide emissions', ' China')]","IsIncreasedBy(b,a) and IsInPastDecade(c)",IsLargestEmiter(a),"(exists b (IsIncreasedBy(b,a) and IsInPastDecade(c))) -> (forall a (IsLargestEmiter(a)))","(exists b (exists a (exists c (IsIncreasedBy(b,a) and IsInPastDecade(c))))) -> (exists a (IsLargestEmiter(a)))"
