,Unnamed: 0,label,updated_label,articles,Logical Form,Logical Form 2,result
80,80,0,intentional,"John: Members of the UbaTuba White Men's Club are upstanding citizens of the community.
Marvin: Then why are there so many of these members in jail?
John: They were never true UbaTuba White Men's Club members.
Marvin: What’s a true UbaTuba White Men's Club member?
John: Those who don't go to jail.
",(forall b (IsUbaTubaWhiteMen'sClub(a) and AreUpstandingCitizens(b)) & (forall d (forall a ( IsUbaTubaWhiteMen'sClub(a) ->  IsTrueUbaTubaWhiteMen'sClubMembers(d)))) & (forall d (forall a ( IsTrueUbaTubaWhiteMen'sClubMembers(d) ->  IsUbaTubaWhiteMen'sClub(a)))) & (forall b (forall d ( IsTrueUbaTubaWhiteMen'sClubMembers(d) ->   AreUpstandingCitizens(b))))) -> (forall e (exists d (IsTrueUbaTubaWhiteMen'sClubMembers(d) and ~IsInJail(e)))),(exists b (exists a (IsUbaTubaWhiteMen'sClub(a) and AreUpstandingCitizens(b))) & (forall g (forall h ( IsUbaTubaWhiteMen'sClub(g) ->  IsTrueUbaTubaWhiteMen'sClubMembers(h)))) & (forall i (forall j ( IsTrueUbaTubaWhiteMen'sClubMembers(i) ->  IsUbaTubaWhiteMen'sClub(j)))) & (forall k (forall l ( IsTrueUbaTubaWhiteMen'sClubMembers(k) ->   AreUpstandingCitizens(l))))) -> (exists d (exists e (IsTrueUbaTubaWhiteMen'sClubMembers(d) and ~IsInJail(e)))),1
81,81,0,faulty generalization,"""Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization. To prevent this terrible consequence, we should make animal experimentation illegal right now.""",(forall b (IsExperimentedOn(a) and ~IsRespected(b))) -> (forall d (exists a (IsBecomeBattlefield(c) and (IsIllegal(a) and IsEnded(d))))),(exists b (exists a (IsExperimentedOn(a) and ~IsRespected(b)))) -> (exists d (exists c (exists a (IsBecomeBattlefield(c) and (IsIllegal(a) and IsEnded(d)))))),0
82,82,0,false causality,You know Jane Fonda's exercise videos must be worth the money. Look at the great shape she's in.,(IsWorthTheMoney(b) and IsJaneFonda(a) & (forall a ( IsInGreatShape(a) ->   IsJaneFonda(a)))) -> (IsInGreatShape(a)),(exists b (exists a (IsWorthTheMoney(b) and IsJaneFonda(a))) & (forall d ( IsInGreatShape(d) ->   IsJaneFonda(d)))) -> (exists a (IsInGreatShape(a))),1
83,83,0,faulty generalization,"Asians make lousy athletes, but do well at the Math Olympiad.",() -> (),() -> (),0
84,84,0,false dilemma,"“Caldwell Hall is in bad shape. Either we tear it down and put up a new building, or we continue to risk students’ safety. Obviously we shouldn’t risk anyone’s safety, so we must tear the building down.”",(IsInBadShape(a) & (forall d (forall a ( IsInBadShape(a) ->  IsTornDown(d)))) & (forall d (forall a ( IsTornDown(d) ->  IsInBadShape(a))))) -> (Must(c) and IsTornDown(d)),(exists a (IsInBadShape(a)) & (forall g (forall f ( IsInBadShape(f) ->  IsTornDown(g)))) & (forall h (forall i ( IsTornDown(h) ->  IsInBadShape(i))))) -> (exists c (exists d (Must(c) and IsTornDown(d)))),1
85,85,0,faulty generalization,Did you really vote for Donald as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?,(IsImprisoned(b) and EmbezzledMoney(c)) -> (IsDishonest(a)),(exists b (exists c (IsImprisoned(b) and EmbezzledMoney(c)))) -> (exists a (IsDishonest(a))),1
86,86,0,fallacy of logic,"If the ozone layer is destroyed, many people will get cancer and suffer from other illnesses.  The ozone layer is being protected, not destroyed.  So, many people will be spared the pain of cancer and other illnesses.",(IsProtected(a)) -> (IsSpared(b) and (HasCancer(c) or HasOtherIllnesses(d))),(exists a (IsProtected(a))) -> (exists b (exists c (exists d (IsSpared(b) and (HasCancer(c) or HasOtherIllnesses(d)))))),1
87,87,0,faulty generalization,"Broccoli has significantly less fat than the leading candy bar! Plus, it's nowhere near as hot as Hot Cheetos!","(exists c (IsLessFatThan(a,b) and ~IsNotAsHotAs(a,c))) -> (forall b (ShouldBeEatenInsteadOf(d,b)))","(exists b (exists c (exists a (IsLessFatThan(a,b) and ~IsNotAsHotAs(a,c))))) -> (exists b (exists d (ShouldBeEatenInsteadOf(d,b))))",1
88,88,0,fallacy of relevance,You're complaining because you have to walk to school? I used to have to give my parents my entire paycheck.,(IsWalkedTo(a)) -> (IsComplaining(a)),(exists a (IsWalkedTo(a))) -> (exists a (IsComplaining(a))),0
89,89,0,fallacy of extension,Robot 2 (Blue) has been refuting all of Robot 1's (Orange) arguments. Robot 1 launches the above counterargument. What is this fallacy?,"(IsInOrange(a) and IsRefutingArguments(c)) -> (IsInOrange(a) and LaunchesCounterargument(b,e))","(exists c (exists a (IsInOrange(a) and IsRefutingArguments(c)))) -> (exists b (exists a (exists e (IsInOrange(a) and LaunchesCounterargument(b,e)))))",0
90,90,0,ad hominem,Personally attacking someone to shift attention away from your views is,(forall b (IsPersonallyAttacking(b) and IsFormOfBullying(b))) -> (exists c (IsAttacking(a) and IsBullying(c))),(exists b (IsPersonallyAttacking(b) and IsFormOfBullying(b))) -> (exists c (exists a (IsAttacking(a) and IsBullying(c)))),0
91,91,0,ad hominem,"""She's such a mean teacher and person – that's why she wouldn't raise my grade ONE percent!""",() -> (),() -> (),1
92,92,0,appeal to emotion,"If you don't buy the black pencils, you will get made fun of. You will not be chosen for group projects.",(exists c (exists a (If (IsNotBought(a)) and IsMadeFunOf(c)))) -> (forall a (forall d (IsNotChosen(a) and ~IsInGroupProject(d)))),(exists c (exists a (If (IsNotBought(a)) and IsMadeFunOf(c)))) -> (exists d (exists a (IsNotChosen(a) and ~IsInGroupProject(d)))),0
93,93,0,faulty generalization,"Jeff's mom is concerned when she finds out that he skipped class one day. She tells him that she is concerned that since he skipped one class, he will start skipping more frequently. Then he will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of his life. What type of fallacy has Jeff's mom committed?",(IsSkipped(a) & (forall a ( IsSkipped(a) ->   WillDropOutOfSchool(a))) & (forall a (  WillDropOutOfSchool(a) ->  IsSkipped(a))) & (forall a ( IsSkipped(a) ->   WillNeverGraduate(a))) & (forall a (  WillNeverGraduate(a) ->  IsSkipped(a))) & (forall a ( IsSkipped(a) ->   WillEndUpUnemployed(a))) & (forall a (  WillEndUpUnemployed(a) ->  IsSkipped(a)))) -> ((WillStartSkippingMoreClasses(a) and  WillDropOutOfSchool(a)) and (WillNeverGraduate(a) or WillEndUpUnemployed(a)) and (WillLiveAtHome(a))),(exists a (IsSkipped(a)) & (forall f ( IsSkipped(f) ->   WillDropOutOfSchool(f))) & (forall g (  WillDropOutOfSchool(g) ->  IsSkipped(g))) & (forall h ( IsSkipped(h) ->   WillNeverGraduate(h))) & (forall i (  WillNeverGraduate(i) ->  IsSkipped(i))) & (forall j ( IsSkipped(j) ->   WillEndUpUnemployed(j))) & (forall k (  WillEndUpUnemployed(k) ->  IsSkipped(k)))) -> (exists a ((WillStartSkippingMoreClasses(a) and  WillDropOutOfSchool(a)) and (WillNeverGraduate(a) or WillEndUpUnemployed(a)) and (WillLiveAtHome(a)))),0
94,94,0,ad hominem,"How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.

Identify the logical fallacy commited in this argument.",(IsExercise(a) and LosesWeight(b)) -> (~IsExercise(b)),(exists b (exists a (IsExercise(a) and LosesWeight(b)))) -> (exists b (~IsExercise(b))),1
95,95,0,fallacy of logic,"""We both like music, so we should get married.""",() -> (),() -> (),0
96,96,0,ad hominem,"Brandon: We should have tastier lunches!
Jaylen: Don't listen to him! He's a terrible person! I saw him trip another student and steal his lunch money!","(IsWanted(a,b)) -> (IsTerriblePerson(a))","(exists b (exists a (IsWanted(a,b)))) -> (exists a (IsTerriblePerson(a)))",0
97,97,0,ad hominem,Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.,(~IsBunk(a)) -> (IsSpentAllTime(c) and IsInLibrary(d)),(exists a (~IsBunk(a))) -> (exists c (exists d (IsSpentAllTime(c) and IsInLibrary(d)))),1
98,98,0,fallacy of relevance,"I'm tailgating her, because she cut me off!",(IsShe(a) and IsCutOff(b)) -> (IsTailgating(d)),(exists b (exists a (IsShe(a) and IsCutOff(b)))) -> (exists d (IsTailgating(d))),1
99,99,0,faulty generalization,President Petutti ordered a military strike that killed many civilians. He is no different than any other mass murder and he belongs in prison!,() -> (),() -> (),1
100,100,1,,A white and black dog catching a Frisbee. It follows that the dog is playing with a toy thrown by a person.,"(forall a (IsCaught(a,b))) -> (exists c (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))","(exists b (exists a (IsCaught(a,b)))) -> (exists c (exists d (exists e (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))))",1
101,101,1,,"A firefighter is putting wooden blocks under a crushed blue car. Therefore, the firefighter is putting something under the car.","(forall c (IsPutting(a,c) and IsUnder(b))) -> (exists d (exists a (IsPutting(a,d) and IsUnder(b))))","(exists b (exists c (exists a (IsPutting(a,c) and IsUnder(b))))) -> (exists d (exists b (exists a (IsPutting(a,d) and IsUnder(b)))))",1
102,102,1,,"Hispanic woman wearing a red plaid shirt works on sewing an article of clothing. As a consequence, woman wearing a shirt sewing.",(forall c (exists b (IsHispanic(a) and IsWearingRedPlaidShirt(b) and WorksOnSewing(c))) & (forall b (forall e (  IsWearingRedPlaidShirt(b) ->  IsWearing(e)))) & (forall b (forall e ( IsWearing(e) ->   IsWearingRedPlaidShirt(b)))) & (forall c (forall f (  WorksOnSewing(c) ->   IsSewing(f)))) & (forall c (forall f (  IsSewing(f) ->   WorksOnSewing(c))))) -> (exists f (forall e (IsWearing(e) and IsSewing(f)))),(exists b (exists c (exists a (IsHispanic(a) and IsWearingRedPlaidShirt(b) and WorksOnSewing(c)))) & (forall g (forall h (  IsWearingRedPlaidShirt(g) ->  IsWearing(h)))) & (forall i (forall j ( IsWearing(i) ->   IsWearingRedPlaidShirt(j)))) & (forall k (forall l (  WorksOnSewing(k) ->   IsSewing(l)))) & (forall m (forall n (  IsSewing(m) ->   WorksOnSewing(n))))) -> (exists e (exists f (IsWearing(e) and IsSewing(f)))),1
103,103,1,,"A group of people walking down the street with one on the phone in a green hat. Thus, people are outside.",(forall b (IsOutside(b))) -> (exists d (exists c (IsOnPhone(c) and IsWearingGreenHat(d)))),(exists b (IsOutside(b))) -> (exists c (exists d (IsOnPhone(c) and IsWearingGreenHat(d)))),1
104,104,1,,Six children run towards a soccer ball on an athletic field. It follows that children run towards a soccer ball.,"(exists b (IsRunTowards(b,a))) -> (forall c (IsRunTowards(c,a)))","(exists b (exists a (IsRunTowards(b,a)))) -> (exists c (exists a (IsRunTowards(c,a))))",1
105,105,1,,"A man with no shirt and purple pants crouches while tampering with a metallic object. Consequently, shirtless man tampers with metal thing.",(forall b (IsNoShirt(a) and IsTampering(b))) -> (exists d (IsTampering(d))),(exists b (exists a (IsNoShirt(a) and IsTampering(b)))) -> (exists d (IsTampering(d))),1
106,106,1,,A smiling girl in glasses and a blue-gray scarf with a smiling girl in a black coat leaning on her shoulder. This implies that the girls are smiling.,(exists c (exists a (IsInGlasses(a) and (HasBlueGrayScarf(b) and Smiles(c)))) & (forall c (forall d (  Smiles(c) ->  IsSmiling(d)))) & (forall c (forall d ( IsSmiling(d) ->   Smiles(c))))) -> (forall d (IsSmiling(d))),(exists b (exists c (exists a (IsInGlasses(a) and (HasBlueGrayScarf(b) and Smiles(c))))) & (forall e (forall f (  Smiles(e) ->  IsSmiling(f)))) & (forall g (forall h ( IsSmiling(g) ->   Smiles(h))))) -> (exists d (IsSmiling(d))),1
107,107,1,,"A man in a yellow tie is rubbing the back of his neck. Hence, a man is rubbing his neck.",(forall b (IsRubbing(b))) -> (exists d (IsInYellowTie(c) and IsRubbing(d))),(exists b (IsRubbing(b))) -> (exists c (exists d (IsInYellowTie(c) and IsRubbing(d)))),1
108,108,1,,"A baseball player gets ready to catch a fly ball near the outfield fence. Therefore, a person is playing baseball outdoors.",(forall a (IsGettingReady(a) and (IsABaseballPlayer(a) and IsCatchingFlyBall(a) and IsNearOutfieldFence(a))) & (forall a ( IsABaseballPlayer(a) ->  IsPlayingBaseball(a))) & (forall a ( IsPlayingBaseball(a) ->  IsABaseballPlayer(a))) & (forall a (  IsNearOutfieldFence(a) ->   IsOutdoors(a)))) -> (exists c (IsPlayingBaseball(a) and IsOutdoors(c))),(exists a (IsGettingReady(a) and (IsABaseballPlayer(a) and IsCatchingFlyBall(a) and IsNearOutfieldFence(a))) & (forall e ( IsABaseballPlayer(e) ->  IsPlayingBaseball(e))) & (forall f ( IsPlayingBaseball(f) ->  IsABaseballPlayer(f))) & (forall g (  IsNearOutfieldFence(g) ->   IsOutdoors(g)))) -> (exists c (exists a (IsPlayingBaseball(a) and IsOutdoors(c)))),1
109,109,1,,A bald man has hand on the shoulder of another man. It follows that a man is touching another person.,"(exists b (IsBald(a) and HasHandOnShoulder(b)) & (forall d (forall c (forall a ( IsBald(a) ->  IsTouching(c,d))))) & (forall b (forall c (forall d (  HasHandOnShoulder(b) ->  IsTouching(c,d))))) & (forall b (forall c (forall d ( IsTouching(c,d) ->   HasHandOnShoulder(b)))))) -> (forall d (forall c (IsTouching(c,d))))","(exists b (exists a (IsBald(a) and HasHandOnShoulder(b))) & (forall g (forall e (forall f ( IsBald(e) ->  IsTouching(f,g))))) & (forall h (forall j (forall i (  HasHandOnShoulder(h) ->  IsTouching(i,j))))) & (forall m (forall k (forall l ( IsTouching(k,l) ->   HasHandOnShoulder(m)))))) -> (exists c (exists d (IsTouching(c,d))))",1
110,110,1,,"Girl in a thin rowboat leaving the dock of a lake. Hence, the girl in the rowboat is not fat.",(~IsFat(a)) -> (IsLeaving(a) and IsOnLake(b) and IsOnDock(c)),(exists a (~IsFat(a))) -> (exists b (exists c (exists a (IsLeaving(a) and IsOnLake(b) and IsOnDock(c))))),0
111,111,1,,"Two dogs are fighting in a field. Consequently, the two dogs are outside.",(IsFighting(a) and IsInField(b)) -> (IsOutside(a)),(exists b (exists a (IsFighting(a) and IsInField(b)))) -> (exists a (IsOutside(a))),1
112,112,1,,"Three people are in an alley with a dumpster, one skateboarding over the dumpster while the other two look on. It follows that a person is riding a skateboard.",(IsRiding(a)) -> ((IsInAlley(d) and IsWithDumpster(e))),(exists a (IsRiding(a))) -> (exists d (exists e ((IsInAlley(d) and IsWithDumpster(e))))),1
113,113,1,,"Several men wearing blue smocks, hats, and mouth coverings are in an operating room, each concentrating on something. As a consequence, doctors are fixating on their job.",(forall b (IsFixating(a) and IsJob(b))) -> (exists d ((IsWearingBlueSmooths(d) and IsWearingHats(e)) and (IsWearingMouthCoverings(f) and IsInOperatingRoom(g)))),(exists b (exists a (IsFixating(a) and IsJob(b)))) -> (exists g (exists d (exists e (exists f ((IsWearingBlueSmooths(d) and IsWearingHats(e)) and (IsWearingMouthCoverings(f) and IsInOperatingRoom(g))))))),1
114,114,1,,"A woman in a fancy costume is fixer her makeup in front of a mirror. As a consequence, fancy woman fixes makeup at a mirror.",() -> (),() -> (),1
115,115,1,,Old man in a yellow shirt standing in front of a yellow building next to a pay phone. It follows that the man is wearing a yellow shirt.,"(IsWearing(a,b)) -> (IsStanding(a) and IsNextTo(a,c) and IsAt(a,c))","(exists b (exists a (IsWearing(a,b)))) -> (exists c (exists a (IsStanding(a) and IsNextTo(a,c) and IsAt(a,c))))",1
116,116,1,,"A dog stands in a field with a tennis ball in his mouth. Thus, the dog is outside.",(IsInField(b) and (HasTennisBall(c) and IsHis(d))) -> (IsOutside(e)),(exists b (exists c (exists d (IsInField(b) and (HasTennisBall(c) and IsHis(d)))))) -> (exists e (IsOutside(e))),1
117,117,1,,"A woman in a bathing suit exits a pool. Consequently, a woman is wet.",() -> (),() -> (),1
118,118,1,,A man plugs his nose while trying something with an obvious pungent odor as his female friends laughs it on. It follows that a man eats something that smells awful.,"(exists b (forall a (IsEaten(a,b) and SmellsAwful(b))) & (forall d (forall b (forall a ( IsEaten(a,b) ->   HasObviousPungentOdor(a,d))))) & (forall b (forall c (forall a (  SmellsAwful(b) ->  IsPlugged(a,c))))) & (forall d (forall b (forall a (  SmellsAwful(b) ->   HasObviousPungentOdor(a,d))))) & (forall d (forall b (forall a (  HasObviousPungentOdor(a,d) ->   SmellsAwful(b)))))) -> (forall d (forall a (forall c (exists d (exists c (IsPlugged(a,c) and HasObviousPungentOdor(a,d)))))))","(exists b (exists a (IsEaten(a,b) and SmellsAwful(b))) & (forall g (forall h (forall f ( IsEaten(f,g) ->   HasObviousPungentOdor(f,h))))) & (forall k (forall i (forall j (  SmellsAwful(i) ->  IsPlugged(j,k))))) & (forall m (forall n (forall l (  SmellsAwful(l) ->   HasObviousPungentOdor(m,n))))) & (forall q (forall p (forall o (  HasObviousPungentOdor(o,p) ->   SmellsAwful(q)))))) -> (exists d (exists c (exists a (IsPlugged(a,c) and HasObviousPungentOdor(a,d)))))",1
119,119,1,,"Two bald men and two bald women dressed in all white standing in a prayer pose. Thus, people are standing.",(exists c ((IsBald(a) and IsBald(b)) and (IsInAllWhite(c) and (IsBald(a) or IsBald(b))))) -> (forall d (IsStanding(d))),(exists b (exists c (exists a ((IsBald(a) and IsBald(b)) and (IsInAllWhite(c) and (IsBald(a) or IsBald(b))))))) -> (exists d (IsStanding(d))),1
120,120,1,,A woman helping a toddler to swim in a pool. It follows that the people are wet.,"(IsHelping(a,b) and IsInPool(c)) -> (IsWet(d))","(exists b (exists c (exists a (IsHelping(a,b) and IsInPool(c))))) -> (exists d (IsWet(d)))",1
121,121,1,,"A crowd of people are sitting in bleachers, and some are holding American flags. Thus, a crowd of people are sitting, some sitting with flags.",(forall a (IsInCrowd(a) and (IsHoldingAmericanFlag(a) or IsInCrowd(a))) & (forall d (forall a (  IsHoldingAmericanFlag(a) ->   IsHoldingFlags(d))))) -> (exists d (exists c (exists b ((IsInCrowd(b) and IsSitting(c)) and (IsHoldingFlags(d) or IsSittingWithFlags(d)))))),(exists a (IsInCrowd(a) and (IsHoldingAmericanFlag(a) or IsInCrowd(a))) & (forall e (forall f (  IsHoldingAmericanFlag(e) ->   IsHoldingFlags(f))))) -> (exists b (exists c (exists d ((IsInCrowd(b) and IsSitting(c)) and (IsHoldingFlags(d) or IsSittingWithFlags(d)))))),1
122,122,1,,"Man reading a book in a barber shop at night. As a consequence, a man is sitting in a barber shop.","(IsSittingIn(a,b) & (forall b (forall a ( IsSittingIn(a,b) ->   IsInBarberShop(a,b)))) & (forall b (forall a (  IsInBarberShop(a,b) ->  IsSittingIn(a,b))))) -> (IsReading(a,c) and IsInBarberShop(a,b))","(exists b (exists a (IsSittingIn(a,b))) & (forall d (forall e ( IsSittingIn(d,e) ->   IsInBarberShop(d,e)))) & (forall g (forall f (  IsInBarberShop(f,g) ->  IsSittingIn(f,g))))) -> (exists b (exists c (exists a (IsReading(a,c) and IsInBarberShop(a,b)))))",1
123,123,1,,"A young person is doing a trick on a bike. Hence, a person is riding a bike.",(IsDoingTrick(b) and IsOnBike(a) & (forall c (forall a (  IsOnBike(a) ->  IsRidingBike(c)))) & (forall c (forall a ( IsRidingBike(c) ->   IsOnBike(a))))) -> (IsRidingBike(a)),(exists b (exists a (IsDoingTrick(b) and IsOnBike(a))) & (forall d (forall e (  IsOnBike(d) ->  IsRidingBike(e)))) & (forall g (forall f ( IsRidingBike(f) ->   IsOnBike(g))))) -> (exists a (IsRidingBike(a))),1
124,124,1,,A group of five children have a snowball fight and play in the snow. It follows that there are five children in this picture.,(IsInThisPicture(a)) -> (IsInSnow(d) and HasSnowballFight(a)),(exists a (IsInThisPicture(a))) -> (exists d (exists a (IsInSnow(d) and HasSnowballFight(a)))),0
125,125,1,,"A man climbing the side of a cliff. Thus, he is a rock climber.",(forall b (IsClimbing(a) and IsOnCliff(b)) & (forall c (forall a ( IsClimbing(a) ->  IsHe(c)))) & (forall d (forall a ( IsClimbing(a) ->   IsRockClimber(d))))) -> (exists d (IsHe(c) and IsRockClimber(d))),(exists b (exists a (IsClimbing(a) and IsOnCliff(b))) & (forall e (forall f ( IsClimbing(e) ->  IsHe(f)))) & (forall g (forall h ( IsClimbing(g) ->   IsRockClimber(h))))) -> (exists c (exists d (IsHe(c) and IsRockClimber(d)))),1
126,126,1,,"A woman in a formal suit takes pictures as the crowd waits patiently for unfolding events. Therefore, a woman takes pictrues of a group.",(exists b (IsTakingPictures(a) and IsInGroup(b))) -> (forall c (IsTakingPictures(a) and IsInCrowd(c))),(exists b (exists a (IsTakingPictures(a) and IsInGroup(b)))) -> (exists c (exists a (IsTakingPictures(a) and IsInCrowd(c)))),1
127,127,1,,"A man in a green helmet helping a girl in a blue helmet and pink suite up a rock with a rope. Therefore, a man is helping a girl up a rock with a rope.","(IsHelping(a,b) and IsOnRock(c) and HasRope(d)) -> (IsHelping(a,b) and IsOnRock(c) and HasRope(d))","(exists d (exists b (exists c (exists a (IsHelping(a,b) and IsOnRock(c) and HasRope(d)))))) -> (exists d (exists b (exists c (exists a (IsHelping(a,b) and IsOnRock(c) and HasRope(d))))))",1
128,128,1,,a toddler riding on the shoulders of her dad. It follows that a young child having fun with Dad.,(forall a (IsToddler(a) and IsOnShoulders(a)) & (forall b (forall a ( IsToddler(a) ->  IsFun(b)))) & (forall b (forall a ( IsFun(b) ->  IsToddler(a))))) -> (exists c (exists b (IsFun(b) and IsWithDad(c)))),(exists a (IsToddler(a) and IsOnShoulders(a)) & (forall d (forall e ( IsToddler(d) ->  IsFun(e)))) & (forall g (forall f ( IsFun(f) ->  IsToddler(g))))) -> (exists b (exists c (IsFun(b) and IsWithDad(c)))),1
129,129,1,,"A cyclist in a red, yellow and black uniform, including a helmet is performing a trick on his bike. It follows that a cyclist is doing tricks on his bike.",(exists b ((IsInRed(c) and IsInYellow(d) and IsInBlack(e)) and (IsWearingUniform(f) and IsOnBike(b))) & (forall b (forall a (  IsOnBike(b) ->  IsDoingTricks(a))))) -> (forall a (IsDoingTricks(a) and IsOnBike(b))),(exists d (exists b (exists c (exists e (exists f ((IsInRed(c) and IsInYellow(d) and IsInBlack(e)) and (IsWearingUniform(f) and IsOnBike(b))))))) & (forall h (forall i (  IsOnBike(h) ->  IsDoingTricks(i))))) -> (exists b (exists a (IsDoingTricks(a) and IsOnBike(b)))),1
130,130,1,,"A little girl lays on the sidewalk with her face in the grass. Therefore, a girl is laying on the sidewalk.",() -> (),() -> (),1
131,131,1,,"A performer on a concert stage. Consequently, the person is on stage.",(IsOnStage(b)) -> (IsOnStage(c)),(exists b (IsOnStage(b))) -> (exists c (IsOnStage(c))),1
132,132,1,,"A young woman with blue jeans and a black tank top is walking down the sidewalk screaming and clutching her chest. Consequently, a very upset woman is screaming and walking.",(IsScreaming(a) and IsClutching(b) & (forall c (forall a ( IsScreaming(a) ->  IsUpset(c)))) & (forall c (forall a ( IsUpset(c) ->  IsScreaming(a)))) & (forall b (forall c (  IsClutching(b) ->  IsUpset(c)))) & (forall c (forall b ( IsUpset(c) ->   IsClutching(b))))) -> (IsUpset(c) and IsWalking(d)),(exists b (exists a (IsScreaming(a) and IsClutching(b))) & (forall e (forall f ( IsScreaming(e) ->  IsUpset(f)))) & (forall g (forall h ( IsUpset(g) ->  IsScreaming(h)))) & (forall i (forall j (  IsClutching(i) ->  IsUpset(j)))) & (forall k (forall l ( IsUpset(k) ->   IsClutching(l))))) -> (exists c (exists d (IsUpset(c) and IsWalking(d)))),1
133,133,1,,A woman is running with a bunch of children in what appears to be a race. This implies that the woman is running.,(IsRunning(a) & (forall a ( IsRunning(a) ->  IsInRace(a))) & (forall a ( IsInRace(a) ->  IsRunning(a)))) -> (IsInRace(a)),(exists a (IsRunning(a)) & (forall d ( IsRunning(d) ->  IsInRace(d))) & (forall e ( IsInRace(e) ->  IsRunning(e)))) -> (exists a (IsInRace(a))),1
134,134,1,,A man and young child playing mini golf with tennis balls and enlarged golf putters. This implies that the people are playing mini golf.,"(forall b (IsPlayingMiniGolf(a,b))) -> (exists e ((IsPlayingMiniGolf(d,e) and IsUsingTennisBalls(f)) or (IsPlayingMiniGolf(d,e) and IsUsingEnlargedGolfPutters(g))))","(exists b (exists a (IsPlayingMiniGolf(a,b)))) -> (exists g (exists d (exists e (exists f ((IsPlayingMiniGolf(d,e) and IsUsingTennisBalls(f)) or (IsPlayingMiniGolf(d,e) and IsUsingEnlargedGolfPutters(g)))))))",1
135,135,1,,"Race dog# 2 is ahead of a few other dogs. As a consequence, more than one dog is shown here.",(exists b (IsAhead(a) and ~IsAhead(b))) -> (forall a ((IsMoreThanOne(a) and IsShownHere(a)))),(exists b (exists a (IsAhead(a) and ~IsAhead(b)))) -> (exists a ((IsMoreThanOne(a) and IsShownHere(a)))),1
136,136,1,,Several women and men are lifting their arms straight up above their heads. It follows that people raise their arms.,"(IsLifted(a,b) & (forall b (forall a ( IsLifted(a,b) ->  IsRaised(a,b)))) & (forall b (forall a ( IsRaised(a,b) ->  IsLifted(a,b))))) -> (IsRaised(a,b))","(exists b (exists a (IsLifted(a,b))) & (forall c (forall d ( IsLifted(c,d) ->  IsRaised(c,d)))) & (forall e (forall f ( IsRaised(e,f) ->  IsLifted(e,f))))) -> (exists b (exists a (IsRaised(a,b))))",1
137,137,1,,"The Doberman is running through the tall grass. Hence, another dog runs through some more grass.",(exists b (exists a (IsRunning(a) and IsInTallGrass(b)))) -> (forall d (forall c (IsRunning(c) and IsInSomeMoreGrass(d)))),(exists b (exists a (IsRunning(a) and IsInTallGrass(b)))) -> (exists c (exists d (IsRunning(c) and IsInSomeMoreGrass(d)))),1
138,138,1,,"Two gray dogs run together over the green grass. Thus, there is more than one dog.",(exists a (IsRunTogether(a) and IsOnGreenGrass(b)) & (forall c (forall a ( IsRunTogether(a) ->  IsMoreThanOne(c))))) -> (forall c (IsMoreThanOne(c) and (IsDog(c) or IsDog(c1) and IsDog(c2)))),(exists b (exists a (IsRunTogether(a) and IsOnGreenGrass(b))) & (forall d (forall e ( IsRunTogether(d) ->  IsMoreThanOne(e))))) -> (exists c (IsMoreThanOne(c) and (IsDog(c) or IsDog(c1) and IsDog(c2)))),1
139,139,1,,"A man with a blue and yellow bowler hat on is speaking into a headset microphone, while holding a rope. Consequently, a man is using a hands free microphone.",(IsUsingHandsFreeMicrophone(a)) -> (IsWearingBlueAndYellowBowlerHat(a) and IsSpeakingIntoHeadsetMicrophone(a)),(exists a (IsUsingHandsFreeMicrophone(a))) -> (exists a (IsWearingBlueAndYellowBowlerHat(a) and IsSpeakingIntoHeadsetMicrophone(a))),1
140,140,1,,Ice skiing is a sport where we can play it in a snow. This implies that ice skiing is a snow sport.,(IsSnow(a) and IsPlayed(a) & (forall b (forall a ( IsSnow(b) ->   IsPlayed(a))))) -> (IsSnow(b) and IsSnowSport(b)),(exists a (IsSnow(a) and IsPlayed(a)) & (forall c (forall d ( IsSnow(c) ->   IsPlayed(d))))) -> (exists b (IsSnow(b) and IsSnowSport(b))),1
141,141,1,,3 girls imitating a sexual position at a party. This implies that three girls are at a party.,"(forall a (IsImitated(a,b))) -> (exists c (IsAtParty(c) and (IsAtParty(c1) and IsAtParty(c2) and IsAtParty(c3))))","(exists b (exists a (IsImitated(a,b)))) -> (exists c (IsAtParty(c) and (IsAtParty(c1) and IsAtParty(c2) and IsAtParty(c3))))",1
142,142,1,,"A greyhound races on the dirt. Hence, a dog races on the dirt.",() -> (),() -> (),1
143,143,1,,"a small black and white jumping to catch something in its mouth. Hence, a animal is leaping.",(forall a (IsSmall(a) and IsBlackAndWhite(a) and IsLeaping(a))) -> (exists b (IsLeaping(b))),(exists a (IsSmall(a) and IsBlackAndWhite(a) and IsLeaping(a))) -> (exists b (IsLeaping(b))),1
