,Unnamed: 0,logical_fallacies,label,articles,Logical Form,Logical Form 2,result
53,53,intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .,(forall d (forall c (exists c (forall b (IsInPolarIce(b) and (IsInWorld(c) and IsSinceSatelliteRecords(d)))))) & (forall b (forall g ( IsInPolarIce(b) ->   IsInPolarIceIncrease(g)))) & (forall b (forall g (  IsInPolarIceIncrease(g) ->  IsInPolarIce(b)))) & (forall c (forall f (  IsInWorld(c) ->  IsExperiencing(f)))) & (forall c (forall f ( IsExperiencing(f) ->   IsInWorld(c)))) & (forall e (forall f (  IsIn1979(e) ->  IsExperiencing(f))))) -> (forall f (exists g (IsExperiencing(f) and IsInPolarIceIncrease(g)))),(exists c (exists b (exists d (IsInPolarIce(b) and (IsInWorld(c) and IsSinceSatelliteRecords(d))))) & (forall h (forall i ( IsInPolarIce(h) ->   IsInPolarIceIncrease(i)))) & (forall k (forall j (  IsInPolarIceIncrease(j) ->  IsInPolarIce(k)))) & (forall m (forall l (  IsInWorld(l) ->  IsExperiencing(m)))) & (forall o (forall n ( IsExperiencing(n) ->   IsInWorld(o)))) & (forall q (forall p (  IsIn1979(p) ->  IsExperiencing(q))))) -> (exists f (exists g (IsExperiencing(f) and IsInPolarIceIncrease(g)))),1
54,54,fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem .",(exists e (exists d (Is80(c) and (IsGlobalWarming(a) and IsScare(d)) and IsOverdone(e))) & (forall a (  IsGlobalWarming(a) ->  IsInGlobalWarming(a))) & (forall a ( IsInGlobalWarming(a) ->   IsGlobalWarming(a))) & (forall a (  IsGlobalWarming(a) ->   IsProblem(a)))) -> (forall a (IsInGlobalWarming(a) and ~IsUnusual(g) and ~IsProblem(a))),(exists e (exists c (exists d (exists a (Is80(c) and (IsGlobalWarming(a) and IsScare(d)) and IsOverdone(e))))) & (forall i (  IsGlobalWarming(i) ->  IsInGlobalWarming(i))) & (forall j ( IsInGlobalWarming(j) ->   IsGlobalWarming(j))) & (forall k (  IsGlobalWarming(k) ->   IsProblem(k)))) -> (exists a (exists g (IsInGlobalWarming(a) and ~IsUnusual(g) and ~IsProblem(a)))),1
55,55,faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period .","(forall c (exists c (exists a (exists b (IsHigh(a) and OccurredDuring(b,c))))) & (forall e (forall a ( IsHigh(a) ->   HasCorrelation(a,e)))) & (forall e (forall a (  HasCorrelation(a,e) ->  IsHigh(a)))) & (forall e (forall c (forall b (forall a (  OccurredDuring(b,c) ->   HasCorrelation(a,e))))))) -> (exists e (forall a (forall d (IsClear(d) and HasCorrelation(a,e)))))","(exists c (exists a (exists b (IsHigh(a) and OccurredDuring(b,c)))) & (forall h (forall g ( IsHigh(g) ->   HasCorrelation(g,h)))) & (forall j (forall i (  HasCorrelation(i,j) ->  IsHigh(i)))) & (forall k (forall n (forall m (forall l (  OccurredDuring(k,l) ->   HasCorrelation(m,n))))))) -> (exists e (exists d (exists a (IsClear(d) and HasCorrelation(a,e)))))",0
56,56,intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change .","(IsSays(b,a) and IsNeeds(b,c)) -> (IsNecessary(d,a))","(exists c (exists a (exists b (IsSays(b,a) and IsNeeds(b,c))))) -> (exists d (exists a (IsNecessary(d,a))))",1
57,57,appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet .",(IsInPineIslandBay(a) and (AreFastestMelting(b) and IsInAntarctica(c)) & (forall b (  AreFastestMelting(b) ->  IsMelt(b)))) -> (IsMelt(b) and (AreSubmerged(d) and IsOnPlanet(e))),(exists c (exists a (exists b (IsInPineIslandBay(a) and (AreFastestMelting(b) and IsInAntarctica(c))))) & (forall f (  AreFastestMelting(f) ->  IsMelt(f)))) -> (exists e (exists d (exists b (IsMelt(b) and (AreSubmerged(d) and IsOnPlanet(e)))))),1
58,58,faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world .","(exists c (IsLeadsTo(a,b) and IsImprovedSoilMoisture(c)) & (forall a (forall b ( IsLeadsTo(a,b) ->  IsCreating(a))))) -> (forall d (IsCreating(a) and (IsSafer(d) and IsMorePeaceful(d))))","(exists c (exists a (exists b (IsLeadsTo(a,b) and IsImprovedSoilMoisture(c)))) & (forall e (forall f ( IsLeadsTo(e,f) ->  IsCreating(e))))) -> (exists a (exists d (IsCreating(a) and (IsSafer(d) and IsMorePeaceful(d)))))",1
59,59,false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year .",(IsRecent(a) and HasCropProductionRecords(b)) -> (IsInDollars(c) and (HasNewEconomicBenefits(d) and HasNewHumanWelfareBenefits(e)) and IsEachYear(f)),(exists a (exists b (IsRecent(a) and HasCropProductionRecords(b)))) -> (exists e (exists c (exists f (exists d (IsInDollars(c) and (HasNewEconomicBenefits(d) and HasNewHumanWelfareBenefits(e)) and IsEachYear(f)))))),0
60,60,fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ...,(IsAtCatoInstitute(b) and HasOverhypedWarming(c) & (forall f (forall b ( IsAtCatoInstitute(b) ->   HasBeenObserved(f))))) -> (HasMoreWarmingInBulkAtmosphere(a) and ~HasBeenObserved(f)),(exists c (exists b (IsAtCatoInstitute(b) and HasOverhypedWarming(c))) & (forall h (forall i ( IsAtCatoInstitute(h) ->   HasBeenObserved(i))))) -> (exists a (exists f (HasMoreWarmingInBulkAtmosphere(a) and ~HasBeenObserved(f)))),0
61,61,fallacy of credibility,0,"Howard Browman , a marine scientist for 35 years , has published a review in the ICES Journal of Marine Science of all the papers published on the subject . His verdict could hardly be more damning . The methodology used by the studies was often flawed ; contrary studies suggesting that ocean acidification wasn ’ t a threat had sometimes had difficulty finding a publisher .",(exists c (forall b (IsPublished(a) and (IsAboutOceanAcidification(b) and IsACollectionOf(c))))) -> (forall d (exists e (exists d (IsFlawed(e) and (IsMethodology(d) and IsFlawed(e)))))),(exists c (exists a (exists b (IsPublished(a) and (IsAboutOceanAcidification(b) and IsACollectionOf(c)))))) -> (exists e (exists d (IsFlawed(e) and (IsMethodology(d) and IsFlawed(e))))),0
62,62,intentional,0,"In June last year , a severe heatwave claimed over 1,000 lives in Karachi , Pakistan . Severe drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in “ intense and widespread ” forest fires in Indonesia that belched out a vast quantity of greenhouse gas .","(IsSevereHeatwave(a) and IsClaimed(a,b)) -> (IsCaused(c,d) and (IsFor(d,e) and IsIn(f)))","(exists a (exists b (IsSevereHeatwave(a) and IsClaimed(a,b)))) -> (exists e (exists c (exists f (exists d (IsCaused(c,d) and (IsFor(d,e) and IsIn(f)))))))",1
63,63,intentional,0,The rate of sea-level rise has not accelerated .,(~IsAccelerated(c)) -> (IsGoodNewsFor(a)),(exists c (~IsAccelerated(c))) -> (exists a (IsGoodNewsFor(a))),1
64,64,false dilemma,0,Just because we are alive today does not mean we change major planetary systems that operated for billions of years .,"(forall a (IsChanged(a,b))) -> (exists c (IsAlive(a,c)))","(exists a (exists b (IsChanged(a,b)))) -> (exists c (exists a (IsAlive(a,c))))",0
65,65,appeal to emotion,0,,() -> (),() -> (),0
66,66,fallacy of credibility,0,"“ The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real , ” said Mr. Tuckman , the founder of a company offering creative services to the retail industry .",(forall b (IsPredictions(b))) -> (exists d (exists c (IsWorst(d) and (IsPrepared(c) or IsBad(d))))),(exists b (IsPredictions(b))) -> (exists c (exists d (IsWorst(d) and (IsPrepared(c) or IsBad(d))))),1
67,67,fallacy of relevance,0,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total .","(exists b (IsIncreasedBy(b,a) and IsInPastDecade(c)) & (forall a (forall b ( IsLargestEmiter(a) ->  IsIncreasedBy(b,a))))) -> (forall a (IsLargestEmiter(a)))","(exists c (exists a (exists b (IsIncreasedBy(b,a) and IsInPastDecade(c)))) & (forall e (forall d ( IsLargestEmiter(d) ->  IsIncreasedBy(e,d))))) -> (exists a (IsLargestEmiter(a)))",1
68,68,appeal to emotion,0,"At six feet , though , around 12 million people in the United States would be displaced , and the world ’ s most vulnerable megacities , like Shanghai , Mumbai , and Ho Chi Minh City , could be wiped off the map .",(forall a (IsDisplaced(a))) -> (exists e (exists d (exists c ((IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e))))),(exists a (IsDisplaced(a))) -> (exists e (exists c (exists d ((IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e))))),1
69,69,appeal to emotion,0,And then you get scared .,(IsScared(b)) -> (IsReal(c)),(exists b (IsScared(b))) -> (exists c (IsReal(c))),1
70,70,fallacy of credibility,0,"Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims .",(IsRisingUp(b)) -> (IsChanging(c)),(exists b (IsRisingUp(b))) -> (exists c (IsChanging(c))),1
71,71,appeal to emotion,0,Australia ’ s symbolic suicidal climate policy just makes everybody poorer .,(IsSymbolic(b) and (IsClimatePolicy(a) and IsEverybody(d)) and IsPoorer(c)) -> (IsSymbolic(b) and IsSuicidal(e)),(exists c (exists a (exists b (exists d (IsSymbolic(b) and (IsClimatePolicy(a) and IsEverybody(d)) and IsPoorer(c)))))) -> (exists e (exists b (IsSymbolic(b) and IsSuicidal(e)))),0
72,72,fallacy of relevance,0,"As the BBC reported in May , scientists suspect smallpox and the bubonic plague are trapped in Siberian ice , too — an abridged history of devastating human sickness , left out like egg salad in the Arctic sun .","(exists b (IsSuspected(a) and IsTrappedIn(d,b))) -> (forall e (IsHuman(e) and HasDevastated(f)))","(exists a (exists b (exists d (IsSuspected(a) and IsTrappedIn(d,b))))) -> (exists e (exists f (IsHuman(e) and HasDevastated(f))))",1
73,73,ad hominem,0,,() -> (),() -> (),0
74,74,false dilemma,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today .","(IsHighestRecordTemperature(b) and IsInLibya(c) and IsIn1922(a)) -> (IsNegligibleComparedTo(d, a) and ~IsNegligibleComparedTo(f))","(exists c (exists b (exists a (IsHighestRecordTemperature(b) and IsInLibya(c) and IsIn1922(a))))) -> (exists d (exists f (exists a (IsNegligibleComparedTo(d, a) and ~IsNegligibleComparedTo(f)))))",0
75,75,fallacy of relevance,0,"Without carbon dioxide , there would be no complex life on earth .","(forall c (IsInCarbonDioxide(a) and HasComplexLife(c) and IsOnEarth(b)) & (forall a (forall b ( IsInCarbonDioxide(a) ->  DependsOn(a,b)))) & (forall a (forall b ( DependsOn(a,b) ->  IsInCarbonDioxide(a)))) & (forall a (forall b ( DependsOn(a,b) ->   IsOnEarth(b))))) -> (exists b (exists a (DependsOn(a,b))))","(exists c (exists a (exists b (IsInCarbonDioxide(a) and HasComplexLife(c) and IsOnEarth(b)))) & (forall e (forall f ( IsInCarbonDioxide(e) ->  DependsOn(e,f)))) & (forall h (forall g ( DependsOn(g,h) ->  IsInCarbonDioxide(g)))) & (forall j (forall i ( DependsOn(i,j) ->   IsOnEarth(j))))) -> (exists a (exists b (DependsOn(a,b))))",1
76,76,intentional,0,"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years . That ’ s true for the rest of the world , too . There was a 300-year-long Medieval heat wave , followed by a Little Ice Age that began around 1300 , and then the 300-year warming period we ’ re in now .",(forall c (forall b (IsInAlaska(a) and HasCyclicalSwings(b) and HasClimate(c))) & (forall e (forall a ( IsInAlaska(a) ->   Is300YearLong(e))))) -> (exists g (forall f (exists e (exists d (IsThere(d) and (Is300YearLong(e) and IsMedieval(f)) and HasHeatWave(g)))))),(exists c (exists a (exists b (IsInAlaska(a) and HasCyclicalSwings(b) and HasClimate(c)))) & (forall h (forall i ( IsInAlaska(h) ->   Is300YearLong(i))))) -> (exists e (exists d (exists f (exists g (IsThere(d) and (Is300YearLong(e) and IsMedieval(f)) and HasHeatWave(g)))))),1
77,77,fallacy of relevance,0,"Brazil , the world ’ s largest exporter of red meat , holds around 212 million cattle . ( In June , the U.S. temporarily suspended imports of beef from Brazil due to abscesses , collections of pus , in the meat . )",(exists b (IsExports(a) and IsRedMeat(b))) -> (forall e (HasAbscesses(a) and (IsInMeat(e) and  HasCollectionsOfPus(d)))),(exists a (exists b (IsExports(a) and IsRedMeat(b)))) -> (exists e (exists a (exists d (HasAbscesses(a) and (IsInMeat(e) and  HasCollectionsOfPus(d)))))),1
78,78,equivocation,0,"Those eruptions meant there was more subsequent warming in the following years , making the rate of warming appear to be rising as a result of man-made emissions or other factors , Christy said .",(forall c (forall b (IsSubsequent(b) and IsWarming(b) and IsFollowing(c))) & (forall f (forall b ( IsSubsequent(b) ->   IsRising(f)))) & (forall f (forall b (  IsRising(f) ->  IsSubsequent(b)))) & (forall f (forall b (  IsWarming(b) ->   IsRising(f)))) & (forall f (forall b (  IsRising(f) ->   IsWarming(b))))) -> (exists f (exists e (IsAppeared(e) and IsRising(f)))),(exists c (exists b (IsSubsequent(b) and IsWarming(b) and IsFollowing(c))) & (forall h (forall g ( IsSubsequent(g) ->   IsRising(h)))) & (forall j (forall i (  IsRising(i) ->  IsSubsequent(j)))) & (forall k (forall l (  IsWarming(k) ->   IsRising(l)))) & (forall n (forall m (  IsRising(m) ->   IsWarming(n))))) -> (exists e (exists f (IsAppeared(e) and IsRising(f)))),1
79,79,false dilemma,0,"If global warming is “ real , ”
both sides of the debate seem to assume , the climate lobby ’ s policy agenda follows
inexorably .","(IsReal(a)) -> (IsFollows(b,c))","(exists a (IsReal(a))) -> (exists c (exists b (IsFollows(b,c))))",0
80,80,appeal to emotion,0,"He said that he and his students cried when he showed them maps of the damage , which he had calculated in part by flying low in small planes and helicopters .","(forall d (exists d ((IsTeacherOf(a,b) and IsCried(b)) and IsShown(c) and IsDamage(d)))) -> (exists f (forall a (IsCalculated(a) and (IsFlying(f) and IsInSmallPlanes(f)) or (IsFlying(g) and IsInHelicopters(g)))))","(exists c (exists a (exists b (exists d ((IsTeacherOf(a,b) and IsCried(b)) and IsShown(c) and IsDamage(d)))))) -> (exists a (exists f (exists g (IsCalculated(a) and (IsFlying(f) and IsInSmallPlanes(f)) or (IsFlying(g) and IsInHelicopters(g))))))",1
81,81,intentional,0,"On our current trajectory , the report warns , “ planetary and human systems [ are ] reaching a ‘ point of no return ’ by mid-century , in which the prospect of a largely uninhabitable Earth leads to the breakdown of nations and the international order . ”",(exists a (IsInhabitable(b) and ~IsCurrentTrajectory(a))) -> (forall d (IsBreakingDown(c) and IsImminent(d))),(exists a (exists b (IsInhabitable(b) and ~IsCurrentTrajectory(a)))) -> (exists c (exists d (IsBreakingDown(c) and IsImminent(d)))),1
82,82,faulty generalization,0,A harrowing scenario analysis of how human civilization might collapse in coming decades due to climate change has been endorsed by a former Australian defense chief and senior royal navy commander .,(forall b (IsAffectedByClimateChange(b) and (IsWarmingUp(a) or IsRisingSeaLevels(a)))) -> (exists a (IsFormer(a) and EndorsesScenarioAnalysis(a))),(exists a (exists b (IsAffectedByClimateChange(b) and (IsWarmingUp(a) or IsRisingSeaLevels(a))))) -> (exists a (IsFormer(a) and EndorsesScenarioAnalysis(a))),1
83,83,fallacy of extension,0,Alarmist attempts to frame thriving forests as harmful perfectly illustrate the alarmists ’ proclivity to claim anything and everything – no matter how beneficial – is severely harmful and caused by global warming .,(forall c (IsAlarmist(a) and IsHarmful(c)) & (forall c (forall d ( IsSeverelyHarmful(d) ->   IsHarmful(c))))) -> (exists d (IsSeverelyHarmful(d))),(exists c (exists a (IsAlarmist(a) and IsHarmful(c))) & (forall e (forall f ( IsSeverelyHarmful(e) ->   IsHarmful(f))))) -> (exists d (IsSeverelyHarmful(d))),1
84,84,ad populum,0,"The Chinese “ airpocalypse ” of 2013 peaked at what would have been an Air Quality Index of over 800 . That year , smog was responsible for a third of all deaths in the country .",(forall c (forall b (exists a (IsChinese(a) and HasAirpocalypse(b) and HasAirQualityIndex(c))))) -> (exists d (forall e (IsResponsibleFor(d) and HasDeaths(e)))),(exists c (exists a (exists b (IsChinese(a) and HasAirpocalypse(b) and HasAirQualityIndex(c))))) -> (exists e (exists d (IsResponsibleFor(d) and HasDeaths(e)))),1
85,85,ad hominem,0,"Update Jan. 25 , 2016 : As I predicted in this article , global warming activists have indeed made a full-blown public relations effort to claim 2015 was the warmest year on record .","(IsClaimedBy(a,b) and IsOnRecord(b)) -> (IsReal(d))","(exists a (exists b (IsClaimedBy(a,b) and IsOnRecord(b)))) -> (exists d (IsReal(d)))",0
86,86,fallacy of extension,0,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines .",(IsAlarmist(d) and (ArePoliticians(a) and AreEnvironmentalists(b) and AreMedia(c)) & (forall d (forall b ( IsAlarmist(d) ->   IsMotivatedByIdeology(b)))) & (forall b (  AreEnvironmentalists(b) ->   IsMotivatedByIdeology(b))) & (forall b (  IsMotivatedByIdeology(b) ->   AreEnvironmentalists(b)))) -> ((IsMotivatedByMoney(a) and IsMotivatedByIdeology(b)) and ~IsGenuinelyConcerned(c)),(exists c (exists d (exists b (exists a (IsAlarmist(d) and (ArePoliticians(a) and AreEnvironmentalists(b) and AreMedia(c)))))) & (forall f (forall g ( IsAlarmist(f) ->   IsMotivatedByIdeology(g)))) & (forall h (  AreEnvironmentalists(h) ->   IsMotivatedByIdeology(h))) & (forall i (  IsMotivatedByIdeology(i) ->   AreEnvironmentalists(i)))) -> (exists c (exists a (exists b ((IsMotivatedByMoney(a) and IsMotivatedByIdeology(b)) and ~IsGenuinelyConcerned(c))))),0
87,87,fallacy of logic,0,"As long as the ice-water mix is well-stirred ( like a glass of ice water ) , the surface temperature stays at the freezing point until all the ice melts .",(forall c (forall a (IsAtFreezingPoint(a) and IsMelted(c))) & (forall c (forall f (  IsMelted(c) ->   IsAtFreezingPoint(f))))) -> (exists e (exists f (IsWellStirred(e) and IsAtFreezingPoint(f)))),(exists c (exists a (IsAtFreezingPoint(a) and IsMelted(c))) & (forall h (forall i (  IsMelted(h) ->   IsAtFreezingPoint(i))))) -> (exists e (exists f (IsWellStirred(e) and IsAtFreezingPoint(f)))),1
88,88,faulty generalization,0,The sea has crept up to the point that a high tide and a brisk wind are all it takes to send water pouring into streets and homes .,(exists d ((IsInTheSea(b) and IsAHighTide(c)) and (IsABriskWind(d) and IsPouringWater(e))) & (forall e (forall a ( IsFlooded(a) ->   IsPouringWater(e)))) & (forall e (forall g (  IsFlooded(g) ->   IsPouringWater(e)))) & (forall a ( IsFlooded(a) ->   IsInStreets(a)))) -> (forall g (forall a (IsFlooded(a) or IsFlooded(g)))),(exists e (exists c (exists b (exists d ((IsInTheSea(b) and IsAHighTide(c)) and (IsABriskWind(d) and IsPouringWater(e)))))) & (forall j (forall i ( IsFlooded(i) ->   IsPouringWater(j)))) & (forall k (forall l (  IsFlooded(k) ->   IsPouringWater(l)))) & (forall m ( IsFlooded(m) ->   IsInStreets(m)))) -> (exists a (exists g (IsFlooded(a) or IsFlooded(g)))),1
89,89,intentional,0,The international team onboard the Russian research ship R/V Akademik Keldysh said most of the bubbles were currently dissolving in the water but methane levels at the surface were four to eight times what would normally be expected and this was venting into the atmosphere .,( Most of the bubbles are dissolving in the water.) -> (IsFourToEightTimes(c) and IsVenting(d)),( Most of the bubbles are dissolving in the water.) -> (exists c (exists d (IsFourToEightTimes(c) and IsVenting(d)))),1
90,90,intentional,0,"While it 's too soon to say precisely how global warming may have affected the rare confluence of events that conspired to dump at least 26.88 inches of rain in less than four days on South Carolina , changes in extreme precipitation events are one of global warming 's most well-documented climate change impacts .",(forall c (forall b (IsInGlobalWarming(b) and IsAnImpactOfClimateChange(c))) & (forall c (forall b (  IsAnImpactOfClimateChange(c) ->  IsInGlobalWarming(b)))) & (forall c (forall b ( IsInGlobalWarming(b) ->   IsAnImpactOfClimateChange(c))))) -> (exists b (forall a (exists a (IsInGlobalWarming(b) and IsAConfluenceOfRareEvents(a))))),(exists c (exists b (IsInGlobalWarming(b) and IsAnImpactOfClimateChange(c))) & (forall h (forall g (  IsAnImpactOfClimateChange(g) ->  IsInGlobalWarming(h)))) & (forall j (forall i ( IsInGlobalWarming(i) ->   IsAnImpactOfClimateChange(j))))) -> (exists a (exists b (IsInGlobalWarming(b) and IsAConfluenceOfRareEvents(a)))),1
91,91,false causality,0,Any increase in flooding activity is due to human alterations of river and stream flow rather than precipitation changes .,(forall d (forall c (forall b (IsAny(b) and (IsFloodingActivity(c) and IsHumanAlterations(d))))) & (forall h (forall c (  IsFloodingActivity(c) ->   CausesFloodingActivity(h)))) & (forall h (forall c (  CausesFloodingActivity(h) ->   IsFloodingActivity(c)))) & (forall d (forall f (  IsHumanAlterations(d) ->  IsHuman(f)))) & (forall d (forall f ( IsHuman(f) ->   IsHumanAlterations(d)))) & (forall a (forall g (  IsRiver(a) ->   IsStream(g)))) & (forall h (forall a (  IsRiver(a) ->   CausesFloodingActivity(h)))) & (forall e (forall a (  IsRiver(a) ->   IsStreamFlow(e))))) -> (exists g (exists a (exists h (IsHuman(f) and (IsRiver(a) and IsStream(g)) and CausesFloodingActivity(h))))),(exists c (exists b (exists d (IsAny(b) and (IsFloodingActivity(c) and IsHumanAlterations(d))))) & (forall k (forall j (  IsFloodingActivity(j) ->   CausesFloodingActivity(k)))) & (forall m (forall l (  CausesFloodingActivity(l) ->   IsFloodingActivity(m)))) & (forall o (forall n (  IsHumanAlterations(n) ->  IsHuman(o)))) & (forall q (forall p ( IsHuman(p) ->   IsHumanAlterations(q)))) & (forall s (forall r (  IsRiver(r) ->   IsStream(s)))) & (forall u (forall t (  IsRiver(t) ->   CausesFloodingActivity(u)))) & (forall w (forall v (  IsRiver(v) ->   IsStreamFlow(w))))) -> (exists h (exists a (exists f (exists g (IsHuman(f) and (IsRiver(a) and IsStream(g)) and CausesFloodingActivity(h)))))),1
92,92,faulty generalization,0,"Still , the shift is precisely what he and other cyclone experts said would be expected from climate change .","(forall c (IsExpectedFrom(c,a))) -> (exists d (Causes(a,d)))","(exists c (exists a (IsExpectedFrom(c,a)))) -> (exists a (exists d (Causes(a,d))))",1
93,93,appeal to emotion,0,“ This has been the saddest research trip of my life ”,(IsSad(a)) -> (IsSad(a)),(exists a (IsSad(a))) -> (exists a (IsSad(a))),1
94,94,fallacy of logic,0,Eight countries control land in the Arctic Circle . Five have coastlines to defend . The temperature is rising . The ice is melting . The race for newly accessible resources is beginning . And Russia is gaining ground .,(exists a (IsGainingGround(a))) -> (forall c (forall b (IsBeginning(b) and IsAccessible(c)))),(exists a (IsGainingGround(a))) -> (exists c (exists b (IsBeginning(b) and IsAccessible(c)))),1
95,95,intentional,0,You ’ ve only got to look at Singapore .,"(IsDenselyPopulated(a)) -> (ShouldVisit(b,a))","(exists a (IsDenselyPopulated(a))) -> (exists a (exists b (ShouldVisit(b,a))))",0
96,96,appeal to emotion,0,"Meanwhile , Mr Beckwith confirmed the changes would usher in a sustained period of “ climate system mayhem ” which could prove difficult to resolve .","(exists c (forall b (forall a (IsUsherIn(a,b) and IsMayhem(c)))) & (forall c (forall g (  IsMayhem(c) ->  IsDifficult(g))))) -> (forall g (exists h (exists g (exists e (IsDifficult(g) and (IsProve(e) and IsResolve(h)))))))","(exists c (exists a (exists b (IsUsherIn(a,b) and IsMayhem(c)))) & (forall j (forall i (  IsMayhem(i) ->  IsDifficult(j))))) -> (exists e (exists h (exists g (IsDifficult(g) and (IsProve(e) and IsResolve(h))))))",1
97,97,intentional,0,"Temperature , like viscosity and density , and of course phone numbers , is not something that can be meaningfully averaged . “ Global temperature ” does not exist .",(forall a (~IsMeaningfullyAveraged(a))) -> (forall c (exists b (IsExistent(b) and ~IsGlobalTemperature(c)))),(exists a (~IsMeaningfullyAveraged(a))) -> (exists c (exists b (IsExistent(b) and ~IsGlobalTemperature(c)))),0
98,98,false causality,0,"The Little Ice Age
ended as recently as 1850 . Therefore , it is no surprise that we now are expe riencing a period of warming .",(IsRecentlyEnded(a)) -> (IsExperiencingWarming(a)),(exists a (IsRecentlyEnded(a))) -> (exists a (IsExperiencingWarming(a))),1
99,99,intentional,0,"By ignoring history and geology , any claim of unusual weather can be made sensational .",(exists d (forall b (exists b ((IsIgnored(a) and IsUnusualWeather(b)) and IsSensational(d))))) -> (forall f (forall b (forall e (exists f (exists b (forall a (IsAnyClaim(e) and (IsUnusualWeather(b) and IsIgnored(a)) and IsSensational(f)))))))),(exists a (exists b (exists d ((IsIgnored(a) and IsUnusualWeather(b)) and IsSensational(d))))) -> (exists e (exists a (exists f (exists b (IsAnyClaim(e) and (IsUnusualWeather(b) and IsIgnored(a)) and IsSensational(f)))))),1
100,100,,1,"There is a little girl in a pink helmet riding her pink bicycle along a waterway. Hence, a girl outside.",(exists b (IsLittle(a) and IsOnPinkBicycle(b) and IsAlongWaterway(c))) -> (forall e (IsOutside(e))),(exists c (exists a (exists b (IsLittle(a) and IsOnPinkBicycle(b) and IsAlongWaterway(c))))) -> (exists e (IsOutside(e))),1
101,101,,1,A man and his girl are crossing the street. This implies that a man and a woman are outside.,"(exists b (IsCrossing(a,b) and IsMan'sGirl(b))) -> (forall d (IsMan(a) and IsOutside(d)))","(exists a (exists b (IsCrossing(a,b) and IsMan'sGirl(b)))) -> (exists a (exists d (IsMan(a) and IsOutside(d))))",1
102,102,,1,"A woman and a child sit together in a door frame along a gray sidewalk, as a man and two women walk past. It follows that there were passerbys as the woman and child sat.",(exists c (IsSat(a) and (IsPasserby(c) or a = b))) -> (forall e (IsSat(a) and IsInDoorFrame(b) and IsOnGraySidewalk(e))),(exists c (exists a (exists b (IsSat(a) and (IsPasserby(c) or a = b))))) -> (exists e (exists a (exists b (IsSat(a) and IsInDoorFrame(b) and IsOnGraySidewalk(e))))),1
103,103,,1,"The little kids sit outdoors in a small tub of water. Consequently, the little kids sit outdoors.",(IsLittle(a) and IsOutdoors(b)) -> (IsLittle(a) and IsOutdoors(b)),(exists a (exists b (IsLittle(a) and IsOutdoors(b)))) -> (exists a (exists b (IsLittle(a) and IsOutdoors(b)))),1
104,104,,1,"Two women are at ATMs getting money out and the lady on the left has two children. Hence, two woman are getting money.",(IsGettingMoneyOut(a) and IsAtATM(b)) -> (IsOnTheLeft(d) and HasTwoChildren(e)),(exists a (exists b (IsGettingMoneyOut(a) and IsAtATM(b)))) -> (exists e (exists d (IsOnTheLeft(d) and HasTwoChildren(e)))),1
