,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
37,fallacy of credibility,0,Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :, A new study explains the fluctuations of the earth's temperatures., Global warming alarmists will bury the study.,"IsNew(a),  Explains(a, b),  IsFluctuationOf(b, c)","WillBury(d, e)",[],[],[],"IsNew(a) and Explains(a, b) and IsFluctuationOf(b, c)","WillBury(d, e)","(IsNew(a) and Explains(a, b) and IsFluctuationOf(b, c)) -> (WillBury(d, e))","(exists a (exists c (exists b (IsNew(a) and Explains(a, b) and IsFluctuationOf(b, c))))) -> (exists e (exists d (WillBury(d, e))))",LF
38,ad hominem,0,Global warming activists ’ propensity for doing so shows just how little value they place in a truthful debate ., Global warming activists place little value in a truthful debate.  , Global warming activists do not value truthful debate.,"PlaceLittleValueIn(a, b)","DoesNotValue(a, b)","[('PlaceLittleValueIn(a, b)', 'DoesNotValue(a, b)'), ('DoesNotValue(a, b)', 'PlaceLittleValueIn(a, b)')]","[(' Global warming activists', ' Global warming activists'), (' truthful debate', ' truthful debate')]",[],"PlaceLittleValueIn(a, b)","DoesNotValue(a, b)","(PlaceLittleValueIn(a, b) & (forall a (forall b (PlaceLittleValueIn(a, b) -> DoesNotValue(a, b)))) & (forall a (forall b (DoesNotValue(a, b) -> PlaceLittleValueIn(a, b))))) -> (DoesNotValue(a, b))","(exists a (exists b (PlaceLittleValueIn(a, b))) & (forall c (forall d (PlaceLittleValueIn(c,d) -> DoesNotValue(c,d)))) & (forall e (forall f (DoesNotValue(e,f) -> PlaceLittleValueIn(e,f))))) -> (exists a (exists b (DoesNotValue(a, b))))",Valid
39,intentional,0,"Some one billion people would be forced to attempt to relocate from unlivable conditions , and two billion would face scarcity of water supplies . Agriculture would collapse in the sub-tropics , and food production would suffer dramatically worldwide . The internal cohesion of nation-states like the US and China would unravel ."," One billion people would be forced to attempt to relocate from unlivable conditions, two billion would face scarcity of water supplies, agriculture would collapse in the sub-tropics, and food production would suffer dramatically worldwide.", The internal cohesion of nation-states like the US and China would unravel.,"IsForcedToRelocate(a, b),  FacesScarcity(c, d),  Collapses(e, f),  SuffersDramatically(g, h)","Unravels(i, j)",[],[],"[(' One billion people', ' China')]","IsForcedToRelocate(a, b) and FacesScarcity(c, d) and Collapses(e, f) and SuffersDramatically(g, h)","Unravels(i, j)","(IsForcedToRelocate(a, b) and FacesScarcity(c, d) and Collapses(e, f) and SuffersDramatically(g, h)) -> (Unravels(i, j))","(exists c (exists b (exists e (exists f (exists g (exists h (exists a (exists d (IsForcedToRelocate(a, b) and FacesScarcity(c, d) and Collapses(e, f) and SuffersDramatically(g, h)))))))))) -> (exists i (exists j (Unravels(i, j))))",LF
40,appeal to emotion,0,"Interstates are under feet of water , local authorities have asked boat owners to join rescue efforts , and most of the streams and rivers near the city are in flood stage ."," Interstates are under feet of water, local authorities have asked boat owners to join rescue efforts, and most of the streams and rivers near the city are in flood stage.", The city is experiencing severe flooding.,"UnderWater(a),  AskedToJoin(b,c,d),  NearCity(e,g),  NearCity(f,g),  InFloodStage(e),  InFloodStage(f)","ExperiencingFlooding(i),  SevereFlooding(j)","[('UnderWater(a)', '  SevereFlooding(j)'), ('ExperiencingFlooding(i)', '  AskedToJoin(b,c,d)'), ('  AskedToJoin(b,c,d)', '  SevereFlooding(j)'), ('  SevereFlooding(j)', '  AskedToJoin(b,c,d)'), ('  NearCity(e,g)', 'ExperiencingFlooding(i)'), ('ExperiencingFlooding(i)', '  NearCity(e,g)'), ('  NearCity(f,g)', 'ExperiencingFlooding(i)'), ('ExperiencingFlooding(i)', '  NearCity(f,g)'), ('  NearCity(f,g)', '  SevereFlooding(j)')]",[],"[(' flood stage', ' severe flooding')]","UnderWater(a) and AskedToJoin(b,c,d) and (NearCity(e,g) and NearCity(f,g) and InFloodStage(e) and InFloodStage(f))",ExperiencingFlooding(i) and SevereFlooding(j),"(UnderWater(a) and AskedToJoin(b,c,d) and (NearCity(e,g) and NearCity(f,g) and InFloodStage(e) and InFloodStage(f)) & (forall a (forall j (UnderWater(a) ->   SevereFlooding(j)))) & (forall i (forall c (forall d (forall b (ExperiencingFlooding(i) ->   AskedToJoin(b,c,d)))))) & (forall j (forall c (forall d (forall b (  AskedToJoin(b,c,d) ->   SevereFlooding(j)))))) & (forall j (forall c (forall d (forall b (  SevereFlooding(j) ->   AskedToJoin(b,c,d)))))) & (forall i (forall e (forall g (  NearCity(e,g) -> ExperiencingFlooding(i))))) & (forall g (forall i (forall e (ExperiencingFlooding(i) ->   NearCity(e,g))))) & (forall i (forall f (forall g (  NearCity(f,g) -> ExperiencingFlooding(i))))) & (forall i (forall f (forall g (ExperiencingFlooding(i) ->   NearCity(f,g))))) & (forall j (forall f (forall g (  NearCity(f,g) ->   SevereFlooding(j)))))) -> (ExperiencingFlooding(i) and SevereFlooding(j))","(exists c (exists b (exists e (exists f (exists g (exists a (exists d (UnderWater(a) and AskedToJoin(b,c,d) and (NearCity(e,g) and NearCity(f,g) and InFloodStage(e) and InFloodStage(f))))))))) & (forall l (forall k (UnderWater(k) ->   SevereFlooding(l)))) & (forall p (forall o (forall n (forall m (ExperiencingFlooding(m) ->   AskedToJoin(n,o,p)))))) & (forall r (forall t (forall q (forall s (  AskedToJoin(q,r,s) ->   SevereFlooding(t)))))) & (forall x (forall u (forall v (forall w (  SevereFlooding(u) ->   AskedToJoin(v,w,x)))))) & (forall z (forall y (  NearCity(y,z) -> ExperiencingFlooding({)))) & (ExperiencingFlooding(|) ->   NearCity(},~)) & (  NearCity(,) -> ExperiencingFlooding()) & (ExperiencingFlooding() ->   NearCity(,)) & (  NearCity(,) ->   SevereFlooding())) -> (exists i (exists j (ExperiencingFlooding(i) and SevereFlooding(j))))",
41,appeal to emotion,0,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape ."," Polar bears are moving from ice to land earlier and staying on land longer, extending the bears' fasting season unhealthily.  ", Polar bears are increasingly starving.,"MovingFrom(x, b),  MovingTo(x, c),  OnLandLonger(x),  ExtendingFastingSeasonUnhealthily(d)",Starving(a),"[('Starving(a)', '  ExtendingFastingSeasonUnhealthily(d)')]","[(' Polar bears', ' Polar bears')]",[],"(MovingFrom(a, b) and MovingTo(a, c) and OnLandLonger(a)) and ExtendingFastingSeasonUnhealthily(d)",Starving(a),"((MovingFrom(a, b) and MovingTo(a, c) and OnLandLonger(a)) and ExtendingFastingSeasonUnhealthily(d) & (forall a (forall d (Starving(a) ->   ExtendingFastingSeasonUnhealthily(d))))) -> (Starving(a))","(exists a (exists c (exists d (exists b ((MovingFrom(a, b) and MovingTo(a, c) and OnLandLonger(a)) and ExtendingFastingSeasonUnhealthily(d))))) & (forall e (forall f (Starving(e) ->   ExtendingFastingSeasonUnhealthily(f))))) -> (exists a (Starving(a)))",
42,intentional,0,"If ECS is as low as the Energy Balance literature suggests , it means that the climate models we have been using for decades run too hot and need to be revised .", ECS is as low as the Energy Balance literature suggests., The climate models we have been using for decades run too hot and need to be revised.,"IsLowAsSuggested(a, b)","RunTooHot(c),  NeedToBeRevised(c)",[],[],[],"IsLowAsSuggested(a, b)",RunTooHot(c) and NeedToBeRevised(c),"(IsLowAsSuggested(a, b)) -> (RunTooHot(c) and NeedToBeRevised(c))","(exists a (exists b (IsLowAsSuggested(a, b)))) -> (exists c (RunTooHot(c) and NeedToBeRevised(c)))",LF
43,false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere .", The cost of weather disasters has risen over time due to modern society building more infrastructure in areas prone to damage from weather., The cost of weather disasters has risen everywhere.,"HasRisen(a),  Built(b, c),  IsProneToDamage(d, e)",HasRisen(a),[],"[(' The cost of weather disasters', ' The cost of weather disasters')]",[],"HasRisen(a) and Built(b, c) and IsProneToDamage(d, e)",HasRisen(a),"(HasRisen(a) and Built(b, c) and IsProneToDamage(d, e)) -> (HasRisen(a))","(exists c (exists b (exists e (exists a (exists d (HasRisen(a) and Built(b, c) and IsProneToDamage(d, e))))))) -> (exists a (HasRisen(a)))",Valid
44,intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators ., Construction and maintenance of wind and solar facilities release more carbon dioxide than they save., Wind and solar facilities are not effective in reducing carbon dioxide emissions.,"ReleasesMoreCarbonDioxide(a),  SavesLessCarbonDioxide(a)","NotEffectiveInReducingEmissions(c),  CarbonDioxideEmissions(d)","[('ReleasesMoreCarbonDioxide(a)', '  CarbonDioxideEmissions(d)')]",[],"[(' Construction and maintenance of wind and solar facilities', ' Wind and solar facilities'), (' carbon dioxide', ' carbon dioxide emissions')]",ReleasesMoreCarbonDioxide(a) and SavesLessCarbonDioxide(a),NotEffectiveInReducingEmissions(c) and CarbonDioxideEmissions(d),(exists a (ReleasesMoreCarbonDioxide(a) and SavesLessCarbonDioxide(a)) & (forall a (forall d (ReleasesMoreCarbonDioxide(a) ->   CarbonDioxideEmissions(d))))) -> (forall c (NotEffectiveInReducingEmissions(c) and CarbonDioxideEmissions(d))),(exists a (ReleasesMoreCarbonDioxide(a) and SavesLessCarbonDioxide(a)) & (forall e (forall f (ReleasesMoreCarbonDioxide(e) ->   CarbonDioxideEmissions(f))))) -> (exists c (exists d (NotEffectiveInReducingEmissions(c) and CarbonDioxideEmissions(d)))),LF
45,intentional,0,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans ."," The records were caused by El Nino, a complex natural phenomenon.  ", The records have nothing to do with greenhouse gas emissions by humans.,"CausedBy(a, b),  IsComplexNaturalPhenomenon(b)","HaveNothingToDoWith(a, d),  EmissionsBy(d, e)",[],"[(' The records', ' The records')]",[],"CausedBy(a, b) and IsComplexNaturalPhenomenon(b)","HaveNothingToDoWith(a, d) and EmissionsBy(d, e)","(CausedBy(a, b) and IsComplexNaturalPhenomenon(b)) -> (HaveNothingToDoWith(a, d) and EmissionsBy(d, e))","(exists a (exists b (CausedBy(a, b) and IsComplexNaturalPhenomenon(b)))) -> (exists e (exists a (exists d (HaveNothingToDoWith(a, d) and EmissionsBy(d, e)))))",LF
46,fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon .", Salmon are crucial to their coastal ecosystem. A significant portion of the nitrogen in West Coast forests comes from salmon. Salmon can travel hundreds of miles upstream to lay eggs. The largest trees on Earth would not exist without salmon., Salmon are vital to the existence of large trees and the nitrogen balance in forests.,"CrucialTo(a, b),  Contains(c, d, a),  TravelsUpstream(a),  LaysEggs(a, e),  ExistsBecauseOf(a, f)","VitalToExistence(a, g),  VitalToBalance(a, h, i)","[('  TravelsUpstream(a)', '  VitalToBalance(a, h, i)')]","[(' Salmon', ' Salmon'), (' salmon', ' Salmon'), (' salmon', ' Salmon'), (' salmon', ' Salmon')]","[(' coastal ecosystem', ' Salmon'), (' West Coast forests', ' forests'), (' largest trees on Earth', ' large trees')]","CrucialTo(a, b) and Contains(c, d, a) and TravelsUpstream(a) and LaysEggs(a, e) and ExistsBecauseOf(a, f)","VitalToExistence(a, g) and VitalToBalance(a, h, i)","(exists f (exists d (exists b (CrucialTo(a, b) and Contains(c, d, a) and TravelsUpstream(a) and LaysEggs(a, e) and ExistsBecauseOf(a, f)))) & (forall i (forall a (forall h (  TravelsUpstream(a) ->   VitalToBalance(a, h, i)))))) -> (forall g (forall i (forall a (VitalToExistence(a, g) and VitalToBalance(a, h, i)))))","(exists c (exists b (exists e (exists f (exists a (exists d (CrucialTo(a, b) and Contains(c, d, a) and TravelsUpstream(a) and LaysEggs(a, e) and ExistsBecauseOf(a, f))))))) & (forall l (forall k (forall m (  TravelsUpstream(k) ->   VitalToBalance(k,l,m)))))) -> (exists i (exists a (exists g (exists h (VitalToExistence(a, g) and VitalToBalance(a, h, i))))))",LF
47,intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick ."," In 2008, most of the ice was extremely thin. Most of the ice this year has been at least two meters thick.  ", The ice is getting thicker.,"WasExtremelyThinIn2008(a),  IsAtLeastTwoMetersThick(b, a)",IsGettingThicker(a),[],"[(' Ice', ' Ice')]",[],"WasExtremelyThinIn2008(a) and IsAtLeastTwoMetersThick(b, a)",IsGettingThicker(a),"(WasExtremelyThinIn2008(a) and IsAtLeastTwoMetersThick(b, a)) -> (IsGettingThicker(a))","(exists a (exists b (WasExtremelyThinIn2008(a) and IsAtLeastTwoMetersThick(b, a)))) -> (exists a (IsGettingThicker(a)))",LF
48,fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red ., The first coat of white paint does most of the work of concealing the red wall., Adding more CO2 molecules to the atmosphere has diminishing effects.,"IsFirstCoat(a),  IsWhitePaint(a),  DoesWork(a),  Conceals(b, c),  IsRedWall(c)","IsAdded(d, e),  HasDiminishingEffects(e)","[('  Conceals(b, c)', '  HasDiminishingEffects(e)')]",[],[],"(IsFirstCoat(a) and IsWhitePaint(a) and DoesWork(a) and IsRedWall(c)) and Conceals(b, c)","IsAdded(d, e) and HasDiminishingEffects(e)","((IsFirstCoat(a) and IsWhitePaint(a) and DoesWork(a) and IsRedWall(c)) and Conceals(b, c) & (forall e (forall c (forall b (  Conceals(b, c) ->   HasDiminishingEffects(e)))))) -> (IsAdded(d, e) and HasDiminishingEffects(e))","(exists a (exists c (exists b ((IsFirstCoat(a) and IsWhitePaint(a) and DoesWork(a) and IsRedWall(c)) and Conceals(b, c)))) & (forall h (forall f (forall g (  Conceals(f,g) ->   HasDiminishingEffects(h)))))) -> (exists e (exists d (IsAdded(d, e) and HasDiminishingEffects(e))))",
49,fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”", To limit global warming to 1.5 degrees C is possible within the laws of chemistry and physics.  , Limiting global warming to 1.5 degrees C requires unprecedented changes.,"IsLimitedTo(a, b),  IsPossibleWithin(a, c)","IsLimitedTo(a, 1.5),  RequiresUnprecedentedChanges(a)",[],"[(' Global warming', ' Global warming')]",[],"IsLimitedTo(a, b) and IsPossibleWithin(a, c)","IsLimitedTo(a, 1.5) and RequiresUnprecedentedChanges(a)","(IsLimitedTo(a, b) and IsPossibleWithin(a, c)) -> (IsLimitedTo(a, 1.5) and RequiresUnprecedentedChanges(a))","(exists a (exists c (exists b (IsLimitedTo(a, b) and IsPossibleWithin(a, c))))) -> (exists a (IsLimitedTo(a, 1.5) and RequiresUnprecedentedChanges(a)))",
50,fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .," ""The sun and clouds are major drivers for the climate on our planet.""  "," ""Modellers did not consider important factors for the climate on our planet.""","IsDriverOf(c, a),  IsDriverOf(d, a),  IsOn(b)","IsConsideredBy(f, e),  IsOn(b)",[],"[(' the climate', ' climate'), (' our planet', ' our planet')]",[],"(IsDriverOf(c, a) and IsDriverOf(d, a)) and IsOn(b)","~IsConsideredBy(f, e) and IsOn(b)","((IsDriverOf(c, a) and IsDriverOf(d, a)) and IsOn(b)) -> (~IsConsideredBy(f, e) and IsOn(b))","(exists a (exists c (exists d (exists b ((IsDriverOf(c, a) and IsDriverOf(d, a)) and IsOn(b)))))) -> (exists e (exists f (exists b (~IsConsideredBy(f, e) and IsOn(b)))))",
51,appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef ., There is a living Great Barrier Reef.  , They may have the opportunity to visit the Great Barrier Reef.,IsLiving(a),"HasOpportunity(b),  CanVisit(b, a)","[('IsLiving(a)', 'HasOpportunity(b)'), ('IsLiving(a)', '  CanVisit(b, a)')]","[(' Great Barrier Reef', ' the Great Barrier Reef')]",[],IsLiving(a),"HasOpportunity(b) and CanVisit(b, a)","(IsLiving(a) & (forall a (forall b (IsLiving(a) -> HasOpportunity(b)))) & (forall a (forall b (IsLiving(a) ->   CanVisit(b, a))))) -> (HasOpportunity(b) and CanVisit(b, a))","(exists a (IsLiving(a)) & (forall e (forall d (IsLiving(d) -> HasOpportunity(e)))) & (forall h (forall f (forall g (IsLiving(f) ->   CanVisit(g,h)))))) -> (exists a (exists b (HasOpportunity(b) and CanVisit(b, a))))",Valid
52,appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities ."," ""The melting Greenland ice sheet is a major contributor to rising sea level."""," ""The oceans would rise by six metres, flooding many of the world’s largest cities.""","IsMelting(a),  ContributesToRisingSeaLevel(a)","WouldRiseBy(c, d),  WouldFlood(e)",[],[],"[(' The melting Greenland ice sheet', ' The oceans')]",IsMelting(a) and ContributesToRisingSeaLevel(a),"WouldRiseBy(c, d) and WouldFlood(e)","(exists a (IsMelting(a) and ContributesToRisingSeaLevel(a))) -> (forall c (WouldRiseBy(c, d) and WouldFlood(e)))","(exists a (IsMelting(a) and ContributesToRisingSeaLevel(a))) -> (exists e (exists c (exists d (WouldRiseBy(c, d) and WouldFlood(e)))))",LF
53,intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 ., There is more polar ice in the world than at any time since satellite records began in 1979.  , The amount of polar ice in the world is increasing.,"IsInWorld(b),  BeganIn1979(c)","IsInWorld(d),  IsIncreasing(d)",[],"[(' world', ' the world')]","[(' Polar ice', ' the world')]",IsInWorld(b) and BeganIn1979(c),IsInWorld(d) and IsIncreasing(d),(IsInWorld(b) and BeganIn1979(c)) -> (IsInWorld(d) and IsIncreasing(d)),(exists c (exists b (IsInWorld(b) and BeganIn1979(c)))) -> (exists d (IsInWorld(d) and IsIncreasing(d))),LF
54,fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem .", The scare about global warming has been horribly overdone.  , Global warming is not unusual or a problem.,"IsAbout(b, a),  IsOverdone(b)","IsNotUnusual(a),  IsNotAProblem(a)",[],"[(' global warming', ' Global warming')]",[],"IsAbout(b, a) and IsOverdone(b)",IsNotUnusual(a) or IsNotAProblem(a),"(IsAbout(b, a) and IsOverdone(b)) -> (IsNotUnusual(a) or IsNotAProblem(a))","(exists a (exists b (IsAbout(b, a) and IsOverdone(b)))) -> (exists a (IsNotUnusual(a) or IsNotAProblem(a)))",LF
55,faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period .", There was high solar activity during the Medieval Warm Period., Solar activity affects temperature on Earth.,"IsDuring(a, b)","Affects(c, d),  OnEarth(d)",[],[],"[(' High solar activity', ' Solar activity')]","IsDuring(a, b)","Affects(c, d) and OnEarth(d)","(exists a (IsDuring(a, b))) -> (forall c (Affects(c, d) and OnEarth(d)))","(exists a (exists b (IsDuring(a, b)))) -> (exists c (exists d (Affects(c, d) and OnEarth(d))))",LF
56,intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change ."," Brown told a conference at the Vatican that the world needed ""brain washing"" on climate change."," The world needs ""brain washing"" on climate change.","ToldConference(c, d),  AtLocation(d, e),  NeedsBrainWashing(a),  OnTopic(a, b)","NeedsBrainWashing(a),  OnTopic(a, b)",[],"[(' world', ' The world'), (' climate change', ' climate change')]","[(' Vatican', ' The world')]","ToldConference(c, d) and AtLocation(d, e) and NeedsBrainWashing(a) and OnTopic(a, b)","NeedsBrainWashing(a) and OnTopic(a, b)","(exists e (ToldConference(c, d) and AtLocation(d, e) and NeedsBrainWashing(a) and OnTopic(a, b))) -> (forall a (NeedsBrainWashing(a) and OnTopic(a, b)))","(exists c (exists b (exists e (exists a (exists d (ToldConference(c, d) and AtLocation(d, e) and NeedsBrainWashing(a) and OnTopic(a, b))))))) -> (exists a (exists b (NeedsBrainWashing(a) and OnTopic(a, b))))",Valid
57,appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet .", The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica., Every coastal city on the planet would be submerged.,"AreInPineIslandBay(a),  AreInAntarctica(a),  AreLargest(a),  AreFastestMelting(a)","IsCoastal(c),  IsOnPlanet(c),  WouldBeSubmerged(c)",[],[],[],AreInPineIslandBay(a) and AreInAntarctica(a) and AreLargest(a) and AreFastestMelting(a),IsCoastal(c) and IsOnPlanet(c) and WouldBeSubmerged(c),(AreInPineIslandBay(a) and AreInAntarctica(a) and AreLargest(a) and AreFastestMelting(a)) -> (IsCoastal(c) and IsOnPlanet(c) and WouldBeSubmerged(c)),(exists a (AreInPineIslandBay(a) and AreInAntarctica(a) and AreLargest(a) and AreFastestMelting(a))) -> (exists c (IsCoastal(c) and IsOnPlanet(c) and WouldBeSubmerged(c))),LF
58,faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world .", Global warming is causing a gradual increase in global precipitation and soil moisture.  ," Global warming is creating a safer, more peaceful world.","CausesIncreaseInPrecipitation(a),  CausesIncreaseInSoilMoisture(a)","CreatesSaferWorld(b),  CreatesPeacefulWorld(b)",[],[],[],CausesIncreaseInPrecipitation(a) and CausesIncreaseInSoilMoisture(a),CreatesSaferWorld(b) and CreatesPeacefulWorld(b),(CausesIncreaseInPrecipitation(a) and CausesIncreaseInSoilMoisture(a)) -> (CreatesSaferWorld(b) and CreatesPeacefulWorld(b)),(exists a (CausesIncreaseInPrecipitation(a) and CausesIncreaseInSoilMoisture(a))) -> (exists b (CreatesSaferWorld(b) and CreatesPeacefulWorld(b))),LF
59,false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year .", The modest recent warming is producing U.S. and global crop production records virtually every year., Modest recent warming creates billions of dollars in new economic and human welfare benefits each year.,"IsModest(a),  IsRecent(a),  IsWarming(a),  Produces(a, b)","IsModest(c),  IsRecent(c),  IsWarming(c),  Creates(c)","[('IsModest(a)', '  IsRecent(c)'), ('IsModest(a)', '  IsWarming(c)'), ('  IsRecent(a)', 'IsModest(c)'), ('IsModest(c)', '  IsRecent(a)'), ('  IsRecent(a)', '  IsWarming(c)'), ('  IsWarming(c)', '  IsRecent(a)'), ('  IsWarming(a)', 'IsModest(c)'), ('IsModest(c)', '  IsWarming(a)'), ('  IsWarming(a)', '  IsRecent(c)'), ('  IsRecent(c)', '  IsWarming(a)'), ('  Produces(a, b)', 'IsModest(c)'), ('  Produces(a, b)', '  IsRecent(c)'), ('  Produces(a, b)', '  IsWarming(c)'), ('  Produces(a, b)', '  Creates(c)')]",[],[],"IsModest(a) and IsRecent(a) and IsWarming(a) and Produces(a, b)",IsModest(c) and IsRecent(c) and IsWarming(c) and Creates(c),"(IsModest(a) and IsRecent(a) and IsWarming(a) and Produces(a, b) & (forall a (forall c (IsModest(a) ->   IsRecent(c)))) & (forall a (forall c (IsModest(a) ->   IsWarming(c)))) & (forall a (forall c (  IsRecent(a) -> IsModest(c)))) & (forall a (forall c (IsModest(c) ->   IsRecent(a)))) & (forall a (forall c (  IsRecent(a) ->   IsWarming(c)))) & (forall a (forall c (  IsWarming(c) ->   IsRecent(a)))) & (forall a (forall c (  IsWarming(a) -> IsModest(c)))) & (forall a (forall c (IsModest(c) ->   IsWarming(a)))) & (forall a (forall c (  IsWarming(a) ->   IsRecent(c)))) & (forall a (forall c (  IsRecent(c) ->   IsWarming(a)))) & (forall a (forall c (forall b (  Produces(a, b) -> IsModest(c))))) & (forall a (forall c (forall b (  Produces(a, b) ->   IsRecent(c))))) & (forall a (forall c (forall b (  Produces(a, b) ->   IsWarming(c))))) & (forall a (forall c (forall b (  Produces(a, b) ->   Creates(c)))))) -> (IsModest(c) and IsRecent(c) and IsWarming(c) and Creates(c))","(exists a (exists b (IsModest(a) and IsRecent(a) and IsWarming(a) and Produces(a, b))) & (forall e (forall d (IsModest(d) ->   IsRecent(e)))) & (forall f (forall g (IsModest(f) ->   IsWarming(g)))) & (forall i (forall h (  IsRecent(h) -> IsModest(i)))) & (forall j (forall k (IsModest(j) ->   IsRecent(k)))) & (forall l (forall m (  IsRecent(l) ->   IsWarming(m)))) & (forall o (forall n (  IsWarming(n) ->   IsRecent(o)))) & (forall p (forall q (  IsWarming(p) -> IsModest(q)))) & (forall r (forall s (IsModest(r) ->   IsWarming(s)))) & (forall u (forall t (  IsWarming(t) ->   IsRecent(u)))) & (forall v (forall w (  IsRecent(v) ->   IsWarming(w)))) & (forall z (forall x (forall y (  Produces(x,y) -> IsModest(z))))) & (  Produces({,|) ->   IsRecent(})) & (  Produces(~,) ->   IsWarming()) & (  Produces(,) ->   Creates())) -> (exists c (IsModest(c) and IsRecent(c) and IsWarming(c) and Creates(c)))",
60,fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ..., Climate models have been over-hyping warming for decades according to Cato Institute scientists Patrick Michaels and Chip Knappenberger. Scientist John Christy's research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed., Climate models inaccurately predict warming.,"OverHypingWarming(a),  AccordingToScientists(a,b,c,d),  ResearchOfScientist(f,e),  ShowsMoreWarming(a,g,f)",InaccuratelyPredictsWarming(a),[],"[(' Climate models', ' Climate models')]",[],"OverHypingWarming(a) and AccordingToScientists(a,b,c,d) and ResearchOfScientist(f,e) and ShowsMoreWarming(a,g,f)",InaccuratelyPredictsWarming(a),"(OverHypingWarming(a) and AccordingToScientists(a,b,c,d) and ResearchOfScientist(f,e) and ShowsMoreWarming(a,g,f)) -> (InaccuratelyPredictsWarming(a))","(exists c (exists b (exists e (exists f (exists g (exists a (exists d (OverHypingWarming(a) and AccordingToScientists(a,b,c,d) and ResearchOfScientist(f,e) and ShowsMoreWarming(a,g,f))))))))) -> (exists a (InaccuratelyPredictsWarming(a)))",LF
