,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
38,ad hominem,0,Global warming activists ’ propensity for doing so shows just how little value they place in a truthful debate .," ""Global warming activists value a truthful debate."""," ""Global warming activists do not value truth."""," IsValue(a,b)"," IsNotValue(a,c)",[],"[(' Global warming activists', ' Global warming activists')]","[(' truthful debate', ' truth')]","IsValue(a,b)",~IsValue(c),"(exists b (IsValue(a,b))) -> (forall c (~IsValue(c)))","(exists b (exists a (IsValue(a,b)))) -> (exists c (~IsValue(c)))",
39,intentional,0,"Some one billion people would be forced to attempt to relocate from unlivable conditions , and two billion would face scarcity of water supplies . Agriculture would collapse in the sub-tropics , and food production would suffer dramatically worldwide . The internal cohesion of nation-states like the US and China would unravel ."," ""Someone billion people would face unlivable conditions."""," ""The internal cohesion of nation-states like the US and China would unravel.""", IsBillion(b)," IsNationState(d),  IsUnravel(e,f)",[],[],"[(' Someone', ' US'), (' China', ' Someone'), (' billion people', ' China'), (' US', ' unlivable conditions.'), (' China', ' unlivable conditions.')]",IsBillion(b) and ~IsLivable(c),"IsNationState(d) and (IsUnravel(e,f) or IsUnravel(f,e))","(forall c (exists b (IsBillion(b) and ~IsLivable(c)))) -> (exists e (forall f (IsNationState(d) and (IsUnravel(e,f) or IsUnravel(f,e)))))","(exists c (exists b (IsBillion(b) and ~IsLivable(c)))) -> (exists e (exists d (exists f (IsNationState(d) and (IsUnravel(e,f) or IsUnravel(f,e))))))",LF
40,appeal to emotion,0,"Interstates are under feet of water , local authorities have asked boat owners to join rescue efforts , and most of the streams and rivers near the city are in flood stage ."," ""Interstates are under feet of water."""," ""Boat owners should join rescue efforts.""", IsUnderFeetOfWater(a), IsJoinRescueEfforts(d),[],[],"[(' water', ' Boat owners'), (' water', ' rescue efforts')]", a and ~b,IsJoinRescueEfforts(d),( a and ~b) -> (IsJoinRescueEfforts(d)),(exists b (exists a ( a and ~b))) -> (exists d (IsJoinRescueEfforts(d))),
41,appeal to emotion,0,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape ."," ""Polar bears are moving from ice to land earlier and staying on land longer."""," ""Polar bears are experiencing starvation due to the decline of their icy hunting grounds."""," IsMovingFromIceToLandEarlier(a),  IsStayingOnLandLonger(a)"," IsExperiencingStarvation(a),  IsOnIcyHuntingGrounds(d)",[],"[(' Polar bears', ' Polar bears')]","[(' Polar bears', ' icy hunting grounds'), (' icy hunting grounds', ' ice'), (' icy hunting grounds', ' land')]",IsMovingFromIceToLandEarlier(a) and IsStayingOnLandLonger(a),IsOnIcyHuntingGrounds(d) and IsExperiencingStarvation(a),(exists a (IsMovingFromIceToLandEarlier(a) and IsStayingOnLandLonger(a))) -> (forall d (IsOnIcyHuntingGrounds(d) and IsExperiencingStarvation(a))),(exists a (IsMovingFromIceToLandEarlier(a) and IsStayingOnLandLonger(a))) -> (exists d (exists a (IsOnIcyHuntingGrounds(d) and IsExperiencingStarvation(a)))),LF
42,intentional,0,"If ECS is as low as the Energy Balance literature suggests , it means that the climate models we have been using for decades run too hot and need to be revised ."," ""ECS is low."""," ""Climate models need to be revised.""", IsLow(a), IsRevised(c),[],[],"[(' ECS', ' Climate models'), (' need to be revised', ' ECS')]",IsLow(a),IsRevised(b),(exists a (IsLow(a))) -> (forall b (IsRevised(b))),(exists a (IsLow(a))) -> (exists b (IsRevised(b))),LF
43,false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere ."," ""The cost of weather disasters has risen over time."""," ""Modern society builds more infrastructure in areas prone to damage from weather—which is almost everywhere."""," IsRisen(b,a)"," IsBuiltIn(c,a),  IsAlmostEverywhere(d)",[],"[(' time', ' areas prone to damage from weather')]","[(' weather disasters', ' areas prone to damage from weather'), (' time', ' Modern society')]","IsRisen(b,a)","IsBuiltIn(c,a) and IsAlmostEverywhere(d)","(exists a (exists b (IsRisen(b,a)))) -> (forall a (IsBuiltIn(c,a) and IsAlmostEverywhere(d)))","(exists a (exists b (IsRisen(b,a)))) -> (exists d (exists a (exists c (IsBuiltIn(c,a) and IsAlmostEverywhere(d)))))",LF
44,intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators .," ""Wind and solar facilities release carbon dioxide."" Implication: ""Coal-fired generators are needed to support wind and solar facilities."""," ""Wind and solar facilities release carbon dioxide."" Implication: ""Coal-fired generators are needed to support wind and solar facilities."""," IsReleasedBy(a,b),  IsNeededFor(c)"," IsReleasedBy(a,b),  IsNeededFor(c)",[],"[(' Wind and solar facilities', ' Wind and solar facilities'), (' carbon dioxide', ' carbon dioxide'), (' coal-fired generators', ' coal-fired generators')]",[],"IsReleasedBy(a,b) and IsNeededFor(c)","IsReleasedBy(a,b) and IsNeededFor(c)","(IsReleasedBy(a,b) and IsNeededFor(c)) -> (IsReleasedBy(a,b) and IsNeededFor(c))","(exists b (exists c (exists a (IsReleasedBy(a,b) and IsNeededFor(c))))) -> (exists b (exists c (exists a (IsReleasedBy(a,b) and IsNeededFor(c)))))",Valid
45,intentional,0,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans ."," ""The records were caused by El Nino"""," ""There is no connection between greenhouse gas emissions by humans and the records.""", IsCausedBy(a)," IsConnectedTo(b,c)",[],[],[],IsCausedBy(a),"~IsConnectedTo(b,c)","(IsCausedBy(a)) -> (~IsConnectedTo(b,c))","(exists a (IsCausedBy(a))) -> (exists c (exists b (~IsConnectedTo(b,c))))",LF
46,fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon ."," ""Salmon are crucial to their coastal ecosystem."""," ""Without salmon, the largest trees on Earth wouldn't exist."""," IsCrucial(a),  IsInCoastalEcosystem(b)"," IsWithout(a),  IsLargest(c),  IsOnEarth(d)",[],"[(' Salmon', ' Salmon')]","[(' Salmon', ' their coastal ecosystem'), (' trees', ' their coastal ecosystem')]",IsCrucial(a) and IsInCoastalEcosystem(b),IsWithout(a) and (IsLargest(c) and IsOnEarth(d)),(forall b (IsCrucial(a) and IsInCoastalEcosystem(b))) -> (exists c (exists a (IsWithout(a) and (IsLargest(c) and IsOnEarth(d))))),(exists b (exists a (IsCrucial(a) and IsInCoastalEcosystem(b)))) -> (exists d (exists c (exists a (IsWithout(a) and (IsLargest(c) and IsOnEarth(d)))))),LF
47,intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick ."," ""Most of the ice was extremely thin in 2008."""," ""Most of the ice has been at least two meters thick this year.""", IsIn2008(b), IsAtLeastTwoMetersThick(c),[],"[(' Most of the ice', ' Most of the ice'), (' Most of the ice', ' this year')]","[(' two meters', ' Most of the ice')]",IsIn2008(b) and IsThin(a),IsAtLeastTwoMetersThick(a),(IsIn2008(b) and IsThin(a)) -> (IsAtLeastTwoMetersThick(a)),(exists a (exists b (IsIn2008(b) and IsThin(a)))) -> (exists a (IsAtLeastTwoMetersThick(a))),LF
48,fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red .," ""Adding more CO2 molecules to the atmosphere conceals the red."""," ""The first coat of white paint does most of the work of concealing the red.""", IsAddedToAtmosphere(a)," IsFirstCoatOfWhitePaint(c),  ConcealsRed(d)",[],[],[],IsAddedToAtmosphere(a) and ~IsRed(b),IsFirstCoatOfWhitePaint(c) and ConcealsRed(d),(IsAddedToAtmosphere(a) and ~IsRed(b)) -> (IsFirstCoatOfWhitePaint(c) and ConcealsRed(d)),(exists b (exists a (IsAddedToAtmosphere(a) and ~IsRed(b)))) -> (exists d (exists c (IsFirstCoatOfWhitePaint(c) and ConcealsRed(d)))),LF
49,fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”"," ""It is possible to limit global warming to 1.5 degree C within the laws of chemistry and physics."""," ""Unprecedented changes are required to limit global warming to 1.5 degree C."""," IsLimitedTo(a,b)"," IsRequired(a),  IsUnprecedented(a)",[],"[(' global warming', ' Unprecedented changes'), (' global warming', ' global warming'), (' 1.5 degree C', ' 1.5 degree C.')]","[(' It', ' Unprecedented changes'), (' 1.5 degree C.', ' It'), (' 1.5 degree C.', ' global warming'), (' 1.5 degree C', ' Unprecedented changes'), (' 1.5 degree C', ' global warming')]","IsLimitedTo(c,d)",IsRequired(a) and IsUnprecedented(a),"(exists c (IsLimitedTo(c,d))) -> (forall a (IsRequired(a) and IsUnprecedented(a)))","(exists d (exists c (IsLimitedTo(c,d)))) -> (exists a (IsRequired(a) and IsUnprecedented(a)))",LF
50,fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .," ""The sun and clouds are important for the climate."""," ""Modellers did not consider the sun and clouds important.""", IsImportantFor(c), IsNotImportantFor(a),[],"[(' clouds', ' clouds')]","[(' sun', ' The sun')]",IsImportantFor(a) and IsImportantFor(b),IsNotImportantFor(d),(forall b (IsImportantFor(a) and IsImportantFor(b))) -> (exists d (IsNotImportantFor(d))),(exists b (exists a (IsImportantFor(a) and IsImportantFor(b)))) -> (exists d (IsNotImportantFor(d))),LF
51,appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef ., , ,Input: A tall man loves cheese.," IsTall(a), LovesCheese(a) ",[],"[('', '')]",[],,,,,
52,appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities ."," ""The Greenland ice sheet is a major contributor to rising sea levels."""," ""If the Greenland ice sheet were lost entirely, the oceans would rise by six meters around the world, flooding many of the world's largest cities."""," IsA(a),  IsContributorTo(b)"," IsLost(a),  IsRaisedBy(c),  IsPartOf(d),  IsFlooded(e)",[],"[(' Greenland ice sheet', ' Greenland ice sheet')]","[(' Greenland ice sheet', ' rising sea levels'), (' oceans', ' rising sea levels'), (' rising sea levels', ' world'), (' rising sea levels', ' cities')]",IsA(a) and IsContributorTo(b),IsLost(a) and (IsRaisedBy(c) and IsPartOf(d)) and IsFlooded(e),(forall b (IsA(a) and IsContributorTo(b))) -> (forall e (forall d (exists c (exists a (IsLost(a) and (IsRaisedBy(c) and IsPartOf(d)) and IsFlooded(e)))))),(exists b (exists a (IsA(a) and IsContributorTo(b)))) -> (exists e (exists d (exists c (exists a (IsLost(a) and (IsRaisedBy(c) and IsPartOf(d)) and IsFlooded(e)))))),LF
53,intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .," ""There has been more polar ice in the world since 1979."""," ""Climate scientists are correct."""," IsInWorld(a),  WasIn1979(c)", IsCorrect(d),[],[],[],IsInWorld(a) and WasIn1979(c),IsCorrect(d),(IsInWorld(a) and WasIn1979(c)) -> (IsCorrect(d)),(exists c (exists a (IsInWorld(a) and WasIn1979(c)))) -> (exists d (IsCorrect(d))),LF
54,fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem ."," ""There are 80 graphs showing why the scare about global warming has been overdone."""," ""The evidence doesn't support the idea that global warming is unusual or a problem."""," Is80(c),  IsGlobalWarming(a),  IsScare(d)"," IsEvidence(a),  IsGlobalWarming(a),  IsUnusual(a),  IsProblem(a)",[],"[(' global warming', '')]","[(' There are', ''), (' 80 graphs', ''), (' scare', '')]",Is80(c) and (IsGlobalWarming(a) and IsScare(d)),IsEvidence(a) and ~IsUnusual(a) and ~IsProblem(a),(exists d (exists c (Is80(c) and (IsGlobalWarming(a) and IsScare(d))))) -> (forall a (IsEvidence(a) and ~IsUnusual(a) and ~IsProblem(a))),(exists d (exists a (exists c (Is80(c) and (IsGlobalWarming(a) and IsScare(d)))))) -> (exists a (IsEvidence(a) and ~IsUnusual(a) and ~IsProblem(a))),LF
55,faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period ."," ""There was high solar activity during the Medieval Warm Period."""," ""There is a clear correlation between solar activity and temperature on Earth."""," IsHigh(a),  OccurredDuring(b,c)"," IsClear(a,d),  OccursOn(a,e)",[],"[(' solar activity', ' solar activity')]","[(' There', ' solar activity'), (' There', ' Earth')]","IsHigh(a) and OccurredDuring(b,c)","IsClear(a) and OccursOn(a,e)","(exists b (IsHigh(a) and OccurredDuring(b,c))) -> (forall e (forall a (IsClear(a) and OccursOn(a,e))))","(exists b (exists c (exists a (IsHigh(a) and OccurredDuring(b,c))))) -> (exists e (exists a (IsClear(a) and OccursOn(a,e))))",LF
56,intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change ."," ""Brown said the world needs brainwashing on climate change."""," ""Brainwashing is necessary to address climate change."""," IsSays(b,a),  IsNeeds(b,c)"," IsNecessary(d,a)",[],"[(' climate change', ' climate change')]",[],"IsSays(b,a) and IsNeeds(b,c)","IsNecessary(d,a)","(IsSays(b,a) and IsNeeds(b,c)) -> (IsNecessary(d,a))","(exists a (exists c (exists b (IsSays(b,a) and IsNeeds(b,c))))) -> (exists d (exists a (IsNecessary(d,a))))",LF
57,appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet ."," ""The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica."""," ""If the glaciers of Pine Island Bay melt, it would submerge every coastal city on the planet."""," IsInAntarctica(b),  AreFastestMelting(b)"," IsInPineIslandBay(a),  WillSubmerge(b,d)",[],"[(' Pine Island Bay', ' Pine Island Bay'), (' glaciers', ' glaciers')]",[],IsInAntarctica(b) and (AreFastestMelting(b) or IsTwoOfTheLargest(b)),"WillSubmerge(b,d) and ~IsOnPlanet(e)","(IsInAntarctica(b) and (AreFastestMelting(b) or IsTwoOfTheLargest(b))) -> (WillSubmerge(b,d) and ~IsOnPlanet(e))","(exists b (IsInAntarctica(b) and (AreFastestMelting(b) or IsTwoOfTheLargest(b)))) -> (exists e (exists d (exists b (WillSubmerge(b,d) and ~IsOnPlanet(e)))))",LF
58,faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world ."," ""There has been a gradual increase in global precipitation and soil moisture as our planet warms."""," ""Global warming is creating a safer, more peaceful world."""," IsIncreasing(b),  IsIncreasing(c)"," IsCreating(d),  IsSafer(e),  IsMorePeaceful(e)",[],[],"[(' soil moisture', ' world')]",IsIncreasing(a) and (IsIncreasing(b) and IsIncreasing(c)),IsCreating(d) and (IsSafer(e) and IsMorePeaceful(e)),(exists c (IsIncreasing(a) and (IsIncreasing(b) and IsIncreasing(c)))) -> (forall e (IsCreating(d) and (IsSafer(e) and IsMorePeaceful(e)))),(exists b (exists c (exists a (IsIncreasing(a) and (IsIncreasing(b) and IsIncreasing(c)))))) -> (exists e (exists d (IsCreating(d) and (IsSafer(e) and IsMorePeaceful(e))))),LF
59,false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year ."," ""Recent warming is producing crop production records."""," ""There are billions of dollars in new economic and human welfare benefits each year."""," IsRecent(b),  HasCropProductionRecords(a)"," IsInDollars(c),  HasNewEconomicBenefits(a),  HasNewHumanWelfareBenefits(d),  IsEachYear(e)",[],"[(' crop production records', ' new economic benefits')]",[],IsRecent(b) and HasCropProductionRecords(a),IsInDollars(c) and (HasNewEconomicBenefits(a) and HasNewHumanWelfareBenefits(d)) and IsEachYear(e),(IsRecent(b) and HasCropProductionRecords(a)) -> (IsInDollars(c) and (HasNewEconomicBenefits(a) and HasNewHumanWelfareBenefits(d)) and IsEachYear(e)),(exists a (exists b (IsRecent(b) and HasCropProductionRecords(a)))) -> (exists e (exists d (exists a (exists c (IsInDollars(c) and (HasNewEconomicBenefits(a) and HasNewHumanWelfareBenefits(d)) and IsEachYear(e)))))),LF
60,fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ..., Scientists have noted that climate models have been over-hyping warming., Climate models show 2.5 times more warming in the bulk atmosphere than has been observed., IsOverhyping(a)," IsShown(b),  IsMore(c,d)",[],[],"[(' bulk atmosphere', ''), (' observed', '')]", and ,"IsShown(b) and IsMore(c,d)","( and ) -> (IsShown(b) and IsMore(c,d))","( and ) -> (exists d (exists c (exists b (IsShown(b) and IsMore(c,d)))))",
61,fallacy of credibility,0,"Howard Browman , a marine scientist for 35 years , has published a review in the ICES Journal of Marine Science of all the papers published on the subject . His verdict could hardly be more damning . The methodology used by the studies was often flawed ; contrary studies suggesting that ocean acidification wasn ’ t a threat had sometimes had difficulty finding a publisher .", Howard Browman reviewed all the papers on ocean acidification., The methodology used by the studies was often flawed.," IsReviewed(a,b)", IsFlawed(d),[],[],"[(' ocean acidification', ' studies'), (' methodology', ' ocean acidification')]","IsReviewed(a,b)",IsFlawed(c and d),"(forall b (exists b (IsReviewed(a,b)))) -> (exists d (forall c (IsFlawed(c and d))))","(exists b (exists a (IsReviewed(a,b)))) -> (exists d (exists c (IsFlawed(c and d))))",
62,intentional,0,"In June last year , a severe heatwave claimed over 1,000 lives in Karachi , Pakistan . Severe drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in “ intense and widespread ” forest fires in Indonesia that belched out a vast quantity of greenhouse gas ."," ""Severe heatwave claimed over 1,000 lives in Karachi."""," ""Severe drought caused food shortages for millions of people in Ethiopia."""," IsClaimed(a,c)"," IsCaused(d,e)",[],[],[],"IsSevereHeatwave(a) and IsClaimed(a,c)","IsCaused(d,e)","(IsSevereHeatwave(a) and IsClaimed(a,c)) -> (IsCaused(d,e))","(exists c (exists a (IsSevereHeatwave(a) and IsClaimed(a,c)))) -> (exists e (exists d (IsCaused(d,e))))",LF
63,intentional,0,The rate of sea-level rise has not accelerated .," ""The rate of sea-level rise has not accelerated."""," ""Many coastal residents were worried about the impact on their homes and businesses.""", IsAccelerated(a), IsWorried(c),[],[],"[(' rate of sea-level rise', ''), (' sea-level rise', '')]",~IsAccelerated(b),IsWorried(c),(exists b (~IsAccelerated(b))) -> (forall c (IsWorried(c))),(exists b (~IsAccelerated(b))) -> (exists c (IsWorried(c))),LF
64,false dilemma,0,Just because we are alive today does not mean we change major planetary systems that operated for billions of years .," ""We don't change major planetary systems"""," ""We are alive today""", IsChange(b)," IsAlive(a,c)",[],"[(' We', ' We')]","[(' today', ' We')]",~IsChange(a),"IsAlive(a,c)","(forall a (~IsChange(a))) -> (exists c (IsAlive(a,c)))","(exists a (~IsChange(a))) -> (exists c (exists a (IsAlive(a,c))))",LF
65,appeal to emotion,0,,,,,,[],[],[],,,() -> (),() -> (),
66,fallacy of credibility,0,"“ The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real , ” said Mr. Tuckman , the founder of a company offering creative services to the retail industry ."," ""The predictions of what will happen over the next 20, 30, 40 years are real."""," ""We have to be prepared for the worst."""," IsInNext20Years(b),  IsInNext30Years(c),  IsInNext40Years(d)"," IsPreparedFor(a,e)",[],"[(' The predictions', ' We')]","[(' worst', ' The predictions')]",IsInNext20Years(b) and IsInNext30Years(c) and IsInNext40Years(d),IsPreparedFor(a) and ~ worst(e),(IsInNext20Years(b) and IsInNext30Years(c) and IsInNext40Years(d)) -> (IsPreparedFor(a) and ~ worst(e)),(exists d (exists c (exists b (IsInNext20Years(b) and IsInNext30Years(c) and IsInNext40Years(d))))) -> (exists e (exists a (IsPreparedFor(a) and ~ worst(e)))),LF
67,fallacy of relevance,0,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total ."," ""China's carbon dioxide emissions have increased by 53% in the past decade."""," ""China is the largest emitter of carbon dioxide."""," IsIncreasedBy(b,a),  IsInPastDecade(c)"," IsLargestEmiter(a,d)",[],"[(' China', ' China')]","[(' carbon dioxide emissions', ' China'), (' carbon dioxide', ' carbon dioxide emissions')]","IsIncreasedBy(b,a) and IsInPastDecade(c)","IsLargestEmiter(a,d)","(forall b (exists b (IsIncreasedBy(b,a) and IsInPastDecade(c)))) -> (exists d (forall a (IsLargestEmiter(a,d))))","(exists a (exists c (exists b (IsIncreasedBy(b,a) and IsInPastDecade(c))))) -> (exists d (exists a (IsLargestEmiter(a,d))))",LF
68,appeal to emotion,0,"At six feet , though , around 12 million people in the United States would be displaced , and the world ’ s most vulnerable megacities , like Shanghai , Mumbai , and Ho Chi Minh City , could be wiped off the map ."," ""12 million people in the United States would be displaced."""," ""Shanghai, Mumbai, and Ho Chi Minh City could be wiped off the map.""", IsDisplaced(a)," IsWipedOffTheMap(c),  IsWipedOffTheMap(d),  IsWipedOffTheMap(e)",[],[],"[(' Shanghai', ' 12 million people'), (' Mumbai', ' 12 million people'), (' Ho Chi Minh City', ' 12 million people')]",IsDisplaced(a),(IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e),(forall a (IsDisplaced(a))) -> (exists e (exists d (exists c ((IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e))))),(exists a (IsDisplaced(a))) -> (exists e (exists d (exists c ((IsWipedOffTheMap(c) and IsWipedOffTheMap(d)) or IsWipedOffTheMap(e))))),
69,appeal to emotion,0,And then you get scared .," ""You get scared."""," ""The ghost is real.""", IsScared(b), IsReal(c),[],[],[],IsScared(b),IsReal(c),(IsScared(b)) -> (IsReal(c)),(exists b (IsScared(b))) -> (exists c (IsReal(c))),LF
70,fallacy of credibility,0,"Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims ."," ""The ground is rising up."""," ""Extreme melting and changes to the climate may have released pressure on the continent.""", IsRisingUp(b)," IsExtreme(a),  IsReleasedPressure(c)",[],[],[],IsRisingUp(b),IsExtreme(a) and IsReleasedPressure(c),(IsRisingUp(b)) -> (IsExtreme(a) and IsReleasedPressure(c)),(exists b (IsRisingUp(b))) -> (exists c (exists a (IsExtreme(a) and IsReleasedPressure(c)))),LF
71,appeal to emotion,0,Australia ’ s symbolic suicidal climate policy just makes everybody poorer .,,,,,[],[],[],,,() -> (),() -> (),
72,fallacy of relevance,0,"As the BBC reported in May , scientists suspect smallpox and the bubonic plague are trapped in Siberian ice , too — an abridged history of devastating human sickness , left out like egg salad in the Arctic sun ."," ""Scientists suspect smallpox and the bubonic plague are trapped in Siberian ice."""," ""Human sickness has a long history of devastating effects."""," IsSuspected(a),  IsTrappedIn(d)"," IsHuman(e),  HasLongHistory(f),  HasDevastatingEffects(g)",[],[],"[(' smallpox', ' Human sickness'), (' smallpox', ' devastating effects'), (' bubonic plague', ' Human sickness'), (' bubonic plague', ' devastating effects'), (' Siberian ice.', ' devastating effects')]",IsSuspected(a) and (IsTrappedIn(d) and b),IsHuman(e) and (HasLongHistory(f) and HasDevastatingEffects(g)),(exists d (exists b (IsSuspected(a) and (IsTrappedIn(d) and b)))) -> (forall g (forall e (IsHuman(e) and (HasLongHistory(f) and HasDevastatingEffects(g))))),(exists b (exists d (exists a (IsSuspected(a) and (IsTrappedIn(d) and b))))) -> (exists e (exists g (exists f (IsHuman(e) and (HasLongHistory(f) and HasDevastatingEffects(g)))))),
73,ad hominem,0,,,,,,[],[],[],,,() -> (),() -> (),
74,false dilemma,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," ""The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922."""," ""Fossil fuel emissions in 1913 and 1922 were negligible compared to today."""," IsInLibya(c),  WasRecordedIn1922(a)"," IsNegligible(d,e),  WasIn1913(e),  WasIn1922(a)",[],"[(' 1922', ' 1922')]",[],IsInLibya(c) and WasRecordedIn1922(a),"IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))","(IsInLibya(c) and WasRecordedIn1922(a)) -> (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a)))","(exists a (exists c (IsInLibya(c) and WasRecordedIn1922(a)))) -> (exists e (exists d (exists a (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))))))",LF
75,fallacy of relevance,0,"Without carbon dioxide , there would be no complex life on earth ."," ""Without carbon dioxide, there would be no complex life on earth."""," ""Complex life on earth depends on carbon dioxide."""," IsInCarbonDioxide(a),  HasComplexLife(c)"," DependsOn(a,b)",[],"[(' Carbon dioxide', ' carbon dioxide'), (' earth', ' earth')]","[(' carbon dioxide', ' complex life'), (' earth', ' complex life')]",IsInCarbonDioxide(a) and HasComplexLife(c),"DependsOn(a,b)","(forall c (IsInCarbonDioxide(a) and HasComplexLife(c))) -> (exists b (exists a (DependsOn(a,b))))","(exists c (exists a (IsInCarbonDioxide(a) and HasComplexLife(c)))) -> (exists b (exists a (DependsOn(a,b))))",LF
76,intentional,0,"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years . That ’ s true for the rest of the world , too . There was a 300-year-long Medieval heat wave , followed by a Little Ice Age that began around 1300 , and then the 300-year warming period we ’ re in now ."," ""Alaska has been buffeted by cyclical swings in climate for thousands of years."""," ""There was a 300-year-long Medieval heat wave."""," IsBuffeted(a),  IsCyclical(b),  IsSwing(c)"," Is300YearLong(d),  IsMedieval(e),  IsHeatWave(f)",[],[],"[(' 300-year-long', ' cyclical swings'), (' cyclical swings', ' Medieval'), (' heat wave', ' cyclical swings'), (' heat wave', ' climate')]",IsBuffeted(a) and IsCyclical(b) and IsSwing(c),Is300YearLong(d) and (IsMedieval(e) and IsHeatWave(f)),(forall c (forall b (IsBuffeted(a) and IsCyclical(b) and IsSwing(c)))) -> (exists f (forall e (exists d (Is300YearLong(d) and (IsMedieval(e) and IsHeatWave(f)))))),(exists b (exists c (exists a (IsBuffeted(a) and IsCyclical(b) and IsSwing(c))))) -> (exists e (exists d (exists f (Is300YearLong(d) and (IsMedieval(e) and IsHeatWave(f)))))),LF
