logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon ."," ""Salmon are crucial to the coastal ecosystem.""  "," ""The largest trees on Earth would not exist without salmon.""","IsCrucial(a, b)","IsLargest(c),  DoesNotExistWithout(c, a)",[],"[(' Salmon', ' salmon')]",[],"IsCrucial(a, b)","~DoesNotExistWithout(c, a) and IsLargest(c)","(IsCrucial(a, b)) -> (~DoesNotExistWithout(c, a) and IsLargest(c))","(exists b (exists a (IsCrucial(a, b)))) -> (exists c (exists a (~DoesNotExistWithout(c, a) and IsLargest(c))))"
intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick ."," ""In 2008, most of the ice was extremely thin.""  "," ""Most of the ice is at least two metres thick this year.""",IsThin(a),"IsThick(b),  IsThisYear(c)",[],[],"[(' the ice', ' Most of the ice')]",IsThin(a),IsThick(b) and IsThisYear(c),(exists a (IsThin(a))) -> (forall b (IsThick(b) and IsThisYear(c))),(exists a (IsThin(a))) -> (exists c (exists b (IsThick(b) and IsThisYear(c))))
fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red .," ""Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint.""  "," ""The first coat of white paint conceals the red wall.""","IsAddedTo(b, c),  IsLikePaintingOver(a, d)","IsCoating(e, a),  Conceals(e, a)",[],"[(' red wall', ' the red wall')]",[],"(IsAddedTo(b, c) and IsLikePaintingOver(a, d))","IsCoating(e, a) and Conceals(e, a)","((IsAddedTo(b, c) and IsLikePaintingOver(a, d))) -> (IsCoating(e, a) and Conceals(e, a))","(exists c (exists d (exists b (exists a ((IsAddedTo(b, c) and IsLikePaintingOver(a, d))))))) -> (exists e (exists a (IsCoating(e, a) and Conceals(e, a))))"
fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”"," ""Limiting global warming to 1.5 degree C is possible within the laws of chemistry and physics.""  "," ""Unprecedented changes are required to limit global warming to 1.5 degree C.""","IsLimiting(a,b),  IsPossible(a,c,d)","IsRequired(e),  IsLimiting(a,b)",[],"[(' global warming', ' global warming'), (' 1.5 degree C', ' 1.5 degree C')]","[(' 1.5 degree C', ' global warming')]","IsLimiting(a,b) and IsPossible(a,c,d)","IsRequired(e) and IsLimiting(a,b)","(exists b (IsLimiting(a,b) and IsPossible(a,c,d))) -> (exists b (forall a (IsRequired(e) and IsLimiting(a,b))))","(exists c (exists d (exists b (exists a (IsLimiting(a,b) and IsPossible(a,c,d)))))) -> (exists e (exists b (exists a (IsRequired(e) and IsLimiting(a,b)))))"
fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .," ""The sun and clouds are the major drivers for the climate on our planet.""  "," ""Modellers do not consider the role of the sun and clouds important.""","IsMajorDriver(a,c),  IsMajorDriver(b,c),  IsOn(d,c)","ConsidersRoleAsImportant(e,f),  HasClouds(a)",[],"[(' clouds', ' clouds')]",[],"IsMajorDriver(a,c) and IsMajorDriver(b,c) and IsOn(d,c)","~ConsidersRoleAsImportant(e,f) and HasClouds(a)","(IsMajorDriver(a,c) and IsMajorDriver(b,c) and IsOn(d,c)) -> (~ConsidersRoleAsImportant(e,f) and HasClouds(a))","(exists c (exists d (exists b (exists a (IsMajorDriver(a,c) and IsMajorDriver(b,c) and IsOn(d,c)))))) -> (exists e (exists f (exists a (~ConsidersRoleAsImportant(e,f) and HasClouds(a)))))"
appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef .," ""They may still have the opportunity to visit a living Great Barrier Reef.""  "," ""Visitors have the opportunity to visit a living Great Barrier Reef.""","HasOpportunity(c, a),  IsLiving(b),  IsGreatBarrierReef(b)","HasOpportunity(d, a),  IsLiving(b),  IsGreatBarrierReef(b)","[('  IsLiving(b)', '  IsGreatBarrierReef(b)'), ('  IsGreatBarrierReef(b)', '  IsLiving(b)'), ('  IsGreatBarrierReef(b)', '  IsLiving(b)'), ('  IsLiving(b)', '  IsGreatBarrierReef(b)')]","[(' the opportunity', ' the opportunity'), (' a living Great Barrier Reef', ' a living Great Barrier Reef')]",[],"HasOpportunity(c, a) and IsLiving(b) and IsGreatBarrierReef(b)","HasOpportunity(d, a) and IsLiving(b) and IsGreatBarrierReef(b)","(HasOpportunity(c, a) and IsLiving(b) and IsGreatBarrierReef(b) & (forall b (  IsLiving(b) ->   IsGreatBarrierReef(b))) & (forall b (  IsGreatBarrierReef(b) ->   IsLiving(b))) & (forall b (  IsGreatBarrierReef(b) ->   IsLiving(b))) & (forall b (  IsLiving(b) ->   IsGreatBarrierReef(b)))) -> (HasOpportunity(d, a) and IsLiving(b) and IsGreatBarrierReef(b))","(exists c (exists b (exists a (HasOpportunity(c, a) and IsLiving(b) and IsGreatBarrierReef(b)))) & (forall e (  IsLiving(e) ->   IsGreatBarrierReef(e))) & (forall f (  IsGreatBarrierReef(f) ->   IsLiving(f))) & (forall g (  IsGreatBarrierReef(g) ->   IsLiving(g))) & (forall h (  IsLiving(h) ->   IsGreatBarrierReef(h)))) -> (exists d (exists b (exists a (HasOpportunity(d, a) and IsLiving(b) and IsGreatBarrierReef(b)))))"
appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities ."," ""The melting Greenland ice sheet contributes to rising sea level.""  "," ""The oceans would rise by six metres around the world.""","IsMelting(a),  ContributesTo(a, b)","IsRising(c, d),  IsAround(c, e)","[('IsMelting(a)', 'IsRising(c, d)')]",[],"[(' The melting Greenland ice sheet', ' the world')]","IsMelting(a) and ContributesTo(a, b)","IsRising(c, d) and IsAround(c, e)","(exists a (IsMelting(a) and ContributesTo(a, b)) & (forall c (forall d (forall a (IsMelting(a) -> IsRising(c, d)))))) -> (forall e (IsRising(c, d) and IsAround(c, e)))","(exists b (exists a (IsMelting(a) and ContributesTo(a, b))) & (forall h (forall f (forall g (IsMelting(f) -> IsRising(g,h)))))) -> (exists c (exists e (exists d (IsRising(c, d) and IsAround(c, e)))))"
intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 .," ""There has been more polar ice in the world in recent years than at any time since satellite records began in 1979.""  "," ""Polar ice levels are increasing.""","HasMorePolarIce(a),  IsInWorld(b),  IsRecent(c),  HasSatelliteRecords(d, e)",IsIncreasing(f),[],[],[],"HasMorePolarIce(a) and IsInWorld(b) and IsRecent(c) and HasSatelliteRecords(d, e)",IsIncreasing(f),"(HasMorePolarIce(a) and IsInWorld(b) and IsRecent(c) and HasSatelliteRecords(d, e)) -> (IsIncreasing(f))","(exists d (exists a (exists c (exists e (exists b (HasMorePolarIce(a) and IsInWorld(b) and IsRecent(c) and HasSatelliteRecords(d, e))))))) -> (exists f (IsIncreasing(f)))"
fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem ."," ""There are 80 graphs showing why the scare about global warming has been horribly overdone.""  "," ""Global warming is not unusual or a problem.""","IsGraph(b),  ShowsReason(b, c),  IsAbout(b, a),  IsOverdone(c)","IsGlobalWarming(a),  IsNotUnusual(a),  IsNotAProblem(a)",[],"[(' global warming', ' Global warming')]",[],"IsGraph(b) and ShowsReason(b, c) and IsAbout(b, a) and IsOverdone(c)",(IsGlobalWarming(a) and IsNotUnusual(a)) or IsNotAProblem(a),"(IsGraph(b) and ShowsReason(b, c) and IsAbout(b, a) and IsOverdone(c)) -> ((IsGlobalWarming(a) and IsNotUnusual(a)) or IsNotAProblem(a))","(exists c (exists b (exists a (IsGraph(b) and ShowsReason(b, c) and IsAbout(b, a) and IsOverdone(c))))) -> (exists a ((IsGlobalWarming(a) and IsNotUnusual(a)) or IsNotAProblem(a)))"
faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period ."," ""The Northern Hemisphere experienced 'The Little Ice Age' where crops failed and plague wiped out tens of millions of people.""  "," ""There is a correlation between solar activity and temperature on Earth.""","ExperiencesIceAge(a,b),  HasFailedCrops(b,c),  WipesOut(e,d)","IsCorrelated(f,g),  IsOnEarth(g,h)",[],[],"[(' The Northern Hemisphere', ' Earth')]","ExperiencesIceAge(a,b) and HasFailedCrops(b,c) and WipesOut(e,d)","IsCorrelated(f,g) and IsOnEarth(g,h)","(exists a (ExperiencesIceAge(a,b) and HasFailedCrops(b,c) and WipesOut(e,d))) -> (forall h (IsCorrelated(f,g) and IsOnEarth(g,h)))","(exists d (exists a (exists c (exists e (exists b (ExperiencesIceAge(a,b) and HasFailedCrops(b,c) and WipesOut(e,d))))))) -> (exists h (exists f (exists g (IsCorrelated(f,g) and IsOnEarth(g,h)))))"
intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change ."," ""Brown told a conference at the Vatican that the world needed brain washing on climate change.""  "," ""The world needs brain washing on climate change.""","IsSpeakingAt(d,e),  IsInVatican(f),  NeedsBrainWashing(a,b),  ConcernsClimateChange(b,c)","NeedsBrainWashing(a, b),  ConcernsClimateChange(b, c)",[],"[(' the world', ' The world'), (' brain washing', ' brain washing'), (' climate change', ' climate change')]",[],"IsSpeakingAt(d,e) and IsInVatican(f) and NeedsBrainWashing(a,b) and ConcernsClimateChange(b,c)","NeedsBrainWashing(a, b) and ConcernsClimateChange(b, c)","(IsSpeakingAt(d,e) and IsInVatican(f) and NeedsBrainWashing(a,b) and ConcernsClimateChange(b,c)) -> (NeedsBrainWashing(a, b) and ConcernsClimateChange(b, c))","(exists d (exists a (exists c (exists f (exists e (exists b (IsSpeakingAt(d,e) and IsInVatican(f) and NeedsBrainWashing(a,b) and ConcernsClimateChange(b,c)))))))) -> (exists c (exists b (exists a (NeedsBrainWashing(a, b) and ConcernsClimateChange(b, c)))))"
appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet ."," ""The glaciers of Pine Island Bay are large and fast-melting.""  "," ""The melting of the glaciers will submerge every coastal city on the planet.""","IsLarge(a),  IsFastMelting(a)","IsMelting(b),  WillSubmerge(b, c),  IsOnPlanet(c, d)","[('  IsFastMelting(a)', 'IsMelting(b)')]",[],"[(' The glaciers of Pine Island Bay', ' The glaciers'), (' The glaciers of Pine Island Bay', ' the planet')]",IsLarge(a) and IsFastMelting(a),"IsMelting(b) and (WillSubmerge(b, c) and IsOnPlanet(c, d))","(exists a (IsLarge(a) and IsFastMelting(a)) & (forall b (forall a (  IsFastMelting(a) -> IsMelting(b))))) -> (forall d (forall b (IsMelting(b) and (WillSubmerge(b, c) and IsOnPlanet(c, d)))))","(exists a (IsLarge(a) and IsFastMelting(a)) & (forall e (forall f (  IsFastMelting(e) -> IsMelting(f))))) -> (exists c (exists d (exists b (IsMelting(b) and (WillSubmerge(b, c) and IsOnPlanet(c, d))))))"
faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world ."," ""There has been a gradual increase in global precipitation and soil moisture as the planet warms.""  "," ""Global warming is creating a safer, more peaceful world.""","HasGradualIncrease(a),  HasGradualIncrease(b),  IsWarming(c)","IsCreating(d, f),  IsSafer(f),  IsMorePeaceful(f)",[],[],[],HasGradualIncrease(a) and HasGradualIncrease(b) and IsWarming(c),"IsCreating(d, f) and IsSafer(f) and IsMorePeaceful(f)","(HasGradualIncrease(a) and HasGradualIncrease(b) and IsWarming(c)) -> (IsCreating(d, f) and IsSafer(f) and IsMorePeaceful(f))","(exists c (exists b (exists a (HasGradualIncrease(a) and HasGradualIncrease(b) and IsWarming(c))))) -> (exists d (exists f (IsCreating(d, f) and IsSafer(f) and IsMorePeaceful(f))))"
false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year ."," ""The modest recent warming is producing U.S. and global crop production records.""  "," ""The modest recent warming creates billions of dollars in new economic and human welfare benefits every year.""","IsModest(a),  IsRecent(a),  Produces(a, b),  Produces(a, c)","IsModest(a),  IsRecent(a),  Creates(a, d),  Creates(a, e),  IsAnnual(f)","[('  IsRecent(a)', 'IsModest(a)'), ('  Produces(a, c)', 'IsModest(a)')]","[(' The modest recent warming', ' The modest recent warming')]",[],"IsModest(a) and IsRecent(a) and Produces(a, b) and Produces(a, c)","IsModest(a) and IsRecent(a) and Creates(a, d) and Creates(a, e) and IsAnnual(f)","(IsModest(a) and IsRecent(a) and Produces(a, b) and Produces(a, c) & (forall a (  IsRecent(a) -> IsModest(a))) & (forall c (forall a (  Produces(a, c) -> IsModest(a))))) -> (IsModest(a) and IsRecent(a) and Creates(a, d) and Creates(a, e) and IsAnnual(f))","(exists c (exists b (exists a (IsModest(a) and IsRecent(a) and Produces(a, b) and Produces(a, c)))) & (forall g (  IsRecent(g) -> IsModest(g))) & (forall h (forall i (  Produces(h,i) -> IsModest(h))))) -> (exists e (exists d (exists f (exists a (IsModest(a) and IsRecent(a) and Creates(a, d) and Creates(a, e) and IsAnnual(f))))))"
fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ...," ""Cato Institute scientists Patrick Michaels and Chip Knappenberger noted climate models have been over-hyping warming for decades.""  "," ""Climate models are not accurate.""","IsCatoInstituteScientist(b),  IsNotedFor(b),  HasBeenOverHyping(a,e),  IsInDecades(f)",IsNotAccurate(a),"[('IsNotAccurate(a)', '  HasBeenOverHyping(a,e)')]","[(' climate models', ' Climate models')]",[],"IsCatoInstituteScientist(b) and IsNotedFor(b) and HasBeenOverHyping(a,e) and IsInDecades(f)",~IsNotAccurate(a),"(IsCatoInstituteScientist(b) and IsNotedFor(b) and HasBeenOverHyping(a,e) and IsInDecades(f) & (forall e (forall a (IsNotAccurate(a) ->   HasBeenOverHyping(a,e))))) -> (~IsNotAccurate(a))","(exists e (exists b (exists f (exists a (IsCatoInstituteScientist(b) and IsNotedFor(b) and HasBeenOverHyping(a,e) and IsInDecades(f))))) & (forall h (forall i (IsNotAccurate(h) ->   HasBeenOverHyping(h,i))))) -> (exists a (~IsNotAccurate(a)))"
fallacy of credibility,0,"Howard Browman , a marine scientist for 35 years , has published a review in the ICES Journal of Marine Science of all the papers published on the subject . His verdict could hardly be more damning . The methodology used by the studies was often flawed ; contrary studies suggesting that ocean acidification wasn ’ t a threat had sometimes had difficulty finding a publisher ."," ""Howard Browman, a marine scientist for 35 years, has published a review in the ICES Journal of Marine Science of all the papers published on the subject.""  "," ""Ocean acidification is a threat.""","IsMarineScientist(a),  HasPublished(a, c),  ReviewsPapers(a, d),  IsSubjectOf(d, e)",IsThreat(f),[],[],[],"IsMarineScientist(a) and HasPublished(a, c) and ReviewsPapers(a, d) and IsSubjectOf(d, e)",IsThreat(f),"(IsMarineScientist(a) and HasPublished(a, c) and ReviewsPapers(a, d) and IsSubjectOf(d, e)) -> (IsThreat(f))","(exists c (exists e (exists d (exists a (IsMarineScientist(a) and HasPublished(a, c) and ReviewsPapers(a, d) and IsSubjectOf(d, e)))))) -> (exists f (IsThreat(f)))"
intentional,0,"In June last year , a severe heatwave claimed over 1,000 lives in Karachi , Pakistan . Severe drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in “ intense and widespread ” forest fires in Indonesia that belched out a vast quantity of greenhouse gas ."," ""A severe heatwave claimed over 1,000 lives in Karachi, Pakistan.""  "," ""Severe drought caused food shortages for millions of people in Ethiopia.""","CausesDeaths(a, c),  IsInKarachi(c, d),  IsInPakistan(d, e)","CausesFoodShortages(f, g),  AffectsPeople(h),  IsInEthiopia(g, i)",[],[],[],"CausesDeaths(a, c) and IsInKarachi(c, d) and IsInPakistan(d, e)","CausesFoodShortages(f, g) and AffectsPeople(h) and IsInEthiopia(g, i)","(CausesDeaths(a, c) and IsInKarachi(c, d) and IsInPakistan(d, e)) -> (CausesFoodShortages(f, g) and AffectsPeople(h) and IsInEthiopia(g, i))","(exists c (exists e (exists d (exists a (CausesDeaths(a, c) and IsInKarachi(c, d) and IsInPakistan(d, e)))))) -> (exists h (exists f (exists i (exists g (CausesFoodShortages(f, g) and AffectsPeople(h) and IsInEthiopia(g, i))))))"
intentional,0,The rate of sea-level rise has not accelerated .," ""The rate of sea-level rise has not accelerated.""  "," ""The rate of sea-level rise will remain the same.""",HasNotAccelerated(a),HasNotChanged(a),[],"[(' The rate of sea-level rise', ' sea-level rise')]",[],~HasNotAccelerated(a),HasNotChanged(a),(~HasNotAccelerated(a)) -> (HasNotChanged(a)),(exists a (~HasNotAccelerated(a))) -> (exists a (HasNotChanged(a)))
false dilemma,0,Just because we are alive today does not mean we change major planetary systems that operated for billions of years .," ""Alive today does not mean changing major planetary systems.""  "," ""Major planetary systems operated for billions of years.""",IsMajorPlanetarySystem(a),"IsMajorPlanetarySystem(a),  OperatedFor(b)",[],"[(' Major planetary systems', ' Major planetary systems')]",[],~IsMajorPlanetarySystem(a),IsMajorPlanetarySystem(a) and OperatedFor(b),(~IsMajorPlanetarySystem(a)) -> (IsMajorPlanetarySystem(a) and OperatedFor(b)),(exists a (~IsMajorPlanetarySystem(a))) -> (exists b (exists a (IsMajorPlanetarySystem(a) and OperatedFor(b))))
appeal to emotion,0,,,,,,[],[],[],,,() -> (),() -> ()
fallacy of credibility,0,"“ The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real , ” said Mr. Tuckman , the founder of a company offering creative services to the retail industry ."," ""Mr. Tuckman believes the predictions of what is going to happen over the next 20, 30, 40 years are real.""  "," ""The predictions are real.""","Believes(b, a),  IsReal(a)",IsReal(a),[],"[(' the predictions', ' The predictions')]",[],"Believes(b, a) and IsReal(a)",IsReal(a),"(Believes(b, a) and IsReal(a)) -> (IsReal(a))","(exists b (exists a (Believes(b, a) and IsReal(a)))) -> (exists a (IsReal(a)))"
fallacy of relevance,0,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total ."," ""China has increased its carbon dioxide emissions by 53 per cent.""  "," ""China's carbon dioxide emissions are significantly higher than Australia's.""","HasIncreasedEmissions(a, b)","IsHigher(c, d)",[],[],"[(' China', "" China's carbon dioxide emissions"")]","HasIncreasedEmissions(a, b)","IsHigher(c, d)","(exists a (HasIncreasedEmissions(a, b))) -> (forall c (IsHigher(c, d)))","(exists b (exists a (HasIncreasedEmissions(a, b)))) -> (exists c (exists d (IsHigher(c, d))))"
appeal to emotion,0,"At six feet , though , around 12 million people in the United States would be displaced , and the world ’ s most vulnerable megacities , like Shanghai , Mumbai , and Ho Chi Minh City , could be wiped off the map ."," ""Around 12 million people in the United States would be displaced.""  "," ""The world's most vulnerable megacities could be wiped off the map.""","IsDisplaced(a),  IsInUnitedStates(a)","IsVulnerable(c),  CanBeWipedOffMap(c)",[],[],[],IsInUnitedStates(a) and IsDisplaced(a),IsVulnerable(c) and CanBeWipedOffMap(c),(IsInUnitedStates(a) and IsDisplaced(a)) -> (IsVulnerable(c) and CanBeWipedOffMap(c)),(exists a (IsInUnitedStates(a) and IsDisplaced(a))) -> (exists c (IsVulnerable(c) and CanBeWipedOffMap(c)))
appeal to emotion,0,And then you get scared .," ""You get scared.""  "," ""Being scared is inevitable.""",IsScared(a),"IsScared(b),  IsInevitable(b)",[],[],[],IsScared(a),IsScared(b) and IsInevitable(b),(IsScared(a)) -> (IsScared(b) and IsInevitable(b)),(exists a (IsScared(a))) -> (exists b (IsScared(b) and IsInevitable(b)))
fallacy of credibility,0,"Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims ."," ""Extreme melting and changes to the climate may have released pressure on to the continent.""  "," ""The ground rises up.""","IsExtremeMelting(a),  HasChanges(b),  AffectsClimate(b, c),  ReleasesPressure(a, d),  IsOnContinent(d, e)","IsGround(f),  RisesUp(f)",[],[],[],"(IsExtremeMelting(a) and HasChanges(b) and AffectsClimate(b, c) and ReleasesPressure(a, d)) and IsOnContinent(d, e)",IsGround(f) and RisesUp(f),"((IsExtremeMelting(a) and HasChanges(b) and AffectsClimate(b, c) and ReleasesPressure(a, d)) and IsOnContinent(d, e)) -> (IsGround(f) and RisesUp(f))","(exists d (exists a (exists c (exists e (exists b ((IsExtremeMelting(a) and HasChanges(b) and AffectsClimate(b, c) and ReleasesPressure(a, d)) and IsOnContinent(d, e))))))) -> (exists f (IsGround(f) and RisesUp(f)))"
appeal to emotion,0,Australia ’ s symbolic suicidal climate policy just makes everybody poorer .," ""Australia's symbolic suicidal climate policy makes everybody poorer.""  "," ""Australia's climate policy makes everybody poorer.""","IsSymbolicSuicidalClimatePolicy(b),  MakesPoorer(a)","IsClimatePolicy(c),  MakesPoorer(a)","[('IsSymbolicSuicidalClimatePolicy(b)', 'IsClimatePolicy(c)')]","[(' everybody', ' everybody')]","[("" Australia's symbolic suicidal climate policy"", "" Australia's climate policy"")]",IsSymbolicSuicidalClimatePolicy(b) and MakesPoorer(a),IsClimatePolicy(c) and MakesPoorer(a),(exists b (IsSymbolicSuicidalClimatePolicy(b) and MakesPoorer(a)) & (forall c (forall b (IsSymbolicSuicidalClimatePolicy(b) -> IsClimatePolicy(c))))) -> (forall c (IsClimatePolicy(c) and MakesPoorer(a))),(exists b (exists a (IsSymbolicSuicidalClimatePolicy(b) and MakesPoorer(a))) & (forall e (forall d (IsSymbolicSuicidalClimatePolicy(d) -> IsClimatePolicy(e))))) -> (exists c (exists a (IsClimatePolicy(c) and MakesPoorer(a))))
fallacy of relevance,0,"As the BBC reported in May , scientists suspect smallpox and the bubonic plague are trapped in Siberian ice , too — an abridged history of devastating human sickness , left out like egg salad in the Arctic sun .", Scientists suspect smallpox and the bubonic plague are trapped in Siberian ice.  , Smallpox and the bubonic plague pose a threat to humanity.,"IsSuspected(a),  IsSuspected(b),  IsTrappedIn(d, a),  IsTrappedIn(d, b)","IsAThreat(a, e),  IsAThreat(b, e)","[('  IsAThreat(b, e)', '  IsSuspected(b)')]","[(' smallpox', ' Smallpox'), (' the bubonic plague', ' the bubonic plague')]","[(' Scientists', ' humanity')]","IsSuspected(a) and IsSuspected(b) and IsTrappedIn(d, a) and IsTrappedIn(d, b)","IsAThreat(a, e) or IsAThreat(b, e)","(IsSuspected(a) and IsSuspected(b) and IsTrappedIn(d, a) and IsTrappedIn(d, b) & (forall e (forall b (  IsAThreat(b, e) ->   IsSuspected(b))))) -> (IsAThreat(a, e) or IsAThreat(b, e))","(exists d (exists b (exists a (IsSuspected(a) and IsSuspected(b) and IsTrappedIn(d, a) and IsTrappedIn(d, b)))) & (forall h (forall g (  IsAThreat(g,h) ->   IsSuspected(g))))) -> (exists e (exists b (exists a (IsAThreat(a, e) or IsAThreat(b, e)))))"
ad hominem,0,,,,,,[],[],[],,,() -> (),() -> ()
false dilemma,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," ""The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922.""  "," ""Fossil fuel emissions today are significantly higher than in 1913 and 1922.""  ","IsHighestRecord(b),  IsReported(c),  IsInLocation(c,d),  IsInYear(c,a)","IsHigherThan(e, g),  IsHigherThan(e, a),  IsToday(f)",[],"[(' 1922', ' 1922')]",[],"IsHighestRecord(b) and IsReported(c) and IsInLocation(c,d) and IsInYear(c,a)","IsHigherThan(e, g) and IsHigherThan(e, a) and IsToday(f)","(IsHighestRecord(b) and IsReported(c) and IsInLocation(c,d) and IsInYear(c,a)) -> (IsHigherThan(e, g) and IsHigherThan(e, a) and IsToday(f))","(exists c (exists d (exists b (exists a (IsHighestRecord(b) and IsReported(c) and IsInLocation(c,d) and IsInYear(c,a)))))) -> (exists e (exists f (exists a (exists g (IsHigherThan(e, g) and IsHigherThan(e, a) and IsToday(f))))))"
fallacy of relevance,0,"Without carbon dioxide , there would be no complex life on earth ."," ""There would be no complex life on Earth without carbon dioxide.""  "," ""Carbon dioxide is necessary for complex life on Earth.""","HasComplexLife(a),  IsOnEarth(b),  IsNecessaryForLife(c)","IsNecessaryForLife(c),  HasComplexLife(a),  IsOnEarth(b)",[],"[(' Complex life', ' complex life'), (' Earth', ' Earth'), (' carbon dioxide', ' Carbon dioxide')]","[(' Earth', ' complex life')]",~IsNecessaryForLife(c) and ~HasComplexLife(a) or ~IsOnEarth(b),IsNecessaryForLife(c) and HasComplexLife(a) and IsOnEarth(b),(exists b (~IsNecessaryForLife(c) and ~HasComplexLife(a) or ~IsOnEarth(b))) -> (exists b (forall a (IsNecessaryForLife(c) and HasComplexLife(a) and IsOnEarth(b)))),(exists c (exists b (exists a (~IsNecessaryForLife(c) and ~HasComplexLife(a) or ~IsOnEarth(b))))) -> (exists c (exists b (exists a (IsNecessaryForLife(c) and HasComplexLife(a) and IsOnEarth(b)))))
intentional,0,"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years . That ’ s true for the rest of the world , too . There was a 300-year-long Medieval heat wave , followed by a Little Ice Age that began around 1300 , and then the 300-year warming period we ’ re in now ."," ""Alaska has been buffeted by cyclical swings in climate for thousands of years.""  "," ""The world has experienced cyclical swings in climate for thousands of years.""","IsBuffetedBy(d, a),  HasCyclicalSwings(a),  IsInClimate(b),  HasDuration(c)","IsExperiencedBy(e, a),  HasCyclicalSwings(a),  IsInClimate(b),  HasDuration(c)",[],"[(' cyclical swings', ' cyclical swings'), (' climate', ' climate'), (' thousands of years', ' thousands of years')]","[(' Alaska', ' The world')]","IsBuffetedBy(d, a) and HasCyclicalSwings(a) and IsInClimate(b) and HasDuration(c)","IsExperiencedBy(e, a) and HasCyclicalSwings(a) and IsInClimate(b) and HasDuration(c)","(exists d (IsBuffetedBy(d, a) and HasCyclicalSwings(a) and IsInClimate(b) and HasDuration(c))) -> (forall e (IsExperiencedBy(e, a) and HasCyclicalSwings(a) and IsInClimate(b) and HasDuration(c)))","(exists c (exists d (exists b (exists a (IsBuffetedBy(d, a) and HasCyclicalSwings(a) and IsInClimate(b) and HasDuration(c)))))) -> (exists c (exists e (exists b (exists a (IsExperiencedBy(e, a) and HasCyclicalSwings(a) and IsInClimate(b) and HasDuration(c))))))"
