,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
40,appeal to emotion,0,"Interstates are under feet of water , local authorities have asked boat owners to join rescue efforts , and most of the streams and rivers near the city are in flood stage ."," ""Interstates are under feet of water, local authorities have asked boat owners to join rescue efforts, and most of the streams and rivers near the city are in flood stage.""  "," ""There is severe flooding near the city.""","UnderWater(a),  AskedToJoinRescueEfforts(b, c),  InFloodStage(e),  InFloodStage(f)","NearCity(i, j)","[('NearCity(i, j)', 'UnderWater(a)'), ('  AskedToJoinRescueEfforts(b, c)', 'NearCity(i, j)'), ('NearCity(i, j)', '  InFloodStage(e)'), ('NearCity(i, j)', '  InFloodStage(f)')]",[],[],"UnderWater(a) and AskedToJoinRescueEfforts(b, c) and InFloodStage(e) and InFloodStage(f)","NearCity(i, j)","(UnderWater(a) and AskedToJoinRescueEfforts(b, c) and InFloodStage(e) and InFloodStage(f) & (forall a (forall j (forall i (NearCity(i, j) -> UnderWater(a))))) & (forall b (forall j (forall i (forall c (  AskedToJoinRescueEfforts(b, c) -> NearCity(i, j)))))) & (forall j (forall e (forall i (NearCity(i, j) ->   InFloodStage(e))))) & (forall j (forall f (forall i (NearCity(i, j) ->   InFloodStage(f)))))) -> (NearCity(i, j))","(exists c (exists f (exists e (exists a (exists b (UnderWater(a) and AskedToJoinRescueEfforts(b, c) and InFloodStage(e) and InFloodStage(f)))))) & (forall l (forall m (forall k (NearCity(k,l) -> UnderWater(m))))) & (forall q (forall o (forall p (forall n (  AskedToJoinRescueEfforts(n,o) -> NearCity(p,q)))))) & (forall r (forall t (forall s (NearCity(r,s) ->   InFloodStage(t))))) & (forall u (forall v (forall w (NearCity(u,v) ->   InFloodStage(w)))))) -> (exists j (exists i (NearCity(i, j))))",1
41,appeal to emotion,0,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape ."," Polar bears are moving from ice to land earlier and staying on land longer, which extends their fasting season.  ", Polar bears are starving.,"IsMovingFrom(a, b),  IsMovingTo(a, c),  StaysOnLandLonger(a),  ExtendsFastingSeason(d)",IsStarving(a),"[('IsMovingFrom(a, b)', 'IsStarving(a)'), ('  IsMovingTo(a, c)', 'IsStarving(a)'), ('  StaysOnLandLonger(a)', 'IsStarving(a)'), ('  ExtendsFastingSeason(d)', 'IsStarving(a)'), ('IsStarving(a)', '  ExtendsFastingSeason(d)')]","[(' Polar bears', ' Polar bears')]",[],"IsMovingFrom(a, b) and IsMovingTo(a, c) and StaysOnLandLonger(a) and ExtendsFastingSeason(d)",IsStarving(a),"(IsMovingFrom(a, b) and IsMovingTo(a, c) and StaysOnLandLonger(a) and ExtendsFastingSeason(d) & (forall a (forall b (IsMovingFrom(a, b) -> IsStarving(a)))) & (forall a (forall c (  IsMovingTo(a, c) -> IsStarving(a)))) & (forall a (  StaysOnLandLonger(a) -> IsStarving(a))) & (forall d (forall a (  ExtendsFastingSeason(d) -> IsStarving(a)))) & (forall a (forall d (IsStarving(a) ->   ExtendsFastingSeason(d))))) -> (IsStarving(a))","(exists a (exists b (exists d (exists c (IsMovingFrom(a, b) and IsMovingTo(a, c) and StaysOnLandLonger(a) and ExtendsFastingSeason(d))))) & (forall f (forall e (IsMovingFrom(e,f) -> IsStarving(e)))) & (forall g (forall h (  IsMovingTo(g,h) -> IsStarving(g)))) & (forall i (  StaysOnLandLonger(i) -> IsStarving(i))) & (forall j (forall k (  ExtendsFastingSeason(j) -> IsStarving(k)))) & (forall m (forall l (IsStarving(l) ->   ExtendsFastingSeason(m))))) -> (exists a (IsStarving(a)))",0
42,intentional,0,"If ECS is as low as the Energy Balance literature suggests , it means that the climate models we have been using for decades run too hot and need to be revised .", The Energy Balance literature suggests that ECS is low., Climate models run too hot and need revision.,SuggestsLowECS(a),"RunTooHot(c),  NeedRevision(c)","[('SuggestsLowECS(a)', '  NeedRevision(c)')]",[],[],SuggestsLowECS(a),RunTooHot(c) and NeedRevision(c),(SuggestsLowECS(a) & (forall a (forall c (SuggestsLowECS(a) ->   NeedRevision(c))))) -> (RunTooHot(c) and NeedRevision(c)),(exists a (SuggestsLowECS(a)) & (forall d (forall e (SuggestsLowECS(d) ->   NeedRevision(e))))) -> (exists c (RunTooHot(c) and NeedRevision(c))),1
43,false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere .", Modern society builds more infrastructure in areas prone to weather damage., The cost of weather disasters has risen over time.,"BuildsInfrastructure(a, b),  IsProneToWeatherDamage(c, d)","HasRisenOverTime(e, f)",[],[],"[(' weather damage', ' The cost of weather disasters')]","BuildsInfrastructure(a, b) and IsProneToWeatherDamage(c, d)","HasRisenOverTime(e, f)","(exists d (BuildsInfrastructure(a, b) and IsProneToWeatherDamage(c, d))) -> (forall e (HasRisenOverTime(e, f)))","(exists a (exists b (exists d (exists c (BuildsInfrastructure(a, b) and IsProneToWeatherDamage(c, d)))))) -> (exists f (exists e (HasRisenOverTime(e, f))))",0
44,intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators ., Wind and solar facilities need to be supported 24/7 by coal-fired generators., Wind and solar facilities do not effectively reduce carbon dioxide emissions.,"IsSupportedBy(a, b)","DoNotEffectivelyReduce(a, c)",[],"[(' Wind and solar facilities', ' Wind and solar facilities')]","[(' coal-fired generators', ' carbon dioxide emissions')]","IsSupportedBy(a, b)","DoNotEffectivelyReduce(a, c)","(exists b (IsSupportedBy(a, b))) -> (forall c (DoNotEffectivelyReduce(a, c)))","(exists a (exists b (IsSupportedBy(a, b)))) -> (exists a (exists c (DoNotEffectivelyReduce(a, c))))",0
45,intentional,0,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans ."," ""The records were caused by El Nino, a complex natural phenomenon."""," ""The records have nothing to do with greenhouse gas emissions by humans.""","IsCausedBy(a, b),  IsComplex(c),  IsNaturalPhenomenon(c)","HaveNothingToDoWith(a, d),  AreBy(d, e)",[],"[(' The records', ' The records')]",[],"IsCausedBy(a, b) and IsComplex(c) and IsNaturalPhenomenon(c)","HaveNothingToDoWith(a, d) and AreBy(d, e)","(IsCausedBy(a, b) and IsComplex(c) and IsNaturalPhenomenon(c)) -> (HaveNothingToDoWith(a, d) and AreBy(d, e))","(exists a (exists b (exists c (IsCausedBy(a, b) and IsComplex(c) and IsNaturalPhenomenon(c))))) -> (exists a (exists e (exists d (HaveNothingToDoWith(a, d) and AreBy(d, e)))))",0
46,fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon .", A significant portion of the nitrogen in West Coast forests has been traced back to salmon., Salmon are crucial to their coastal ecosystem.,"IsSignificantPortion(b),  IsNitrogen(c),  IsInWestCoastForests(c),  IsTracedBackToSalmon(b)","IsCrucialToEcosystem(a, e)","[('  IsTracedBackToSalmon(b)', 'IsCrucialToEcosystem(a, e)')]","[(' salmon', ' Salmon')]","[(' West Coast forests', ' their coastal ecosystem'), (' salmon', ' their coastal ecosystem')]",IsSignificantPortion(b) and IsNitrogen(c) and IsInWestCoastForests(c) and IsTracedBackToSalmon(b),"IsCrucialToEcosystem(a, e)","(IsSignificantPortion(b) and IsNitrogen(c) and IsInWestCoastForests(c) and IsTracedBackToSalmon(b) & (forall a (forall b (forall e (  IsTracedBackToSalmon(b) -> IsCrucialToEcosystem(a, e)))))) -> (IsCrucialToEcosystem(a, e))","(exists b (exists c (IsSignificantPortion(b) and IsNitrogen(c) and IsInWestCoastForests(c) and IsTracedBackToSalmon(b))) & (forall g (forall h (forall i (  IsTracedBackToSalmon(g) -> IsCrucialToEcosystem(h,i)))))) -> (exists a (exists e (IsCrucialToEcosystem(a, e))))",1
47,intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick ."," In 2008 most of the ice was extremely thin, but this year most of the ice has been at least two metres thick.  ", The ice is now at least two metres thick.,"IsIn2008(a),  IsThin(a, 2008),  IsInYear(b, this year),  IsThick(a, b),  IsAtLeastTwoMetresThick(c)","IsNow(a),  IsAtLeastTwoMetresThick(a)","[('IsNow(a)', '  IsThick(a, b)'), ('  IsThick(a, b)', '  IsAtLeastTwoMetresThick(a)'), ('  IsAtLeastTwoMetresThick(a)', '  IsThick(a, b)')]","[(' The ice', ' The ice')]","[(' most of the ice', ' The ice')]","(IsIn2008(a) and IsThin(a, 2008)) and (IsInYear(b, this year) and IsThick(a, b) and IsAtLeastTwoMetresThick(c))",IsNow(a) and IsAtLeastTwoMetresThick(a),"(exists c ((IsIn2008(a) and IsThin(a, 2008)) and (IsInYear(b, this year) and IsThick(a, b) and IsAtLeastTwoMetresThick(c))) & (forall a (forall b (IsNow(a) ->   IsThick(a, b)))) & (forall a (forall b (  IsThick(a, b) ->   IsAtLeastTwoMetresThick(a)))) & (forall a (forall b (  IsAtLeastTwoMetresThick(a) ->   IsThick(a, b))))) -> (forall a (IsNow(a) and IsAtLeastTwoMetresThick(a)))","(exists a (exists b (exists c ((IsIn2008(a) and IsThin(a, 2008)) and (IsInYear(b, this year) and IsThick(a, b) and IsAtLeastTwoMetresThick(c))))) & (forall d (forall e (IsNow(d) ->   IsThick(d,e)))) & (forall g (forall f (  IsThick(f,g) ->   IsAtLeastTwoMetresThick(f)))) & (forall h (forall i (  IsAtLeastTwoMetresThick(h) ->   IsThick(h,i))))) -> (exists a (IsNow(a) and IsAtLeastTwoMetresThick(a)))",1
48,fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red ., Adding more CO2 molecules to the atmosphere is similar to painting over a red wall with white paint., Most of the effect of adding CO2 molecules to the atmosphere is achieved with the initial addition.,"IsAddedCO2ToAtmosphere(a),  IsPaintedOverRedWallWithWhitePaint(a)","IsAchievedWithInitialAddition(b),  IsAddedCO2ToAtmosphere(c)",[],[],[],IsAddedCO2ToAtmosphere(a) and IsPaintedOverRedWallWithWhitePaint(a),IsAddedCO2ToAtmosphere(c) and IsAchievedWithInitialAddition(b),(IsAddedCO2ToAtmosphere(a) and IsPaintedOverRedWallWithWhitePaint(a)) -> (IsAddedCO2ToAtmosphere(c) and IsAchievedWithInitialAddition(b)),(exists a (IsAddedCO2ToAtmosphere(a) and IsPaintedOverRedWallWithWhitePaint(a))) -> (exists b (exists c (IsAddedCO2ToAtmosphere(c) and IsAchievedWithInitialAddition(b)))),0
49,fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”", Limiting global warming to 1.5 degrees C is possible within the laws of chemistry and physics., Unprecedented changes are required to limit global warming to 1.5 degrees C.,"IsLimited(a),  WithinLawsOf(b,a),  WithinPhysics(c,a)","AreRequired(d),  LimitTo(d, a, e)",[],"[(' Global warming', ' global warming')]",[],"IsLimited(a) and (WithinLawsOf(b,a) and WithinPhysics(c,a))","AreRequired(d) and LimitTo(d, a, e)","(IsLimited(a) and (WithinLawsOf(b,a) and WithinPhysics(c,a))) -> (AreRequired(d) and LimitTo(d, a, e))","(exists a (exists b (exists c (IsLimited(a) and (WithinLawsOf(b,a) and WithinPhysics(c,a)))))) -> (exists d (exists a (exists e (AreRequired(d) and LimitTo(d, a, e)))))",0
50,fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .," ""The sun and clouds are the major drivers for the climate on our planet.""  "," ""Modellers did not consider important factors for the climate.""","IsMajorDriverFor(b, a),  IsMajorDriverFor(c, a),  IsOn(e, a)","DidNotConsider(f, g),  IsImportantFactorFor(g, a)",[],"[(' the climate', ' climate')]",[],"IsMajorDriverFor(b, a) and IsMajorDriverFor(c, a) and IsOn(e, a)","DidNotConsider(f, g) and IsImportantFactorFor(g, a)","(IsMajorDriverFor(b, a) and IsMajorDriverFor(c, a) and IsOn(e, a)) -> (DidNotConsider(f, g) and IsImportantFactorFor(g, a))","(exists a (exists b (exists e (exists c (IsMajorDriverFor(b, a) and IsMajorDriverFor(c, a) and IsOn(e, a)))))) -> (exists a (exists g (exists f (DidNotConsider(f, g) and IsImportantFactorFor(g, a)))))",0
51,appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef ., They may have the opportunity to visit a living Great Barrier Reef., The Great Barrier Reef is still alive.,"HasOpportunity(a, b),  IsLivingReef(c)",IsAlive(d),"[('  IsLivingReef(c)', 'IsAlive(d)'), ('IsAlive(d)', '  IsLivingReef(c)')]",[],"[(' living Great Barrier Reef.', ' The Great Barrier Reef')]","HasOpportunity(a, b) and IsLivingReef(c)",IsAlive(d),"(exists c (HasOpportunity(a, b) and IsLivingReef(c)) & (forall d (forall c (  IsLivingReef(c) -> IsAlive(d)))) & (forall d (forall c (IsAlive(d) ->   IsLivingReef(c))))) -> (forall d (IsAlive(d)))","(exists a (exists b (exists c (HasOpportunity(a, b) and IsLivingReef(c)))) & (forall f (forall e (  IsLivingReef(e) -> IsAlive(f)))) & (forall g (forall h (IsAlive(g) ->   IsLivingReef(h))))) -> (exists d (IsAlive(d)))",1
52,appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities .", The melting Greenland ice sheet is already a major contributor to rising sea level.  , Oceans will rise by six metres and flood many of the world’s largest cities.,"IsMelting(a),  IsMajorContributorToRising(b)","WillRiseBy(c, d),  WillFlood(e)","[('IsMelting(a)', 'WillRiseBy(c, d)'), ('IsMelting(a)', '  WillFlood(e)')]",[],[],IsMelting(a) and IsMajorContributorToRising(b),"WillRiseBy(c, d) and WillFlood(e)","(IsMelting(a) and IsMajorContributorToRising(b) & (forall a (forall d (forall c (IsMelting(a) -> WillRiseBy(c, d))))) & (forall a (forall e (IsMelting(a) ->   WillFlood(e))))) -> (WillRiseBy(c, d) and WillFlood(e))","(exists a (exists b (IsMelting(a) and IsMajorContributorToRising(b))) & (forall g (forall f (forall h (IsMelting(f) -> WillRiseBy(g,h))))) & (forall j (forall i (IsMelting(i) ->   WillFlood(j))))) -> (exists d (exists e (exists c (WillRiseBy(c, d) and WillFlood(e)))))",1
53,intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 ., There is more polar ice in the world recently than at any time since satellite records began in 1979.  , Polar ice is increasing.,"MoreInWorldRecentlyThanSince(a, b, c, d)",IsIncreasing(a),[],"[(' Polar ice', ' Polar ice')]",[],"MoreInWorldRecentlyThanSince(a, b, c, d)",IsIncreasing(a),"(MoreInWorldRecentlyThanSince(a, b, c, d)) -> (IsIncreasing(a))","(exists a (exists b (exists d (exists c (MoreInWorldRecentlyThanSince(a, b, c, d)))))) -> (exists a (IsIncreasing(a)))",0
54,fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem .", There are 80 graphs showing that the scare about global warming has been overdone., Global warming is not unusual or a problem.,"HasScare(c),  IsOverdone(c)","IsNotUnusual(a),  IsNotAProblem(a)",[],"[(' global warming', ' Global warming')]",[],HasScare(c) and IsOverdone(c),IsNotUnusual(a) or IsNotAProblem(a),(HasScare(c) and IsOverdone(c)) -> (IsNotUnusual(a) or IsNotAProblem(a)),(exists c (HasScare(c) and IsOverdone(c))) -> (exists a (IsNotUnusual(a) or IsNotAProblem(a))),1
55,faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period ."," ""During the Little Ice Age, crops failed and plague wiped out tens of millions of people due to low solar activity."" "," ""Solar activity affects temperature on Earth.""","Failed(b),  WipedOut(c, d),  OccurredDuring(a, e)","Affects(f, g, h)",[],[],"[(' low solar activity', ' Solar activity')]","OccurredDuring(a, e) and (Failed(b) and WipedOut(c, d))","Affects(f, g, h)","(exists e (OccurredDuring(a, e) and (Failed(b) and WipedOut(c, d)))) -> (forall f (Affects(f, g, h)))","(exists c (exists e (exists a (exists d (exists b (OccurredDuring(a, e) and (Failed(b) and WipedOut(c, d)))))))) -> (exists g (exists f (exists h (Affects(f, g, h)))))",0
56,intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change ."," Brown told a conference at the Vatican that the world needed ""brain washing"" on climate change.  "," The world needs ""brain washing"" on climate change.","ToldConference(c, d),  AtLocation(d, a),  NeedsBrainWashing(a, b)","NeedsBrainWashing(a, b)",[],"[(' The world', ' Vatican'), (' world', ' The world'), (' climate change', ' climate change')]",[],"ToldConference(c, d) and AtLocation(d, a) and NeedsBrainWashing(a, b)","NeedsBrainWashing(a, b)","(ToldConference(c, d) and AtLocation(d, a) and NeedsBrainWashing(a, b)) -> (NeedsBrainWashing(a, b))","(exists d (exists a (exists b (exists c (ToldConference(c, d) and AtLocation(d, a) and NeedsBrainWashing(a, b)))))) -> (exists a (exists b (NeedsBrainWashing(a, b))))",1
57,appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet .", The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica., Coastal cities on the planet will be submerged.,"AreInPineIslandBay(a),  AreInAntarctica(a),  AreLargest(a),  AreFastestMelting(a)","AreOnThePlanet(c),  WillBeSubmerged(c)",[],[],"[(' The glaciers of Pine Island Bay', ' the planet'), (' Antarctica', ' the planet')]",AreInPineIslandBay(a) and AreInAntarctica(a) and AreLargest(a) and AreFastestMelting(a),AreOnThePlanet(c) and WillBeSubmerged(c),(AreInPineIslandBay(a) and AreInAntarctica(a) and AreLargest(a) and AreFastestMelting(a)) -> (AreOnThePlanet(c) and WillBeSubmerged(c)),(exists a (AreInPineIslandBay(a) and AreInAntarctica(a) and AreLargest(a) and AreFastestMelting(a))) -> (exists c (AreOnThePlanet(c) and WillBeSubmerged(c))),0
58,faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world .", There has been a gradual increase in global precipitation and soil moisture as the planet warms.  ," Global warming is creating a safer, more peaceful world.","IncreaseGradually(a),  IncreaseGradually(b),  IsWarming(c)","IsGlobal(d),  IsSafer(d),  IsMorePeaceful(d)",[],[],[],IncreaseGradually(a) and IncreaseGradually(b) and IsWarming(c),IsGlobal(d) and (IsSafer(d) and IsMorePeaceful(d)),(IncreaseGradually(a) and IncreaseGradually(b) and IsWarming(c)) -> (IsGlobal(d) and (IsSafer(d) and IsMorePeaceful(d))),(exists a (exists b (exists c (IncreaseGradually(a) and IncreaseGradually(b) and IsWarming(c))))) -> (exists d (IsGlobal(d) and (IsSafer(d) and IsMorePeaceful(d)))),0
59,false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year .", The modest recent warming is producing U.S. and global crop production records virtually every year., The modest recent warming creates billions of dollars in new economic and human welfare benefits every year.,"IsModest(a),  IsRecent(a),  Produces(a, c)","IsModest(a),  IsRecent(a),  Creates(a, e),  IsInEconomicAndHumanWelfare(f)","[('IsModest(a)', '  IsRecent(a)'), ('  Creates(a, e)', 'IsModest(a)'), ('IsModest(a)', '  IsRecent(a)'), ('IsModest(a)', '  Produces(a, c)')]","[(' The modest recent warming', ' The modest recent warming')]",[],"IsModest(a) and IsRecent(a) and Produces(a, c)","IsModest(a) and IsRecent(a) and (Creates(a, e) and IsInEconomicAndHumanWelfare(f))","(IsModest(a) and IsRecent(a) and Produces(a, c) & (forall a (IsModest(a) ->   IsRecent(a))) & (forall a (forall e (  Creates(a, e) -> IsModest(a)))) & (forall a (IsModest(a) ->   IsRecent(a))) & (forall a (forall c (IsModest(a) ->   Produces(a, c))))) -> (IsModest(a) and IsRecent(a) and (Creates(a, e) and IsInEconomicAndHumanWelfare(f)))","(exists a (exists c (IsModest(a) and IsRecent(a) and Produces(a, c))) & (forall g (IsModest(g) ->   IsRecent(g))) & (forall h (forall i (  Creates(h,i) -> IsModest(h)))) & (forall j (IsModest(j) ->   IsRecent(j))) & (forall l (forall k (IsModest(k) ->   Produces(k,l))))) -> (exists a (exists f (exists e (IsModest(a) and IsRecent(a) and (Creates(a, e) and IsInEconomicAndHumanWelfare(f))))))",1
60,fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ..., Climate models have been over-hyping warming for decades.  , Climate models are not reliable.,"OverHypingWarming(a),  LastsForDecades(b)",NotReliable(a),"[('OverHypingWarming(a)', 'NotReliable(a)'), ('NotReliable(a)', 'OverHypingWarming(a)'), ('  LastsForDecades(b)', 'NotReliable(a)')]","[(' Climate models', ' Climate models')]",[],OverHypingWarming(a) and LastsForDecades(b),~NotReliable(a),(OverHypingWarming(a) and LastsForDecades(b) & (forall a (OverHypingWarming(a) -> NotReliable(a))) & (forall a (NotReliable(a) -> OverHypingWarming(a))) & (forall a (forall b (  LastsForDecades(b) -> NotReliable(a))))) -> (~NotReliable(a)),(exists a (exists b (OverHypingWarming(a) and LastsForDecades(b))) & (forall d (OverHypingWarming(d) -> NotReliable(d))) & (forall e (NotReliable(e) -> OverHypingWarming(e))) & (forall g (forall f (  LastsForDecades(f) -> NotReliable(g))))) -> (exists a (~NotReliable(a))),0
61,fallacy of credibility,0,"Howard Browman , a marine scientist for 35 years , has published a review in the ICES Journal of Marine Science of all the papers published on the subject . His verdict could hardly be more damning . The methodology used by the studies was often flawed ; contrary studies suggesting that ocean acidification wasn ’ t a threat had sometimes had difficulty finding a publisher ."," The methodology used by the studies on ocean acidification was often flawed, and contrary studies had difficulty finding a publisher.", Ocean acidification may not be a threat.,"IsUsedBy(b, c),  IsAbout(c, a),  IsContrary(d),  HasDifficultyFinding(d, e)","IsNotThreat(a, f)",[],"[(' ocean acidification', ' Ocean acidification')]","[(' ocean acidification', ' threat')]","(IsUsedBy(b, c) and IsAbout(c, a)) and (IsContrary(d) and HasDifficultyFinding(d, e))","IsNotThreat(a, f)","(exists a ((IsUsedBy(b, c) and IsAbout(c, a)) and (IsContrary(d) and HasDifficultyFinding(d, e)))) -> (forall f (IsNotThreat(a, f)))","(exists c (exists e (exists a (exists d (exists b ((IsUsedBy(b, c) and IsAbout(c, a)) and (IsContrary(d) and HasDifficultyFinding(d, e)))))))) -> (exists a (exists f (IsNotThreat(a, f))))",0
