,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
85,ad hominem,0,"Update Jan. 25 , 2016 : As I predicted in this article , global warming activists have indeed made a full-blown public relations effort to claim 2015 was the warmest year on record .", Global warming activists made a public relations effort to claim 2015 was the warmest year on record., 2015 was the warmest year on record according to global warming activists.,"MadePublicRelationsEffort(a, c),  ClaimWarmestYear(b, d),  IsOnRecord(d, e)","WasWarmestYearOnRecord(b, f),  AccordingToActivists(f, a)","[('  AccordingToActivists(f, a)', 'MadePublicRelationsEffort(a, c)'), ('WasWarmestYearOnRecord(b, f)', '  ClaimWarmestYear(b, d)')]","[(' Global warming activists', ' global warming activists'), (' 2015', ' 2015')]","[(' warmest year', ' the warmest year on record'), (' record', ' the warmest year on record')]","MadePublicRelationsEffort(a, c) and ClaimWarmestYear(b, d) and IsOnRecord(d, e)","WasWarmestYearOnRecord(b, f) and AccordingToActivists(f, a)","(exists e (exists d (MadePublicRelationsEffort(a, c) and ClaimWarmestYear(b, d) and IsOnRecord(d, e))) & (forall a (forall f (forall c (  AccordingToActivists(f, a) -> MadePublicRelationsEffort(a, c))))) & (forall d (forall f (forall b (WasWarmestYearOnRecord(b, f) ->   ClaimWarmestYear(b, d)))))) -> (forall f (WasWarmestYearOnRecord(b, f) and AccordingToActivists(f, a)))","(exists d (exists b (exists c (exists e (exists a (MadePublicRelationsEffort(a, c) and ClaimWarmestYear(b, d) and IsOnRecord(d, e)))))) & (forall j (forall i (forall h (forall k (  AccordingToActivists(h,i) -> MadePublicRelationsEffort(j,k)))))) & (forall m (forall l (forall n (WasWarmestYearOnRecord(l,m) ->   ClaimWarmestYear(l,n)))))) -> (exists a (exists f (exists b (WasWarmestYearOnRecord(b, f) and AccordingToActivists(f, a)))))",LF
86,fallacy of extension,0,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines ."," Global warming alarmism provides the media with ideology, money, and headlines."," Politicians, environmentalists, and media benefit from global warming alarmism.","ProvidesIdeology(a, b, c),  ProvidesMoney(a, b, d),  ProvidesHeadlines(a, b, e)","BenefitsFrom(a, f),  BenefitsFrom(a, g),  BenefitsFrom(a, b)","[('  ProvidesMoney(a, b, d)', '  BenefitsFrom(a, b)')]","[(' Global warming alarmism', ' global warming alarmism'), (' the media', ' media')]","[(' ideology', ' global warming alarmism'), (' headlines', ' media')]","ProvidesIdeology(a, b, c) and ProvidesMoney(a, b, d) and ProvidesHeadlines(a, b, e)","BenefitsFrom(a, f) and BenefitsFrom(a, g) and BenefitsFrom(a, b)","(exists e (exists c (ProvidesIdeology(a, b, c) and ProvidesMoney(a, b, d) and ProvidesHeadlines(a, b, e))) & (forall d (forall a (forall b (  ProvidesMoney(a, b, d) ->   BenefitsFrom(a, b)))))) -> (forall b (forall a (BenefitsFrom(a, f) and BenefitsFrom(a, g) and BenefitsFrom(a, b))))","(exists d (exists b (exists c (exists e (exists a (ProvidesIdeology(a, b, c) and ProvidesMoney(a, b, d) and ProvidesHeadlines(a, b, e)))))) & (forall j (forall k (forall l (  ProvidesMoney(j,k,l) ->   BenefitsFrom(j,k)))))) -> (exists b (exists a (exists f (exists g (BenefitsFrom(a, f) and BenefitsFrom(a, g) and BenefitsFrom(a, b))))))",Valid
87,fallacy of logic,0,"As long as the ice-water mix is well-stirred ( like a glass of ice water ) , the surface temperature stays at the freezing point until all the ice melts .", The surface temperature of a well-stirred ice-water mix stays at the freezing point until all the ice melts., The surface temperature of a well-stirred ice-water mix does not increase until all the ice melts.,"IsSurfaceTemperatureOf(a, b),  StaysAtFreezingPoint(a),  Melts(c)","IsSurfaceTemperatureOf(a, b),  DoesNotIncrease(a),  Melts(c)","[('IsSurfaceTemperatureOf(a, b)', '  DoesNotIncrease(a)'), ('IsSurfaceTemperatureOf(a, b)', '  StaysAtFreezingPoint(a)'), ('  StaysAtFreezingPoint(a)', '  DoesNotIncrease(a)'), ('  DoesNotIncrease(a)', '  StaysAtFreezingPoint(a)')]","[(' Surface temperature', ' Surface temperature'), (' well-stirred ice-water mix', ' well-stirred ice-water mix'), (' ice', ' ice')]","[(' ice', ' well-stirred ice-water mix')]","IsSurfaceTemperatureOf(a, b) and (StaysAtFreezingPoint(a) and Melts(c))","(IsSurfaceTemperatureOf(a, b) and ~Melts(c)) and ~DoesNotIncrease(a)","(exists c (IsSurfaceTemperatureOf(a, b) and (StaysAtFreezingPoint(a) and Melts(c))) & (forall a (forall b (IsSurfaceTemperatureOf(a, b) ->   DoesNotIncrease(a)))) & (forall a (forall b (IsSurfaceTemperatureOf(a, b) ->   StaysAtFreezingPoint(a)))) & (forall a (  StaysAtFreezingPoint(a) ->   DoesNotIncrease(a))) & (forall a (  DoesNotIncrease(a) ->   StaysAtFreezingPoint(a)))) -> (exists c (forall b ((IsSurfaceTemperatureOf(a, b) and ~Melts(c)) and ~DoesNotIncrease(a))))","(exists a (exists b (exists c (IsSurfaceTemperatureOf(a, b) and (StaysAtFreezingPoint(a) and Melts(c))))) & (forall e (forall f (IsSurfaceTemperatureOf(e,f) ->   DoesNotIncrease(e)))) & (forall h (forall g (IsSurfaceTemperatureOf(g,h) ->   StaysAtFreezingPoint(g)))) & (forall i (  StaysAtFreezingPoint(i) ->   DoesNotIncrease(i))) & (forall j (  DoesNotIncrease(j) ->   StaysAtFreezingPoint(j)))) -> (exists a (exists b (exists c ((IsSurfaceTemperatureOf(a, b) and ~Melts(c)) and ~DoesNotIncrease(a)))))",
88,faulty generalization,0,The sea has crept up to the point that a high tide and a brisk wind are all it takes to send water pouring into streets and homes ., The sea has crept up to the point that a high tide and a brisk wind send water pouring into streets and homes.  , Water floods streets and homes during high tide and brisk wind.,"HasCreptUp(f),  IsHighTide(a),  IsBriskWind(b),  SendsWater(c, d),  SendsWater(c, e)","Floods(c, d),  Floods(c, e),  OccursDuring(a),  OccursDuring(b)","[('HasCreptUp(f)', '  Floods(c, e)'), ('  OccursDuring(b)', '  IsBriskWind(b)'), ('Floods(c, d)', '  SendsWater(c, d)'), ('  Floods(c, e)', '  SendsWater(c, d)'), ('  SendsWater(c, e)', 'Floods(c, d)'), ('Floods(c, d)', '  SendsWater(c, e)'), ('  SendsWater(c, e)', '  Floods(c, e)'), ('  Floods(c, e)', '  SendsWater(c, e)')]","[(' high tide', ' high tide'), (' brisk wind', ' brisk wind'), (' water', ' Water'), (' streets', ' streets'), (' homes', ' homes')]","[(' The sea', ' Water')]","HasCreptUp(f) and IsHighTide(a) and IsBriskWind(b) and (SendsWater(c, d) and SendsWater(c, e))","(OccursDuring(a) and OccursDuring(b)) and (Floods(c, d) and Floods(c, e))","(exists f (HasCreptUp(f) and IsHighTide(a) and IsBriskWind(b) and (SendsWater(c, d) and SendsWater(c, e))) & (forall e (forall f (forall c (HasCreptUp(f) ->   Floods(c, e))))) & (forall b (  OccursDuring(b) ->   IsBriskWind(b))) & (forall d (forall c (Floods(c, d) ->   SendsWater(c, d)))) & (forall d (forall e (forall c (  Floods(c, e) ->   SendsWater(c, d))))) & (forall d (forall e (forall c (  SendsWater(c, e) -> Floods(c, d))))) & (forall d (forall e (forall c (Floods(c, d) ->   SendsWater(c, e))))) & (forall e (forall c (  SendsWater(c, e) ->   Floods(c, e)))) & (forall e (forall c (  Floods(c, e) ->   SendsWater(c, e))))) -> (forall c ((OccursDuring(a) and OccursDuring(b)) and (Floods(c, d) and Floods(c, e))))","(exists f (exists d (exists b (exists c (exists e (exists a (HasCreptUp(f) and IsHighTide(a) and IsBriskWind(b) and (SendsWater(c, d) and SendsWater(c, e)))))))) & (forall j (forall i (forall h (HasCreptUp(h) ->   Floods(i,j))))) & (forall k (  OccursDuring(k) ->   IsBriskWind(k))) & (forall m (forall l (Floods(l,m) ->   SendsWater(l,m)))) & (forall o (forall p (forall n (  Floods(n,o) ->   SendsWater(n,p))))) & (forall q (forall r (forall s (  SendsWater(q,r) -> Floods(q,s))))) & (forall t (forall v (forall u (Floods(t,u) ->   SendsWater(t,v))))) & (forall x (forall w (  SendsWater(w,x) ->   Floods(w,x)))) & (forall y (forall z (  Floods(y,z) ->   SendsWater(y,z))))) -> (exists d (exists b (exists c (exists e (exists a ((OccursDuring(a) and OccursDuring(b)) and (Floods(c, d) and Floods(c, e))))))))",
89,intentional,0,The international team onboard the Russian research ship R/V Akademik Keldysh said most of the bubbles were currently dissolving in the water but methane levels at the surface were four to eight times what would normally be expected and this was venting into the atmosphere ., Methane levels at the surface are four to eight times what would normally be expected., Methane is venting into the atmosphere.,IsAtSurface(a),"IsVenting(a),  IsInAtmosphere(a)","[('IsAtSurface(a)', 'IsVenting(a)'), ('IsAtSurface(a)', '  IsInAtmosphere(a)')]","[(' Methane', ' Methane levels')]","[(' Methane levels', ' atmosphere')]",IsAtSurface(a),IsVenting(a) and IsInAtmosphere(a),(IsAtSurface(a) & (forall a (IsAtSurface(a) -> IsVenting(a))) & (forall a (IsAtSurface(a) ->   IsInAtmosphere(a)))) -> (IsVenting(a) and IsInAtmosphere(a)),(exists a (IsAtSurface(a)) & (forall e (IsAtSurface(e) -> IsVenting(e))) & (forall f (IsAtSurface(f) ->   IsInAtmosphere(f)))) -> (exists a (IsVenting(a) and IsInAtmosphere(a))),Valid
90,intentional,0,"While it 's too soon to say precisely how global warming may have affected the rare confluence of events that conspired to dump at least 26.88 inches of rain in less than four days on South Carolina , changes in extreme precipitation events are one of global warming 's most well-documented climate change impacts .", Changes in extreme precipitation events are one of global warming's most well-documented climate change impacts., Global warming may have affected the heavy rainfall in South Carolina.,"IsCausedBy(b,a),  IsWellDocumented(c)","HasAffected(a, d),  IsIn(d, e)",[],"[(' global warming', ' Global warming')]","[(' Extreme precipitation events', ' heavy rainfall'), (' climate change impacts', ' Global warming'), (' climate change impacts', ' heavy rainfall')]","IsCausedBy(b,a) and IsWellDocumented(c)","HasAffected(a, d) and IsIn(d, e)","(exists c (exists b (IsCausedBy(b,a) and IsWellDocumented(c)))) -> (forall a (forall d (HasAffected(a, d) and IsIn(d, e))))","(exists a (exists b (exists c (IsCausedBy(b,a) and IsWellDocumented(c))))) -> (exists e (exists d (exists a (HasAffected(a, d) and IsIn(d, e)))))",LF
91,false causality,0,Any increase in flooding activity is due to human alterations of river and stream flow rather than precipitation changes ., Any increase in flooding activity is due to human alterations of river and stream flow.  , Precipitation changes do not cause an increase in flooding activity.,"IsIncreaseInFloodingActivity(a),  IsDueTo(a,b),  AltersRiverFlow(b,c),  AltersStreamFlow(b,d)","CauseIncreaseInFloodingActivity(e,f)",[],[],"[(' Increase in flooding activity', ' Precipitation changes'), (' Increase in flooding activity', ' flooding activity')]","IsIncreaseInFloodingActivity(a) and (IsDueTo(a,b) and (AltersRiverFlow(b,c) and AltersStreamFlow(b,d)))","~CauseIncreaseInFloodingActivity(e,f)","(exists a (IsIncreaseInFloodingActivity(a) and (IsDueTo(a,b) and (AltersRiverFlow(b,c) and AltersStreamFlow(b,d))))) -> (forall f (forall e (~CauseIncreaseInFloodingActivity(e,f))))","(exists d (exists a (exists b (exists c (IsIncreaseInFloodingActivity(a) and (IsDueTo(a,b) and (AltersRiverFlow(b,c) and AltersStreamFlow(b,d)))))))) -> (exists e (exists f (~CauseIncreaseInFloodingActivity(e,f))))",LF
92,faulty generalization,0,"Still , the shift is precisely what he and other cyclone experts said would be expected from climate change ."," ""Cyclone experts said a shift would be expected from climate change."""," ""Climate change causes the shift.""","Said(c),  IsExpectedFrom(a, b)","Causes(b, a)",[],"[(' a shift', ' the shift'), (' climate change', ' Climate change')]",[],"Said(c) and IsExpectedFrom(a, b)","Causes(b, a)","(Said(c) and IsExpectedFrom(a, b)) -> (Causes(b, a))","(exists a (exists b (exists c (Said(c) and IsExpectedFrom(a, b))))) -> (exists a (exists b (Causes(b, a))))",LF
93,appeal to emotion,0,“ This has been the saddest research trip of my life ”," ""This research trip has been the saddest of my life.""  "," ""The research trip was sad.""","IsResearchTrip(a),  IsSaddestOfLife(a)","IsResearchTrip(c),  IsSad(c)","[('IsResearchTrip(c)', '  IsSaddestOfLife(a)'), ('  IsSaddestOfLife(a)', '  IsSad(c)'), ('  IsSad(c)', '  IsSaddestOfLife(a)')]",[],[],IsResearchTrip(a) and IsSaddestOfLife(a),IsResearchTrip(c) and IsSad(c),(IsResearchTrip(a) and IsSaddestOfLife(a) & (forall a (forall c (IsResearchTrip(c) ->   IsSaddestOfLife(a)))) & (forall a (forall c (  IsSaddestOfLife(a) ->   IsSad(c)))) & (forall a (forall c (  IsSad(c) ->   IsSaddestOfLife(a))))) -> (IsResearchTrip(c) and IsSad(c)),(exists a (IsResearchTrip(a) and IsSaddestOfLife(a)) & (forall d (forall e (IsResearchTrip(d) ->   IsSaddestOfLife(e)))) & (forall f (forall g (  IsSaddestOfLife(f) ->   IsSad(g)))) & (forall i (forall h (  IsSad(h) ->   IsSaddestOfLife(i))))) -> (exists c (IsResearchTrip(c) and IsSad(c))),Valid
94,fallacy of logic,0,Eight countries control land in the Arctic Circle . Five have coastlines to defend . The temperature is rising . The ice is melting . The race for newly accessible resources is beginning . And Russia is gaining ground ., Eight countries control land in the Arctic Circle. Five countries have coastlines to defend. The temperature is rising. The ice is melting. The race for newly accessible resources is beginning. Russia is gaining ground., Russia will dominate the Arctic Circle due to the melting ice and rising temperature.,"ControlsLand(d, e),  In(e, a),  HasCoastlines(f, g),  IsRising(h),  IsMelting(b),  IsBeginning(i),  IsFor(i, j),  IsGainingGround(c)","Dominates(c, a),  IsMelting(b),  IsRising(k)","[('  IsRising(h)', '  IsMelting(b)'), ('  IsMelting(b)', '  IsRising(h)'), ('  IsRising(k)', '  IsMelting(b)'), ('  IsMelting(b)', '  IsBeginning(i)'), ('Dominates(c, a)', '  IsGainingGround(c)')]","[(' Arctic Circle', ' Arctic Circle'), (' melting ice', ' ice'), (' Russia', ' Russia')]","[(' land', ' Russia'), (' Arctic Circle', ' Russia'), (' five countries', ' Arctic Circle'), (' coastlines', ' Russia'), (' temperature', ' rising temperature'), (' Russia', ' Arctic Circle')]","ControlsLand(d, e) and In(e, a) and HasCoastlines(f, g) and IsRising(h) and IsMelting(b) and IsBeginning(i) and IsFor(i, j) and IsGainingGround(c)","(IsMelting(b) and IsRising(k)) and Dominates(c, a)","(exists c (exists h (exists g (exists f (exists a (exists e (ControlsLand(d, e) and In(e, a) and HasCoastlines(f, g) and IsRising(h) and IsMelting(b) and IsBeginning(i) and IsFor(i, j) and IsGainingGround(c))))))) & (forall h (forall b (  IsRising(h) ->   IsMelting(b)))) & (forall h (forall b (  IsMelting(b) ->   IsRising(h)))) & (forall k (forall b (  IsRising(k) ->   IsMelting(b)))) & (forall i (forall b (  IsMelting(b) ->   IsBeginning(i)))) & (forall a (forall c (Dominates(c, a) ->   IsGainingGround(c))))) -> (forall k (forall a (exists a (forall c ((IsMelting(b) and IsRising(k)) and Dominates(c, a))))))","(exists h (exists g (exists i (exists f (exists j (exists d (exists b (exists c (exists a (exists e (ControlsLand(d, e) and In(e, a) and HasCoastlines(f, g) and IsRising(h) and IsMelting(b) and IsBeginning(i) and IsFor(i, j) and IsGainingGround(c))))))))))) & (forall m (forall n (  IsRising(m) ->   IsMelting(n)))) & (forall o (forall p (  IsMelting(o) ->   IsRising(p)))) & (forall q (forall r (  IsRising(q) ->   IsMelting(r)))) & (forall s (forall t (  IsMelting(s) ->   IsBeginning(t)))) & (forall v (forall u (Dominates(u,v) ->   IsGainingGround(u))))) -> (exists k (exists a (exists b (exists c ((IsMelting(b) and IsRising(k)) and Dominates(c, a))))))",
95,intentional,0,You ’ ve only got to look at Singapore .," ""You have to look at Singapore.""  "," ""Singapore is an example to follow or learn from.""","LookAt(b, a)",IsExample(a),[],"[(' Singapore', ' Singapore')]",[],"LookAt(b, a)",IsExample(a),"(LookAt(b, a)) -> (IsExample(a))","(exists a (exists b (LookAt(b, a)))) -> (exists a (IsExample(a)))",LF
96,appeal to emotion,0,"Meanwhile , Mr Beckwith confirmed the changes would usher in a sustained period of “ climate system mayhem ” which could prove difficult to resolve ."," Mr. Beckwith confirmed the changes would usher in a sustained period of ""climate system mayhem."""," The sustained period of ""climate system mayhem"" could prove difficult to resolve.","Confirmed(b, c),  UsherIn(c, a)","SustainedPeriod(a),  DifficultToResolve(a)",[],"[(' climate system mayhem', ' Climate system mayhem')]",[],"Confirmed(b, c) and UsherIn(c, a)",SustainedPeriod(a) and DifficultToResolve(a),"(Confirmed(b, c) and UsherIn(c, a)) -> (SustainedPeriod(a) and DifficultToResolve(a))","(exists a (exists b (exists c (Confirmed(b, c) and UsherIn(c, a))))) -> (exists a (SustainedPeriod(a) and DifficultToResolve(a)))",LF
97,intentional,0,"Temperature , like viscosity and density , and of course phone numbers , is not something that can be meaningfully averaged . “ Global temperature ” does not exist .", Global temperature does not exist.  , Temperature cannot be meaningfully averaged.,DoesNotExist(a),CannotBeMeaningfullyAveraged(b),[],[],"[(' Global temperature', ' Temperature')]",DoesNotExist(a),CannotBeMeaningfullyAveraged(b),(exists a (DoesNotExist(a))) -> (forall b (CannotBeMeaningfullyAveraged(b))),(exists a (DoesNotExist(a))) -> (exists b (CannotBeMeaningfullyAveraged(b))),LF
98,false causality,0,"The Little Ice Age
ended as recently as 1850 . Therefore , it is no surprise that we now are expe riencing a period of warming .", The Little Ice Age ended as recently as 1850., We are experiencing a period of warming.,Ended(a),"IsExperiencing(b, c)",[],[],[],Ended(a),"IsExperiencing(b, c)","(Ended(a)) -> (IsExperiencing(b, c))","(exists a (Ended(a))) -> (exists b (exists c (IsExperiencing(b, c))))",LF
99,intentional,0,"By ignoring history and geology , any claim of unusual weather can be made sensational .", Claims of unusual weather are often sensational., Claims of unusual weather are often sensational.,IsUnusual(a),IsUnusual(a),[],"[(' Unusual weather', ' unusual weather')]",[],IsUnusual(a),IsUnusual(a) and IsSensational(b),(IsUnusual(a)) -> (IsUnusual(a) and IsSensational(b)),(exists a (IsUnusual(a))) -> (exists a (exists b (IsUnusual(a) and IsSensational(b)))),LF
100,,1,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd.", A football coach talks with a football player in front of the team and the crowd.  , A football coach interacts with the football team and the crowd.,"TalksWith(a, c),  InFrontOf(d, b)","InteractsWith(a, e),  InteractsWith(a, b)","[('InteractsWith(a, e)', 'TalksWith(a, c)'), ('  InFrontOf(d, b)', '  InteractsWith(a, b)')]","[(' A football coach', ' A football coach'), (' the crowd', ' the crowd')]","[(' a football player', ' the football team'), (' the team', ' the football team')]","TalksWith(a, c) and InFrontOf(d, b)","InteractsWith(a, e) and InteractsWith(a, b)","(exists d (exists c (TalksWith(a, c) and InFrontOf(d, b))) & (forall e (forall a (forall c (InteractsWith(a, e) -> TalksWith(a, c))))) & (forall d (forall a (forall b (  InFrontOf(d, b) ->   InteractsWith(a, b)))))) -> (forall e (InteractsWith(a, e) and InteractsWith(a, b)))","(exists d (exists a (exists b (exists c (TalksWith(a, c) and InFrontOf(d, b))))) & (forall h (forall f (forall g (InteractsWith(f,g) -> TalksWith(f,h))))) & (forall j (forall i (forall k (  InFrontOf(i,j) ->   InteractsWith(k,j)))))) -> (exists e (exists a (exists b (InteractsWith(a, e) and InteractsWith(a, b)))))",Valid
101,,1,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports."," ""Two men are watching one man make a golf putt on the set of Sports Center."""," ""People watch sports.""","IsWatching(a, b),  IsMaking(b, c),  IsOnSet(d, e)","IsWatching(f, g)","[('  IsMaking(b, c)', 'IsWatching(f, g)')]",[],"[(' Two men', ' People'), (' one man', ' People'), (' golf putt', ' sports.'), (' set', ' sports.')]","IsWatching(a, b) and IsMaking(b, c) and IsOnSet(d, e)","IsWatching(f, g)","(exists d (exists c (exists b (exists a (IsWatching(a, b) and IsMaking(b, c) and IsOnSet(d, e))))) & (forall g (forall f (forall b (forall c (  IsMaking(b, c) -> IsWatching(f, g))))))) -> (forall g (forall f (IsWatching(f, g))))","(exists d (exists b (exists c (exists e (exists a (IsWatching(a, b) and IsMaking(b, c) and IsOnSet(d, e)))))) & (forall j (forall i (forall h (forall k (  IsMaking(h,i) -> IsWatching(j,k))))))) -> (exists f (exists g (IsWatching(f, g))))",Valid
102,,1,"Six women wait to use a port-o-john in a field. Thus, women are outside."," ""Six women wait to use a port-o-john in a field.""  "," ""Women are outside.""","IsWaitingToUse(a, b),  IsInField(b, c)",IsOutside(d),"[('IsWaitingToUse(a, b)', 'IsOutside(d)')]",[],"[(' Six women', ' Women')]","IsWaitingToUse(a, b) and IsInField(b, c)",IsOutside(d),"(exists a (IsWaitingToUse(a, b) and IsInField(b, c)) & (forall d (forall a (forall b (IsWaitingToUse(a, b) -> IsOutside(d)))))) -> (forall d (IsOutside(d)))","(exists a (exists b (exists c (IsWaitingToUse(a, b) and IsInField(b, c)))) & (forall e (forall f (forall g (IsWaitingToUse(e,f) -> IsOutside(g)))))) -> (exists d (IsOutside(d)))",Valid
103,,1,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.," ""A woman wearing a black top and glasses is speaking into a blue-tipped microphone, and another woman is writing beside her."""," ""One woman speaks into a microphone while a second woman writes beside her.""","IsWearingBlackTop(a),  IsWearingGlasses(a),  IsSpeakingInto(a, b),  IsBeside(c, a),  IsWriting(c)","IsSpeakingInto(d, e),  IsBeside(f, g),  IsWriting(f)","[('  IsSpeakingInto(a, b)', '  IsBeside(f, g)'), ('  IsWriting(c)', 'IsSpeakingInto(d, e)'), ('IsSpeakingInto(d, e)', '  IsWriting(c)')]",[],"[(' A woman wearing a black top and glasses', ' One woman'), (' A woman wearing a black top and glasses', ' her'), (' blue-tipped microphone', ' a microphone')]","IsWearingBlackTop(a) and IsWearingGlasses(a) and IsSpeakingInto(a, b) and IsBeside(c, a) and IsWriting(c)","IsSpeakingInto(d, e) and IsWriting(f) and IsBeside(f, g)","(exists b (exists a (IsWearingBlackTop(a) and IsWearingGlasses(a) and IsSpeakingInto(a, b) and IsBeside(c, a) and IsWriting(c))) & (forall g (forall a (forall f (forall b (  IsSpeakingInto(a, b) ->   IsBeside(f, g)))))) & (forall d (forall e (forall c (  IsWriting(c) -> IsSpeakingInto(d, e))))) & (forall d (forall e (forall c (IsSpeakingInto(d, e) ->   IsWriting(c)))))) -> (forall e (forall g (forall d (IsSpeakingInto(d, e) and IsWriting(f) and IsBeside(f, g)))))","(exists a (exists b (exists c (IsWearingBlackTop(a) and IsWearingGlasses(a) and IsSpeakingInto(a, b) and IsBeside(c, a) and IsWriting(c)))) & (forall j (forall i (forall h (forall k (  IsSpeakingInto(h,i) ->   IsBeside(j,k)))))) & (forall m (forall l (forall n (  IsWriting(l) -> IsSpeakingInto(m,n))))) & (forall o (forall p (forall q (IsSpeakingInto(o,p) ->   IsWriting(q)))))) -> (exists d (exists e (exists f (exists g (IsSpeakingInto(d, e) and IsWriting(f) and IsBeside(f, g))))))",Valid
104,,1,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object."," ""A tan girl is running and leaning over an object.""  "," ""Tan girls run and lean over objects.""","IsTan(a),  IsRunning(a),  IsLeaningOver(a, b)","IsTan(c),  IsRunning(c),  IsLeaningOver(c, d)",[],[],"[(' A tan girl', ' Tan girls'), (' A tan girl', ' objects'), (' an object', ' objects')]","IsTan(a) and IsRunning(a) and IsLeaningOver(a, b)","IsTan(c) and IsRunning(c) and IsLeaningOver(c, d)","(exists b (exists a (IsTan(a) and IsRunning(a) and IsLeaningOver(a, b)))) -> (forall d (forall c (IsTan(c) and IsRunning(c) and IsLeaningOver(c, d))))","(exists a (exists b (IsTan(a) and IsRunning(a) and IsLeaningOver(a, b)))) -> (exists d (exists c (IsTan(c) and IsRunning(c) and IsLeaningOver(c, d))))",Valid
105,,1,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.," ""A scientist studies a slide related to her invention.""  "," ""A scientist works on her new creation.""","Studies(a, b),  RelatedTo(b, c)","WorksOn(a, d),  IsNewCreation(d)",[],"[(' A scientist', ' A scientist')]",[],"Studies(a, b) and RelatedTo(b, c)","WorksOn(a, d) and IsNewCreation(d)","(Studies(a, b) and RelatedTo(b, c)) -> (WorksOn(a, d) and IsNewCreation(d))","(exists a (exists b (exists c (Studies(a, b) and RelatedTo(b, c))))) -> (exists d (exists a (WorksOn(a, d) and IsNewCreation(d))))",LF
106,,1,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball."," ""A red dog jumps and catches a tennis ball in its mouth.""  "," ""A dog catches a ball.""","IsRed(a),  Jumps(a),  CatchesInMouth(a, b)","Catches(a, d)","[('  CatchesInMouth(a, b)', 'Catches(a, d)')]","[(' A dog', ' A red dog')]","[(' a tennis ball', ' a ball.')]","IsRed(a) and Jumps(a) and CatchesInMouth(a, b)","Catches(a, d)","(exists b (IsRed(a) and Jumps(a) and CatchesInMouth(a, b)) & (forall d (forall a (forall b (  CatchesInMouth(a, b) -> Catches(a, d)))))) -> (forall d (Catches(a, d)))","(exists a (exists b (IsRed(a) and Jumps(a) and CatchesInMouth(a, b))) & (forall h (forall f (forall g (  CatchesInMouth(f,g) -> Catches(f,h)))))) -> (exists d (exists a (Catches(a, d))))",Valid
107,,1,"A group of dogs stand in the snow. Thus, there are animals outdoors."," ""A group of dogs stand in the snow.""  "," ""There are animals outdoors.""","IsGroupOfDogs(a),  IsInSnow(a)",IsOutdoors(c),"[('IsGroupOfDogs(a)', 'IsOutdoors(c)'), ('  IsInSnow(a)', 'IsOutdoors(c)')]",[],"[(' A group of dogs', ' Animals')]",IsGroupOfDogs(a) and IsInSnow(a),IsOutdoors(c),(exists a (IsGroupOfDogs(a) and IsInSnow(a)) & (forall a (forall c (IsGroupOfDogs(a) -> IsOutdoors(c)))) & (forall a (forall c (  IsInSnow(a) -> IsOutdoors(c))))) -> (forall c (IsOutdoors(c))),(exists a (IsGroupOfDogs(a) and IsInSnow(a)) & (forall e (forall f (IsGroupOfDogs(e) -> IsOutdoors(f)))) & (forall h (forall g (  IsInSnow(g) -> IsOutdoors(h))))) -> (exists c (IsOutdoors(c))),Valid
108,,1,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.," ""This person is snowboarding on a very small pile of snow on a sunny cold day."""," ""The young snowboarder is sizing up their next jump.""","IsSnowboarding(a),  IsOnPileOfSnow(a, b),  IsSmall(b),  IsSunny(c),  IsCold(c)","IsYoung(d),  IsSnowboarder(d),  IsSizingUp(d, e),  IsNextJump(e)",[],[],[],"IsSnowboarding(a) and IsOnPileOfSnow(a, b) and IsSmall(b) and IsSunny(c) and IsCold(c)","IsYoung(d) and IsSnowboarder(d) and IsSizingUp(d, e) and IsNextJump(e)","(IsSnowboarding(a) and IsOnPileOfSnow(a, b) and IsSmall(b) and IsSunny(c) and IsCold(c)) -> (IsYoung(d) and IsSnowboarder(d) and IsSizingUp(d, e) and IsNextJump(e))","(exists a (exists b (exists c (IsSnowboarding(a) and IsOnPileOfSnow(a, b) and IsSmall(b) and IsSunny(c) and IsCold(c))))) -> (exists d (exists e (IsYoung(d) and IsSnowboarder(d) and IsSizingUp(d, e) and IsNextJump(e))))",LF
